PMID,Journal,Year,Month,Day,Title,Publication Type,Authors,Abstract,s1,s2,s3,r1,r2,r3
41881271,International journal of pharmaceutics,2026,Apr,25,Development and in vitro cytotoxic profiles of multistage systems containing irinotecan hydrochloride and bevacizumab for the treatment of human colorectal carcinoma.,Journal Article,"Nicola Ambrosio, Juliana Viegas, Donato Cosco, Bruno Sarmento","Multistage drug delivery systems are promising formulations able to enhance the therapeutic efficacy and tolerability of entrapped active compounds by integrating multiple functional components able to efficiently interact with biological barriers. In this study, we developed a multistage (MS) system made up of a poloxamine 908 (PL908) thermo-sensitive hydrogel containing drug-loaded zein nanoparticles (NPs) for the co-delivery of bevacizumab (BVZ) and irinotecan (Iri). The NPs were stabilized with DSPE-PEG2000, while ion pairing with dextran sulfate (DXS) enhanced Iri retention. NPs prepared with Iri or BVZ (0.2 mg/ml) showed distinct properties: Iri-NPs were characterized by a mean diameter of 93 nm (PDI: 0.099), a Zeta potential of -37 mV and 51% drug retention, whereas BVZ-NPs demonstrated mean sizes of 191 nm (PDI: 0.179), -8 mV of surface charge and 45% retention of active compound. Rheological characterization confirmed the thermo-sensitive behavior and mechanical stability of the MS systems. In vitro release studies on the NPs and MS system demonstrated a sustained drug leakage, with 40% Iri and 20% BVZ released after the first 8 h. Permeability assays using a 3D intestinal model revealed an enhanced drug permeation across the barrier. Furthermore, the cytotoxicity of the systems on 2D monolayers and 3D multicellular colorectal cancer (CRC) spheroids demonstrated the pharmacological efficacy of the active compounds retained by the MS system, showing a decrease of cell viability up to 50%, and confirmed the high biocompatibility of the formulations. These results highlight the potential of the proposed MS system as an advanced platform for localized and prolonged co-delivery of chemotherapeutic and antiangiogenic agents in CRC therapy.",1,1,1,"The study focuses on human colorectal carcinoma, specifically using 2D monolayers and 3D multicellular colorectal cancer (CRC) spheroids.",The study examines the use of Bevacizumab (BVZ) as part of a co-delivery system with irinotecan for the treatment of CRC.,"The study describes the effect of Bevacizumab treatment, including its retention in nanoparticles, release profile, and contribution to cytotoxicity in CRC models."
41898463,International journal of molecular sciences,2026,Mar,12,Prognostic Role of Endocan and Platelet-Derived Growth Factor Isoforms in Metastatic Colorectal Cancer.,Journal Article,"Anıl Yıldız, Melin Aydan Ahmed, Abdulmunir Azizy, Simay Çokgezer, Bedirhan Ulufer, Hilal Oğuz Soydinç, Sanem Karabulut, Didem Taştekin, Burak Şakar, Naziye Ak","To investigate whether pretreatment serum endocan, platelet-derived growth factor (PDGF)-CC, and -DD levels are elevated in metastatic colorectal cancer (mCRC) patients compared to healthy controls, and to assess their independent associations with chemotherapy response and survival, along with their comparative predictive performance. Adult patients with mCRC receiving systemic chemotherapy combined with an anti-angiogenic agent (bevacizumab or aflibercept) were prospectively enrolled, along with healthy controls. Pretreatment serum samples were collected prior to therapy initiation. Endocan, PDGF-CC, and PDGF-DD levels were measured in duplicate using enzyme-linked immunosorbent assay. Treatment response was evaluated according to Response Evaluation Criteria in Solid Tumors (RECIST) v1.1 and categorized as responders (complete or partial response) and non-responders (stable or progressive disease). Progression-free survival (PFS) and overall survival (OS) were recorded. Median serum levels of endocan (405.5 vs. 269.0 pg/mL), PDGF-DD (499.9 vs. 315.1 pg/mL), and PDGF-CC (2330 vs. 1118 pg/mL) were significantly higher in the mCRC group compared to controls (p < 0.001). In multivariable logistic regression, all three biomarkers were independently associated with non-response to chemotherapy [Odds ratio (ORs): 1.10 for endocan, 1.05 for PDGF-DD, 1.05 for PDGF-CC; all p < 0.05]. For disease progression, Cox regression showed that higher levels of endocan [Hazard ratio (HR) = 1.04], PDGF-DD (HR = 1.03), and PDGF-CC (HR = 1.04) were significant predictors (all p < 0.01). Similar associations were observed for overall mortality (HR = 1.04, 1.02, and 1.02, respectively; all p < 0.05). Endocan, PDGF-DD, and PDGF-CC are elevated in mCRC and independently predict poor treatment response and adverse survival outcomes, highlighting their potential as prognostic biomarkers.",1,1,0,The study focuses on patients with metastatic colorectal cancer (mCRC).,"The study examines patients receiving systemic chemotherapy combined with an anti-angiogenic agent, which includes bevacizumab.","The study describes the association between biomarkers and treatment response and survival, but does not specifically describe the effect of bevacizumab treatment itself."
41622936,Zhongguo fei ai za zhi = Chinese journal of lung cancer,2025,Nov,20,[A Case of Refractory Pulmonary Enteric Adenocarcinoma with EGFR Sensitive Mutation].,"Journal Article, Case Reports, English Abstract","Xinyi Wang, Ning Mu, Feng'e Li, Mei Liu, Yue Xu, Shengnan Wu, Huan Lv, Chunhua Ma","Pulmonary enteric adenocarcinoma (PEAC) is a distinct subtype of non-small cell lung cancer (NSCLC) whose histomorphology and immunophenotype closely resemble those of metastatic colorectal adenocarcinoma; its pathogenesis and standard treatment strategies have yet to be clearly established. Here, we reported a case of PEAC harboring epidermal growth factor receptor (EGFR) exon 19 deletion mutation with high programmed cell death ligand 1 (PD-L1) expression. The patient showed no meaningful response to EGFR-tyrosine kinase inhibitors (EGFR-TKIs), including the first-generation (Icotinib), the second-generation (Afatinib) and the third-generation (Aumolertinib). Trophoblast cell surface antigen 2-antibody-drug conjugate (TROP2-ADC) and immune checkpoint inhibitors (ICIs) combined with Bevacizumab also resulted in limited efficacy. Based on the clinical features and treatment response of this case, we reviewed the published literature about the pathological characteristics, mutational landscape, and current therapeutic approaches for PEAC, with a particular focus on the therapeutic challenges and future research directions for EGFR-mutant PEAC, aiming to provide insights for clinical practice and further studies. .",-1,1,1,"The paper focuses on pulmonary enteric adenocarcinoma (PEAC), a subtype of non-small cell lung cancer, not colorectal cancer.","The paper examines the use of Bevacizumab in combination with other treatments, including immune checkpoint inhibitors and TROP2-ADC, as part of the treatment regimen for the patient.",The paper describes the limited efficacy of Bevacizumab when used in combination with other therapies in the case of EGFR-mutant PEAC.
41589240,International cancer conference journal,2026,Jan,,Two cases of metastatic colorectal cancer in which epidermal growth factor receptor gene amplification benefited from panitumumab monotherapy.,Journal Article,"Taro Sato, Fumio Nagashima, Naohiro Okano, Mariko Nishioka, Masato Hayashi, Yuji Saito, Tadakazu Hisamatsu, Shuichi Hironaka","Panitumumab, an anti-epidermal growth factor receptor (EGFR) antibody, is a standard drug used in patients with RAS wild-type (WT) metastatic colorectal cancer (mCRC). Studies have reported that the KRAS mutation is a negative predictive biomarker; however, EGFR gene amplification may be a predictive biomarker for the response to anti-EGFR antibodies. We encountered two patients with EGFR gene amplification (one with KRAS mutation) who responded to panitumumab monotherapy after failure of standard chemotherapy. Case 1 was an 85-year-old woman with RAS WT transverse colon cancer with liver metastases. After receiving capecitabine monotherapy as first-line therapy, S-1 plus irinotecan plus bevacizumab therapy as second-line, trifluridine/tipiracil (FTD/TPI) monotherapy as third-line, and regorafenib monotherapy as fourth-line therapy, the patient received panitumumab monotherapy as fifth-line therapy. After that, comprehensive gene panel testing showed EGFR gene amplification. This therapy continued for 6.9 months without progressive disease (PD), and liver metastases shrank by up to 72%. Case 2 was a 65-year-old man with RAS WT (initially) sigmoid colon cancer and multiple liver metastases. After receiving mFOLFOX6 plus panitumumab therapy as first-line therapy, FOLFIRI plus bevacizumab as second-line, he underwent conversion surgery. After 3 months, multiple liver metastases were detected on CT scan, then, comprehensive gene panel testing was done, and it showed high tumor mutational burden (TMB) and EGFR amplification. As third-line therapy, he received pembrolizumab monotherapy. After PD for pembrolizumab, OncoBEAM™ was done and it showed neo-RAS mutation. Regardless of that result, panitumumab was resumed as a fourth-line treatment and administered for 5.2 months without PD; liver metastases shrank by up to 50%. We encountered two patients with mCRC and EGFR gene amplification who responded to panitumumab monotherapy. EGFR gene amplification may be a potential biomarker for anti-EGFR antibodies, regardless of RAS status.",1,-1,0,The paper focuses on patients with metastatic colorectal cancer.,The study does not examine the use or effect of Bevacizumab as a main treatment; it is used in combination with other therapies and not as the primary focus.,The study does not describe the effect of Bevacizumab treatment as a primary outcome or in detail; it only mentions its use in prior lines of therapy.
41676146,Frontiers in immunology,2026,,,FPSIR predicts clinical therapeutic responses and survival outcomes in patients with metastatic colorectal cancer undergoing first-line bevacizumab-containing chemotherapy.,"Journal Article, Randomized Controlled Trial","Ya-Nan Li, Feng-Wen Deng, Tian-Qi Lan, Ying Lu, Lin Xiang, Guo-Bin Song, Tian Peng, Xue-Xin Cheng, Hou-Qun Ying","Identifying patients who are most likely to benefit from the combination of bevacizumab and chemotherapy (Bev/CT) is essential for the optimal management of metastatic colorectal cancer (mCRC). The aim of this study is to investigate the utility of chronic inflammatory biomarkers in predicting clinical response to Bev/CT and outcomes in patients with mCRC.
This study enrolled 364 patients with mCRC undergoing first-line Bev/CT therapy. The patients were randomly assigned to discovery (n=249) and validation (n=115) cohorts, maintaining an approximate 2:1 ratio. Two machine learning algorithms, least absolute shrinkage and selection operator (LASSO)-penalized Cox regression and random survival forest (RSF), were employed to identify significant inflammatory biomarkers. Logistic regression, Kaplan-Meier survival analysis, and Cox regression analyses were conducted to evaluate the associations between the clinical outcomes and a product of fibrinogen-pre-albumin ratio and systematic inflammatory ratio (SIR) (FPSIR) and clinical outcomes. The primary endpoints included clinical disease control rate (DCR) and progression-free survival (PFS), 2-year overall survival (OS) was designated as a secondary endpoint.
Following the integration of inflammatory biomarkers identified through the LASSO and RSF algorithms, FPSIR was independently associated with PFS in both the discovery (p log-rank<0.001, adjusted HR = 1.90, 95%CI=1.40-2.57) and validation cohorts (p log-rank=0.01, adjusted HR = 1.89, 95%CI=1.21-2.98). Furthermore, FPSIR-H was significantly associated with worse 2-year OS in the two cohorts (discovery cohort: p log-rank<0.001, adjusted HR = 2.15, 95%CI=1.49-3.10; validation cohort: p log-rank=0.02, adjusted HR = 1.93, 95%CI=1.06-3.51). Survival nomograms that incorporated CEA, CA19-9 and FPSIR (CCF) score, along with peritoneum metastases, number of metastatic sites, surgical intervention, and treatment regimens could effectively estimate 2-year PFS (AUC = 0.83) and 18-month OS (AUC = 0.71) in the discovery cohort, demonstrating robust performance in the validation cohort (AUC = 0.76 and 0.75 for PFS and OS, respectively). Elevated FPSIR was correlated with diminished DCR in Bev/CT therapy (p < 0.01, adjusted OR = 2.24, 95% CI = 1.27-3.96). Serial measurements of FPSIR exhibited dynamic changes that effectively monitored the efficacy of Bev/CT treatment.
Pretreatment FPSIR was identified as a robust biomarker for predicting clinical efficacy and prognosis in mCRC patients receiving first-line Bev/CT, providing a promising strategy to address the long-standing challenge of treatment stratification.",1,1,1,The study explicitly focuses on patients with metastatic colorectal cancer (mCRC).,The study examines the use and effect of Bevacizumab as part of first-line Bev/CT therapy in patients with mCRC.,"The study describes the effect of Bevacizumab treatment by evaluating its clinical response (DCR), progression-free survival (PFS), and overall survival (OS) in relation to the FPSIR biomarker."
41749677,"Bioengineering (Basel, Switzerland)",2026,Jan,24,Multi-Phasic CECT Peritumoral Radiomics Predict Treatment Response to Bevacizumab-Based Chemotherapy in RAS-Mutated Colorectal Liver Metastases.,Journal Article,"Feiyan Jiao, Yiming Liu, Zhongshun Tang, Shuai Han, Tian Li, Yuanpeng Zhang, Peihua Liu, Guodong Huang, Hao Li, Yongping Zheng, Zhou Li, Sai-Kit Lam","This study aims to investigate the predictive value of pre-treatment multi-phasic contrast-enhanced computed tomography (CECT) radiomic features for treatment resistance in patients with rat sarcoma virus (RAS)-mutated colorectal liver metastases (CRLMs) receiving bevacizumab-based chemotherapy. Seventy-three samples with RAS-mutated CRLMs receiving bevacizumab-combined chemotherapy regimens were evaluated. Radiomic features were extracted from arterial phase (AP), portal venous phase (PVP), AP-PVP subtraction image, and Delta phase (DeltaP, calculated as AP-to-PVP ratio) images. Three groups of radiomics features were extracted for each phase, including peritumor, core tumor, and whole-tumor regions. For each of the four phases, a two-sided independent Mann-Whitney U test with the Bonferroni correction and K-means clustering was applied to the remnant features for each phase. Subsequently, the Least Absolute Shrinkage and Selection Operator (LASSO) algorithm was then applied for further feature selection. Six machine learning algorithms were then used for model development and validated on the independent testing cohort. Results showed peritumoral radiomic features and features derived from Laplacian of Gaussian (LoG) filtered images were dominant in all the compared machine learning algorithms; NB models yielded the best-performing prediction (Avg. training AUC: 0.731, Avg. testing AUC: 0.717) when combining all features from different phases of CECT images. This study demonstrates that peritumoral radiomic features and LoG-filtered pre-treatment multi-phasic CECT images were more predictive of treatment response to bevacizumab-based chemotherapy in RAS-mutated CRLMs compared to core tumor features.",1,1,1,"The study focuses on patients with colorectal liver metastases (CRLMs), which are a form of colorectal cancer.",The study examines the use of bevacizumab as part of chemotherapy regimens in patients with RAS-mutated CRLMs.,The study describes the effect of bevacizumab-based chemotherapy treatment by investigating predictive radiomic features for treatment response.
41827721,Cancers,2026,Feb,28,Trifluridine/Tipiracil Plus Bevacizumab Versus Regorafenib in Elderly Patients with Refractory Metastatic Colorectal Cancer: A Real-World Comparative Study.,Journal Article,"Yu-Kang Tseng, Chang-Lin Lin, Shih-Wei Chiang, Feng-Fan Chiang","Taiwan's transition to a super-aged society presents challenges in managing elderly patients with refractory metastatic colorectal cancer (mCRC). This study evaluated the real-world effectiveness of trifluridine/tipiracil (FTD/TPI) plus bevacizumab versus regorafenib in this specific geriatric population.
A retrospective study analyzed patients aged ≥ 65 treated between 2019 and 2023. Patients received regorafenib (n = 46) or FTD/TPI plus bevacizumab (n = 35). Primary endpoints included overall survival (OS) and time to treatment failure (TTF).
FTD/TPI plus bevacizumab was associated with significantly longer median OS compared to regorafenib (12.5 vs. 6.5 months; p = 0.039). In multivariate analysis, the combination regimen was identified as an independent predictor of favorable TTF (adjusted HR 0.44, 95% CI 0.22-0.91, p = 0.028). Regorafenib was associated with symptomatic toxicities like hand-foot skin reaction (58.7%), while the combination primarily caused asymptomatic neutropenia. Crucially, permanent discontinuation due to adverse events was significantly lower in the combination arm (2.9% vs. 30.4%, p < 0.001), facilitating a higher proportion of patients receiving subsequent systemic therapy (45.7% vs. 17.4%, p = 0.011).
FTD/TPI plus bevacizumab is associated with improved survival outcomes and better tolerability than regorafenib. By demonstrating a manageable safety profile and minimizing treatment attrition, this regimen ensures a sustainable continuum of care, representing a favorable therapeutic option for elderly patients.",1,1,1,The study focuses on patients with metastatic colorectal cancer (mCRC).,The study examines the use of Bevacizumab in combination with trifluridine/tipiracil as a treatment for colorectal cancer.,"The study describes the effect of Bevacizumab treatment, including improved survival outcomes and better tolerability compared to regorafenib."
41483630,ESMO open,2026,Jan,,"Corrigendum to ""A phase II study of intrapatient dose escalation of biweekly trifluridine/tipiracil plus bevacizumab for colorectal cancer (E-BiTS study)"": [ESMO Open. Volume 10, Issue 9, (September 2025) 105571].",Published Erratum,"M Wakabayashi, H Taniguchi, A Makiyama, Y Sunakawa, H Takeda, K Arimizu, Y Okumura, C Inagaki, S Mitani, T Kudo, S Yuki, N Akazawa, C Kudo, K Mori, T Matsuda, K Muro",,1,1,1,The study focuses on patients with colorectal cancer.,The study examines the use of Bevacizumab in combination with trifluridine/tipiracil.,The study describes the effect of Bevacizumab treatment as part of the combination therapy.
41425970,BJR case reports,2025,Nov,,Peritoneal metastases from colorectal cancer managed by stereotactic body radiation therapy: presentation of a clinical case and review of literature.,"Case Reports, Journal Article","Alexander Bennassi, Stanislas Ropert, Gokoulakrichenane Loganadane, Clarisse Dromain, Toufik Bennassi","Peritoneal metastasis (PM, or peritoneal carcinomatosis) is often associated with dismal prognosis. The treatment of peritoneal metastasis depends on several factors, including the type of primary cancer, the extent of metastasis and the patient's overall health condition. Apart from systemic chemotherapy and cytoreductive surgery (CRS), locoregional therapies such as hyperthermic intraperitoneal chemotherapy (HIPEC) or pressurized intraperitoneal aerosol chemotherapy (PIPAC) may improve tumour control. CRS is a complex procedure with high morbidity, performed only in approximately 25% of all eligible patients and the efficiency of other non-surgical therapies is not well known. The place of radiation therapy needs to be defined. A 62-year-old woman was referred for surgery for a few days' history of large bowel obstruction. A previous abdominopelvic CT showed an obstructive 3-cm mass in the proximal ascending colon, associated with small bowel dilatation. Right hemi-colectomy was performed. Work-up demonstrated on MRI (magnetic resonance imaging) sub-centimetric secondary liver lesions. 18F-fluorodeoxyglucose positron emission tomography/computed tomography (PET/CT) ruled out other metastatic lesions. After multidisciplinary discussion, peri-operative systemic therapy based on FOLFOX-Bevacizumab was offered and was associated with stable disease for 7 months. Unfortunately, peritoneal progression was detected on PET/CT imaging. FOLFIRI-Bevacizumab was offered as second line systemic therapy followed by resection of residual masses. The patient was considered in remission for 5 months thereafter. A second isolated peritoneal relapse occurred involving the same 2 distinct sites. Second line chemotherapy was re-challenged. The oligorecurrent PM lesions were considered as non-operable. After multidisciplinary team discussion, stereotactic body radiation therapy (SBRT) was decided. The relapse sites were treated with 48 Gy, delivered in 6 fractions of 8 Gy given every other day. At the 22-month follow-up, the patient showed no signs of relapse on CT imaging and no treatment-related toxicities. Isolated peritoneal oligometastatic metastases are associated with poor prognosis. Cytoreductive surgery remains the historical standard of care treatment but represents a minority of all eligible patients. Our case and few other reports suggest that SBRT is a safe, reasonable, and non-invasive treatment option.",1,1,1,The paper discusses a patient with colorectal cancer who developed peritoneal metastases.,The paper examines the use of Bevacizumab as part of systemic therapy (FOLFOX-Bevacizumab and FOLFIRI-Bevacizumab) in the treatment of the patient.,"The paper describes the effect of Bevacizumab treatment, including its role in achieving stable disease and delaying progression, although it was not sufficient to prevent peritoneal relapse."
41547870,Thrombosis journal,2026,Jan,17,Thromboembolic events associated with antiangiogenic monoclonal antibodies: a disproportionality analysis from FDA adverse event reporting system (FAERS) database.,Journal Article,"Hong Zhou, Yanzhao Su, Jianrong Song, Lan Zhen","Antiangiogenic monoclonal antibodies are increasingly used for various cancers. Although studies have reported thromboembolic events (TEEs) in patients receiving antiangiogenic monoclonal antibodies (mAbs), a comprehensive analysis of various thromboembolic events and their correlation with clinical outcomes is lacking.
To evaluate potential signals and clinical outcomes of thromboembolic events associated with antiangiogenic monoclonal antibodies.
An observational, retrospective, and pharmacovigilance study based on the FAERS database collected from the first quarter of 2004 to the third quarter of 2024 was conducted.
The reporting odds ratio (ROR) and the Bayesian Information Criterion (IC) with 95% confidence intervals (CIs) were employed to assess the disproportionate reporting of TEEs linked with antiangiogenic mAbs. A multivariable logistic regression model was implemented to evaluate the association between TEEs and mortality outcomes.
A total of 3319 TEEs with antiangiogenic mAbs were identified including bevacizumab intravenously (3117 reports), ramucirumab (95 reports), and aflibercept intravenously (107 reports) from health professionals. All three antiangiogenic mAbs detected positive signals, including VTE, PE, ATE, and overall TEEs. Interestingly, no positive signals for myocardial Infarction were detected for all the three antiangiogenic mAbs, and no cerebral ATE was detected for aflibercept. Additionally, no signal was detected when comparing the antiangiogenic mAbs directly with one another. Multivariable logistic regression analysis revealed that fatal TEEs occurred more frequently compared to non-TEE outcomes. This association reached statistical significance in the subgroup of reports for bevacizumab in colorectal cancer.
This post-marketing data revealed that antiangiogenic mAbs had similar risks of TEEs. However, the occurrence of TEEs was associated with a higher risk of mortality. Due to the inherent limitations of pharmacovigilance data, these findings represent signals that require validation in prospective studies to establish causality.
The online version contains supplementary material available at 10.1186/s12959-026-00829-w.",1,1,1,"The study includes patients with colorectal cancer who received bevacizumab, as noted in the subgroup analysis for bevacizumab in colorectal cancer.","The study examines bevacizumab as one of the main antiangiogenic monoclonal antibodies, with specific mention of its use in colorectal cancer.","The study describes the effect of bevacizumab treatment, including the association between TEEs and increased mortality in the subgroup of colorectal cancer patients."
