PMID,Journal,Year,Month,Day,Title,Publication Type,Authors,Abstract,s1,s2,s3,r1,r2,r3
41677963,Journal of gastrointestinal cancer,2026,Feb,12,"Safety and Efficacy of Triple Therapy Containing Encorafenib, Cetuximab, and Binimetinib for BRAF V600E-Mutated Colorectal Cancer: a Systematic Review and Meta-Analysis.","Journal Article, Systematic Review, Meta-Analysis, Review","Muhammad Ansab, Noor Ul Huda Ramzan, Ghazal Ishaque, Eiman Araib, Shree Rath, Farwa Nisa, Soban Ali Qasim, Esha Dilawar, Ibrahim Halil Sahin","BRAF V600E-mutated colorectal cancer (CRC) is associated with poor prognosis and resistance to standard chemotherapy. Emerging evidence, including the BEACON trial and subsequent real-world studies, suggests that triple therapy targeting BRAF oncoprotein, epidermal growth factor receptor (EGFR), and MEK improves clinical outcomes.
To evaluate the survival, treatment response, and safety outcomes associated with triple therapy comprising encorafenib, cetuximab, and binimetinib in patients with BRAF V600E-mutated CRC.
A systematic review and meta-analysis were conducted in accordance with the PRISMA guidelines. A comprehensive search of PubMed, Cochrane Central, and ClinicalTrials.gov was performed until October 2024. Proportional outcomes were pooled using inverse-variance logit-transformed random-effects models, and time-to-event outcomes were synthesized using a random-effects survival meta-analysis. Hetrogenity was quantified using I ² statistics. Primary outcomes included overall survival (OS), progression-free survival (PFS), and objective response rate (ORR), while secondary outcomes focused on safety and adverse events.
Six studies (one randomized trial, one phase II trial, and four cohort studies) involving 487 patients were included. The pooled 12-month OS rate was 44% (95% CI: 29-66%), with a median OS of 9.75 months (95% CI: 7.22-15.69). The 12-month PFS rate was 13% (95% CI, 7-24%), and the median PFS was 4.89 months (95% CI: 4.22-6.46). The ORR was 35% (95% CI: 27-44%), including a 5% complete response rate and a 32% partial response rate. Grade ≥ 3 adverse events occurred in 46% of the patients, most commonly acneiform dermatitis and diarrhea.
Triple therapy with encorafenib, cetuximab, and binimetinib offers meaningful improvements in survival and tumor response in BRAF V600E-mutated CRC, although the toxicity remains substantial. Optimizing patient selection and managing adverse events are critical for broader clinical use.",1,1,1,The study focuses on patients with BRAF V600E-mutated colorectal cancer.,The study examines the use of Cetuximab as part of a triple therapy regimen.,"The study describes the effect of Cetuximab treatment in combination with encorafenib and binimetinib, including outcomes such as objective response rate and adverse events."
41650686,"Neoplasia (New York, N.Y.)",2026,Mar,,Inhibition of fatty acid synthase enhances therapeutic efficacy and delays acquired resistance to BRAF-targeted therapy in colorectal cancer.,"Journal Article, Research Support, N.I.H., Intramural","Mariah E Geisen, Josiane W Tessmann, Courtney O Kelson, Daheng He, Chi Wang, Abu Saleh Mosa Faisal, Ellen J Beswick, Yasmine Baca, Stephanie Rock, Jill M Kolesar, Yekaterina Y Zaytseva","The presence of BRAFV600E mutations is associated with poor prognosis in colorectal cancer (CRC). Although the FDA-approved combination of encorafenib and cetuximab provides clinical benefit in this population, only 22% of patients respond and most eventually develop resistance. This study investigated the mechanisms of resistance to PLX8394, a second-generation BRAF inhibitor. Using primary and established BRAFV600E CRC cells, we show that the development of resistance to PLX8394 results in cross-resistance of cells to encorafenib. Moreover, the acquired resistance is associated with increased proliferation, invasion, and upregulation of lipid metabolism, including increased expression of fatty acid synthase (FASN), a key enzyme of lipid synthesis. Yet, the combination of PLX8394 and FASN inhibitor TVB3664 has a synergistic effect on cell viability and colony formation in parental CRC cells, but not in PLX-resistant cells. Importantly, we demonstrate that addition of TVB3664 to the PLX8394 or encorafenib regimen significantly postpones development of resistance to BRAF-targeted therapy by inhibiting the cell cycle progression via a decrease in pRb (Ser780) and downregulation of E2F transcription factor and Cyclin D1 expression. Consistently, clinical data show that patients with BRAFV600E CRC who have high FASN expression in tumor tissues have higher expression of cell cycle-associated genes, including CDKs, E2F, CCDN1 (Cyclin D1), survivin, and MKI67. Collectively, these findings identify FASN-driven lipid metabolism as a critical mediator of resistance to BRAF-targeted therapy and suggest that incorporation of FASN inhibitors may enhance therapeutic efficacy and delay acquired resistance in BRAFV600E CRC.",1,1,1,The study focuses on colorectal cancer (CRC) cells with BRAFV600E mutations.,The study examines the use of Cetuximab in combination with BRAF inhibitors (encorafenib) and discusses its clinical benefit and resistance patterns.,"The study describes the effect of Cetuximab treatment, including its therapeutic efficacy and the development of resistance when used in combination with BRAF inhibitors."
40882637,Cancer cell,2025,Nov,10,"Phase 1/2 trial of encorafenib, cetuximab, and nivolumab in microsatellite stable BRAF","Journal Article, Clinical Trial, Phase II, Clinical Trial, Phase I","Van K Morris, Christine M Parseghian, Vahid Bahrambeigi, Nourhan Abdelfattah, Lianchun Xiao, Anjali Agrawal, Kangyu Lin, Kanwal P S Raghav, Robert A Wolff, Arvind Dasari, Ryan W Huey, Bryan K Kee, Michael J Overman, Jason A Willis, Phat H Le, Michelle Escano, Yunyu C Baig, Kelsey Pan, David Menter, Alda L Tam, Wai C Foo, Li Shen, Hey Min Lee, Thomas D Gallup, Cori Margain, Dave Gallup, Kimal I Rajapakshe, Paola A Guerrero, Jing Wang, Ryan B Corcoran, Anirban Maitra, Kyuson Yun, Scott Kopetz","The BRAF inhibitor encorafenib and anti-epidermal growth factor receptor (EGFR) antibody cetuximab modestly improve survival for patients with microsatellite stable (MSS) BRAFV600E metastatic colorectal cancer (mCRC), characterized by higher immune activation than MSS BRAFwild-type colorectal cancer (CRC). In this phase 1/2 study (NCT04017650) of 26 participants with MSS BRAFV600E mCRC who received encorafenib, cetuximab, and anti-PD-1 antibody nivolumab, we report an overall response rate of 50% (95% confidence interval [CI] 29-71) and median progression-free survival of 7.4 months (95% CI, 5.6-9.6). Transcriptomic profiling of pretreatment biopsies and extracellular vesicle RNA (evRNA) isolated from plasma show enrichment of non-canonical mitogen-activated protein kinase (MAPK) signaling and immune activation signatures for responders. Complement pathway activation enriches in non-responder biopsies. On serial evRNA profiling, decreased MAPK signature and increased interferon gamma response signature associate with sustained treatment benefit. MSS BRAFV600E mCRC with baseline MAPK activation and immune activation signatures may benefit from the triple combination but not with complement pathway activation.",1,1,1,The study focuses on patients with metastatic colorectal cancer (mCRC).,"The study examines the use of cetuximab as part of a triple combination therapy (encorafenib, cetuximab, and nivolumab).","The study describes the effect of cetuximab treatment in combination with encorafenib and nivolumab, including response rates and progression-free survival."
41882736,Journal of experimental & clinical cancer research : CR,2026,Mar,25,BRAF,Journal Article,"Anna Kotarac, Hiroki Osumi, Alexander Malt, Keziban Merve Alp, Armin Jarosch, Johannes Werner, Manuela Benary, Christopher C M Neumann, Ryoji Yao, Philipp Mertins, Roland Eils, Dieter Beule, Christine Sers, Ulrich Keilholz, Naveed Ishaque, Sebastian Stintzing, Loredana Vecchione",,0,0,0,The paper title 'BRAF:' is incomplete and does not provide sufficient information to determine if the study focuses on patients with Colorectal cancer.,The paper title 'BRAF:' is incomplete and does not provide sufficient information to determine if Cetuximab is examined as a treatment.,The paper title 'BRAF:' is incomplete and does not provide sufficient information to determine if the effect of Cetuximab treatment is described.
41651313,Critical reviews in oncology/hematology,2026,Apr,,Anti-EGFR rechallenge compared with standard of care for patients with ctDNA RAS/BRAF wild-type chemorefractory metastatic colorectal cancer: A systematic review and meta-analysis.,"Journal Article, Systematic Review, Meta-Analysis, Comparative Study, Review","Olesya Kuznetsova, Elena Battaiotto, Giulia Malvezzi, Lorenzo Gervaso, Maria Giulia Zampino, Chiara Alessandra Cella, Lavinia Benini, Francesca Spada, Mikhail Fedyanin, Alexey Tryakin, Fabio Carbone, Brigida Anna Maiorano, Davide Ciardiello, Nicola Fazio","Anti-EGFR rechallenge emerged as a potential therapeutic option for patients with chemorefractory metastatic colorectal cancer (mCRC) that maintained a circulating tumor DNA (ctDNA) RAS/BRAF wild type (WT) status. However, its efficacy compared to standard of care (SoC) in randomized controlled trials (RCTs) remains uncertain. In our systematic review and meta-analysis, we investigated the outcomes of anti-EGFR rechallenge versus SoC for patients with pretreated ctDNA RAS/BRAF WT mCRC. This study followed the PRISMA guidelines, and a systematic search of PubMed and ASCO/ESMO meeting abstracts was conducted in October 2025 for relevant RCTs. Pooled odds ratios (OR) for disease control rate (DCR) and objective response rate (ORR), and hazard ratios (HR) for survival outcomes were calculated. We identified three phase II randomized trials with 320 patients. Anti-EGFR rechallenge significantly improved DCR (OR = 3.39, 95 % CI 2.13-5.39), ORR (OR = 5.13, 95 % CI 2.30-11.41) and progression free survival (HR 0.674; 95 % CI, 0.499-0.909; p = 0.009) compared to SoC. No overall survival benefit was detected (HR 0.895; 95 % CI 0.736-1.087; p = 0.263). These findings support the use of anti-EGFR rechallenge strategy aslater-line treatment when tumor shrinkage is a clinical priority. Further evidence from prospective trials is required.",1,1,1,The study focuses on patients with metastatic colorectal cancer (mCRC).,"The study examines the use of anti-EGFR therapy, which includes Cetuximab, as a rechallenge strategy.","The study describes the effect of anti-EGFR rechallenge, which includes Cetuximab, on disease control rate, objective response rate, and progression-free survival."
41300938,"Diagnostics (Basel, Switzerland)",2025,Nov,18,Delta-Radiomics Biomarker in Colorectal Cancer Liver Metastases Treated with Cetuximab Plus Avelumab (CAVE Trial).,Journal Article,"Valerio Nardone, Vittorio Patanè, Luca Marinelli, Luca D'Ambrosio, Sara Del Tufo, Marco De Chiara, Maria Chiara Brunese, Dino Rubini, Roberta Grassi, Anna Russo, Maria Paola Belfiore, Fortunato Ciardiello, Salvatore Cappabianca, Erika Martinelli, Alfonso Reginelli","Background: Radiomics enables the extraction of quantitative imaging biomarkers that can non-invasively capture tumor biology and treatment response. Delta-radiomics, by assessing temporal changes in radiomic features, may improve reproducibility and reveal early therapy-induced alterations. This study investigated whether delta-texture features from contrast-enhanced CT could predict progression-free survival (PFS) and overall survival (OS) in patients with metastatic colorectal cancer (mCRC) liver metastases treated with cetuximab rechallenge plus avelumab within the CAVE trial. Methods: This retrospective substudy included 42 patients enrolled in the multicenter CAVE phase II trial with evaluable liver metastases on baseline and first restaging CT. Liver lesions were manually segmented by two readers, and radiomic features were extracted according to IBSI guidelines. Delta-values were calculated as relative changes between baseline and post-treatment scans. Reproducibility (ICC > 0.70), univariate and multivariable analyses, ROC/AUC, bootstrap resampling, cross-validation, and decision curve analysis were performed to evaluate predictive performance and clinical utility. Results: Among reproducible features, delta-GLCM Homogeneity emerged as the most robust predictor. A decrease in homogeneity independently correlated with longer PFS (HR = 0.32, p = 0.003) and OS (HR = 0.41, p = 0.021). The combined clinical-radiomic model achieved good discrimination (AUC 0.94 training, 0.74 validation) and stable performance on internal validation (bootstrap C-index 0.77). Decision curve analysis indicated greater net clinical benefit compared with clinical variables alone. Conclusions: This exploratory study provides preliminary evidence that delta-GLCM Homogeneity may serve as a reproducible imaging biomarker of response and survival in mCRC patients receiving cetuximab plus avelumab rechallenge. If validated in larger, independent cohorts, delta-radiomics could enable early identification of non-responders and support personalized treatment adaptation in immuno-targeted therapy. Given the small sample size, the potential for overfitting should be considered. Future work should prioritize prospective multicenter validation with a pre-registered, locked model and explore multimodal integration (radiogenomics, circulating biomarkers, and AI-driven fusion of imaging with clinical/omic data) to strengthen translational impact. Beyond imaging advances, these findings align with broader trends in personalized oncology, including response-adaptive strategies, multimodal biomarker integration, and AI-enabled decision support.",1,1,1,The study focuses on patients with metastatic colorectal cancer (mCRC) undergoing treatment.,The study examines the use of Cetuximab in combination with Avelumab as part of the treatment regimen.,The study describes the effect of Cetuximab treatment by evaluating its association with progression-free survival and overall survival using delta-radiomics features.
40523897,Signal transduction and targeted therapy,2025,Jun,17,"Garsorasib, a KRAS G12C inhibitor, with or without cetuximab, an EGFR antibody, in colorectal cancer cohorts of a phase II trial in advanced solid tumors with KRAS G12C mutation.","Journal Article, Clinical Trial, Phase II","Dan-Yun Ruan, Hao-Xiang Wu, Ye Xu, Pamela N Munster, Yanhong Deng, Gary Richardson, Dong Yan, Myung-Ah Lee, Keun-Wook Lee, Hongming Pan, Steven Hager, Xingya Li, Shaozhong Wei, Xinfang Hou, Craig Underhill, Michael Millward, Ina Nordman, Jingdong Zhang, Jianzhen Shan, Guohong Han, Jaspreet Grewal, Shirish M Gadgeel, Rachel E Sanborn, Seok Jae Huh, Xiaohua Hu, Yihong Zhang, Ziyong Xiang, Laisheng Luo, Xiaoxi Xie, Zhe Shi, Yaolin Wang, Ling Zhang, Feng Wang, Rui-Hua Xu","Mutations in the KRAS gene have long been implicated in the pathogenesis of colorectal cancer (CRC). KRAS G12C inhibitors overcome the ""undruggable"" challenge, enabling precision therapy. Garsorasib (D-1553), a highly potent and selective KRAS G12C inhibitor, has demonstrated promising anti-tumor activity and favorable safety profile in early clinical trials. We conducted an open-label, nonrandomized phase II trial (ClinicalTrials.gov, NCT04585035) to assess the safety and efficacy of garsorasib with or without cetuximab in KRAS G12C-mutated CRC. In the monotherapy cohort (n = 26), objective response rate (ORR) was 19.2% (95% CI, 6.6-39.4), disease control rate (DCR) was 92.3% (95% CI, 74.9-99.1), median progression-free survival (PFS) was 5.5 months (95% CI, 2.9-11.6) and median overall survival (OS) was 13.1 months (95% CI, 9.5-NE). In the combination cohort (n = 42), ORR was 45.2% (95% CI, 29.8-61.3), DCR was 92.9% (95% CI, 80.5-98.5), median PFS was 7.5 months (95% CI, 5.5-8.1), and median OS was not reached. Grade ≥3 treatment-related adverse events occurred in 5 (19.2%) and 6 (14.3%) patients in monotherapy and combination cohort, respectively. Garsorasib with or without cetuximab showed a promising efficacy and manageable safety profiles in heavily pretreated patients with KRAS G12C-mutated CRC, providing a potential new treatment approach for such population.",1,1,1,The study explicitly mentions patients with colorectal cancer (CRC) who are undergoing treatment with cetuximab.,"The study examines the use of cetuximab, both as monotherapy and in combination with garsorasib, in patients with KRAS G12C-mutated CRC.","The study describes the effect of cetuximab treatment by reporting outcomes such as objective response rate (ORR), disease control rate (DCR), progression-free survival (PFS), and overall survival (OS) in both monotherapy and combination cohorts."
40555076,ESMO open,2025,Jul,,Comprehensive genomic profiling by liquid biopsy in refractory metastatic colorectal cancer patients who are candidate for anti-EGFR rechallenge therapy: findings from the CAVE-2 GOIM trial.,"Journal Article, Clinical Trial, Phase II, Randomized Controlled Trial","D Ciardiello, L Boscolo Bielo, F Pietrantonio, G Martini, T Troiani, E Martinelli, S Natangelo, M F Bosco, S Pisconti, C Nisi, G Tortora, L Salvatore, A Sartore-Bianchi, S Siena, L Blasi, M Messina, E Ongaro, A Zaniboni, C Pinto, L Antonuzzo, A Avallone, N Normanno, G Santabarbara, M G Zampino, R Berardi, A A Cogoni, S Leo, C Lotesoriere, T P Latiano, E Maiello, N Fazio, G Curigliano, R Bordonaro, F De Vita, F Ciardiello, S Napolitano","Biomarker-guided therapies are needed for patients with refractory metastatic colorectal cancer (mCRC). Liquid biopsy (LBx) circulating tumor DNA (ctDNA) comprehensive genomic profiling (CGP) could contribute to the clinical tailoring of molecular targeted therapies for these patients.
The CAVE-2 GOIM trial is a randomized phase II trial assessing the efficacy of adding avelumab to cetuximab compared with cetuximab monotherapy as anti-epidermal growth factor receptor (EGFR) rechallenge in refractory ctDNA RAS/BRAFV600E wild-type mCRC patients. Baseline plasma ctDNA CGP was carried out using the Foundation One Liquid CDx.
LBx-based CGP was available for 324 patients out of 328 screened. A total of 1969 pathogenic variants (PVs) were detected. One hundred and thirty-five cases (41.7%) had single RAS/BRAFV600 PVs, with 24 tumors (17.6%) having multiple RAS/BRAFV600 PVs. Of 166 RAS/BRAFV600 PVs, 95 (57.2%) consisted of subclonal alterations {median variant allele frequency [VAF] of 0.37% [interquartile range (IQR) 0.18%-1.0%] versus median VAF of 4.0% [IQR 0.65%-11.25%] in 71 cases of clonal PV; P < 0.0001}. Single RAS/BRAFV600 alterations had higher clonality compared with co-occurring RAS/BRAFV600 alterations [12.8% (IQR 1.93%-56.0%) versus 0.67% (IQR 0.37-3.35), P < 0.0001]. Among other genes potentially involved in anti-EGFR drug resistance, 174 non-RAS/BRAFV600 PV were observed with 73 cases having both co-occurring RAS/BRAFV600 and non-RAS/BRAFV600 PV, while in 43 cases only non-RAS/BRAFV600 PV were detected. Tumors harboring co-occurring non-RAS/BRAFV600 PV had significantly lower clonality as compared with RAS/BRAFV600 PV [1.52 (0.46-8.88) versus 17.0 (3.75-71.0), P < 0.0001]. Finally, a total of 332 genomic alterations with therapeutic relevance according to the European Society for Medical Oncology (ESMO) Scale for Clinical Actionability of Molecular Targets (ESCAT) were detected for 171 patients (52.7%). Of these, 120 tier I alterations were detected among 111 (34.3%) patients, which included high tumor mutational burden (≥10 mut/Mb, n = 101), BRAFV600E (n = 11), KRASG12C (n = 7), and RETfusion (n = 1).
LBx-based CGP might guide the appropriate use of anti-EGFR drug rechallenge or of other therapeutically actionable gene alterations in refractory mCRC.",1,1,0,The study focuses on patients with metastatic colorectal cancer (mCRC).,The study examines the use of Cetuximab as part of anti-EGFR rechallenge therapy.,"The study does not describe the specific effect of Cetuximab treatment, but rather evaluates the role of liquid biopsy and genomic profiling in guiding anti-EGFR therapy."
40737898,"European journal of cancer (Oxford, England : 1990)",2025,Aug,26,A140 plus mFOLFOX6 compared with cetuximab plus mFOLFOX6 for first-line RAS wild-type metastatic colorectal cancer: A randomized clinical trial.,"Clinical Trial, Phase III, Equivalence Trial, Journal Article, Multicenter Study","Rongrui Liu, Xianli Yin, Yuxian Bai, Haijun Zhong, Feng Ye, Qi Wang, Mulin Liu, Ning Li, Yanhong Deng, Yusheng Wang, Jinxiu Xu, Wei Li, Kehe Chen, Sanjun Cai, Jianwei Yang, Tao Zhang, Yunfeng Li, Baoli Qin, Lichun Deng, Shulin Liu, Sicong Li, Jing Si, Yaling Li, Junyou Ge, Nong Xu, Jianming Xu","EGFR inhibition, combined with chemotherapy, forms a mainstay of treatment of first-line RAS wild-type (RASwt) metastatic CRC (mCRC). We compared the anti-EGFR antibody, A140, with cetuximab (both combined with chemotherapy) for RASwt mCRC.
In this phase 3, randomized, double-blind, multi-center equivalence trial in China, patients were randomized (1:1) to oxaliplatin, 5-fluorouracil, and leucovorin (modified [m] FOLFOX6), plus either A140 or cetuximab for ≤ 16 weeks until disease progression or unacceptable toxicity. After the 16-week treatment period, patients who investigators deemed could benefit received A140 plus mFOLFOX6. Eligible patients were 18-75 years old with histologically confirmed RASwt mCRC and an Eastern Cooperative Oncology Group (ECOG) score of 0-1. Primary endpoint was objective response rate (ORR [RECIST v1.1]), per independent review committee, over the 16 weeks. A140 was considered equivalent if the 90 % CIs for the ORR ratio were between 0.83 and 1.20. Secondary endpoints included progression-free survival (PFS), overall survival (OS), safety, immunogenicity, and pharmacokinetics.
Overall, 688 patients were randomized to A140 (n = 341) or cetuximab (n = 347). As of 22-Mar-2023, the ORR was 71.0 % (A140) and 77.5 % (cetuximab); the ORR ratio was 0.93 (90 % CI, 0.87-0.99). With a median follow-up of 19.6 months, no notable differences in PFS, OS, or duration of response were observed between arms. Safety profiles and immunogenicity were similar between arms and no new safety signals were observed.
A140 plus mFOLFOX6 is equivalent to cetuximab plus mFOLFOX6 for RASwt mCRC, with no appreciable differences in safety profiles. A140 plus mFOLFOX6 may provide a new treatment option for patients with RASwt mCRC.
NCT04835142.",1,1,1,The study focuses on patients with RAS wild-type metastatic colorectal cancer.,The study examines the use of Cetuximab as part of the treatment regimen (cetuximab plus mFOLFOX6) and compares it with A140 plus mFOLFOX6.,"The study describes the effect of Cetuximab treatment, including objective response rate, progression-free survival, overall survival, and safety profiles."
41852303,Cancer medicine,2026,Mar,,A Randomized Trial of Encorafenib and Cetuximab Versus Irinotecan/Cetuximab or FOLFIRI/Cetuximab in Chinese Patients With BRAF,"Journal Article, Randomized Controlled Trial, Clinical Trial, Phase II","Wang Xicheng, Deng Yanhong, Zhang Yanqiao, Liu Tianshu, Yuan Xianglin, Yang Jianwei, Zhang Tao, Zang Aimin, Liu Yu, Huang Li, Ye Feng, Zong Hong, Ba Yi, Klauck Isabelle, Vedovato Jean-Claude, Groc Mélanie, Guo Angela, Li Jian, Shen Lin","Colorectal cancer (CRC) is a major health burden globally and in China, where 3%-5% of cases involve the BRAFV600E mutation, which is associated with aggressive disease and therefore a poor prognosis. Although the combination of encorafenib and cetuximab has demonstrated improved survival in BRAFV600E mutant metastatic CRC (mCRC), such treatments remain unavailable as chemotherapy-free options in China.
The NAUTICAL CRC, a Phase II study in Chinese patients with BRAFV600E mutant metastatic CRC, includes a Safety Lead-In (SLI) phase for tolerability assessment and a randomized phase comparing encorafenib/cetuximab vs. irinotecan-based regimens, potentially bridging the treatment gap and evaluating safety, efficacy, and Quality of Life (QoL) outcomes in this Chinese population.
No dose-limiting toxicity was identified in the SLI phase (N = 10). In the Randomized phase (N = 97), the Doublet arm demonstrated superior progression-free survival (PFS) of 4.2 months vs. 2.5 months in the Control arm (hazard ratio [HR]: 0.37, p = 0.0004) and longer overall survival (OS) of 11.6 months vs. 8.2 months (HR: 0.55). Treatment-related adverse events were common but more severe in the Control arm. QoL measures consistently favored the Doublet arm, showing improved health status and reduced deterioration risk.
This NAUTICAL CRC Phase II study showed that the combination of encorafenib and cetuximab offers significant clinical benefits, improving PFS and OS, while providing manageable safety and important QoL advantages, making it a valuable treatment option for Chinese patients with previously treated BRAFV600E mutant mCRC.
Clinical study registration number: NCT05004350.",1,1,1,The study focuses on patients with BRAFV600E mutant metastatic colorectal cancer (mCRC).,The study examines the use of Cetuximab in combination with Encorafenib as a treatment for BRAFV600E mutant mCRC.,"The study describes the effect of Cetuximab treatment, including improved progression-free survival, overall survival, and quality of life outcomes."
