PMID,Journal,Year,Month,Day,Title,Publication Type,Authors,Abstract,s1,s2,s3,r1,r2,r3
29125233,Cancer medicine,2017,Dec,,In vivo imaging xenograft models for the evaluation of anti-brain tumor efficacy of targeted drugs.,"Comparative Study, Journal Article","Kenji Kita, Sachiko Arai, Akihiro Nishiyama, Hirokazu Taniguchi, Koji Fukuda, Rong Wang, Tadaaki Yamada, Shinji Takeuchi, Shoichiro Tange, Atsushi Tajima, Mitsutoshi Nakada, Kazuo Yasumoto, Yoshiharu Motoo, Takashi Murakami, Seiji Yano","Molecular-targeted drugs are generally effective against tumors containing driver oncogenes, such as EGFR, ALK, and NTRK1. However, patients harboring these oncogenes frequently experience a progression of brain metastases during treatment. Here, we present an in vivo imaging model for brain tumors using human cancer cell lines, including the EGFR-L858R/T790M-positive H1975 lung adenocarcinoma cells, the NUGC4 hepatocyte growth factor (HGF)-dependent gastric cancer cells, and the KM12SM colorectal cancer cells containing the TPM3-NTRK1 gene fusion. We investigated the efficacy of targeted drugs by comparison with their effect in extracranial models. In vitro, H1975 cells were sensitive to the third-generation epidermal growth factor receptor inhibitor osimertinib. Moreover, HGF stimulated the proliferation of NUGC4 cells, that was inhibited by crizotinib, which has anti-MET activity. KM12SM cells were sensitive to the tropomyosin-related kinase-A inhibitors crizotinib and entrectinib. In in vivo H1975 cell models, osimertinib inhibited the progression of both brain and subcutaneous tumors. Furthermore, in in vivo NUGC4 cell models, crizotinib remarkably delayed the progression of brain tumors, and that of peritoneal carcinomatosis. Interestingly, in in vivo KM12SM cell models, treatment with crizotinib delayed the progression of liver metastases, but not that of brain tumors. Conversely, treatment with entrectinib discernibly delayed the progression of both tumor types. Thus, the effect of targeted drugs against brain tumors can differ from the one reported in extracranial tumors. Moreover, the same multikinase inhibitory drug can display different efficacies in brain tumor models containing different drivers. Therefore, our in vivo imaging model for brain tumors may prove useful for preclinical drug screening against brain metastases.",1,1,1,"The study includes KM12SM colorectal cancer cells, which are relevant to the population criterion (Colorectal cancer).","The study examines the use and effect of Crizotinib on KM12SM colorectal cancer cells and NUGC4 gastric cancer cells, indicating its use as a treatment.","The study describes the effect of Crizotinib treatment on delaying the progression of liver metastases in KM12SM colorectal cancer models, though not on brain tumors."
28320945,Proceedings of the National Academy of Sciences of the United States of America,2017,Apr,04,Three-dimensional culture system identifies a new mode of cetuximab resistance and disease-relevant genes in colorectal cancer.,"Journal Article, Research Support, N.I.H., Extramural, Research Support, Non-U.S. Gov't","Cunxi Li, Bhuminder Singh, Ramona Graves-Deal, Haiting Ma, Alina Starchenko, William H Fry, Yuanyuan Lu, Yang Wang, Galina Bogatcheva, Mohseen P Khan, Ginger L Milne, Shilin Zhao, Gregory Daniel Ayers, Nenggan Li, Huaying Hu, Mary Kay Washington, Timothy J Yeatman, Oliver G McDonald, Qi Liu, Robert J Coffey","We previously reported that single cells from a human colorectal cancer (CRC) cell line (HCA-7) formed either hollow single-layered polarized cysts or solid spiky masses when plated in 3D in type-I collagen. To begin in-depth analyses into whether clonal cysts and spiky masses possessed divergent properties, individual colonies of each morphology were isolated and expanded. The lines thus derived faithfully retained their parental cystic and spiky morphologies and were termed CC (cystic) and SC (spiky), respectively. Although both CC and SC expressed EGF receptor (EGFR), the EGFR-neutralizing monoclonal antibody, cetuximab, strongly inhibited growth of CC, whereas SC was resistant to growth inhibition, and this was coupled to increased tyrosine phosphorylation of MET and RON. Addition of the dual MET/RON tyrosine kinase inhibitor, crizotinib, restored cetuximab sensitivity in SC. To further characterize these two lines, we performed comprehensive genomic and transcriptomic analysis of CC and SC in 3D. One of the most up-regulated genes in CC was the tumor suppressor 15-PGDH/HPGD, and the most up-regulated gene in SC was versican (VCAN) in 3D and xenografts. Analysis of a CRC tissue microarray showed that epithelial, but not stromal, VCAN staining strongly correlated with reduced survival, and combined epithelial VCAN and absent HPGD staining portended a poorer prognosis. Thus, with this 3D system, we have identified a mode of cetuximab resistance and a potential prognostic marker in CRC. As such, this represents a potentially powerful system to identify additional therapeutic strategies and disease-relevant genes in CRC and possibly other solid tumors.",1,1,1,The study focuses on colorectal cancer (CRC) using a CRC cell line (HCA-7) and derived cell lines (CC and SC).,The study examines the use of crizotinib as a dual MET/RON tyrosine kinase inhibitor to restore cetuximab sensitivity in SC cells.,"The study describes the effect of crizotinib treatment, showing that it restores cetuximab sensitivity in SC cells that are resistant to cetuximab."
35343863,Expert opinion on therapeutic patents,2022,Jun,,An updated patent review of small-molecule ROS1 kinase inhibitors (2015-2021).,"Journal Article, Review","Meng Liu, Jintian Dai, Mudan Wei, Qingshan Pan, Wufu Zhu","C-ros oncogene 1 (ROS1) is the sole member of the ROS1 receptor tyrosine kinase (ROS1-RTK) family, which is involved in the formation of non-small cell lung cancer (NSCLC), gastric adenocarcinoma, colorectal cancer, and other malignant tumors. At present, only crizotinib was approved for the treatment of advanced ROS1-positive NSCLC, and there have been reports of ROS1 mutations resulting in drug resistance. Consequently, it is necessary to develop new generations of inhibitors to overcome the existing problems.
This review summarizes the inhibitors with ROS1 inhibitory activity which are undergoing clinical trials and recent advances in patented ROS1 small molecular inhibitors from 2015 to 2021.
ROS1 rearrangements have been found in approximately 1%-2% of patients with NSCLC. Since the approval of crizotinib as multi-targeted ALK/MET/ROS1 kinase inhibitor for ALK-mutated NSCLC therapy, the researchers are focusing on ROS1-mutated tumors, especially NSCLC. However, drug-resistant mutations have already been found in clinical application. Therefore, it is still urgent to develop new generation of ROS1 inhibitors.",1,1,0,"The paper mentions that ROS1 rearrangements are found in colorectal cancer, indicating the focus includes colorectal cancer.","The paper discusses crizotinib as a multi-targeted inhibitor that includes ROS1, and its use in the treatment of ROS1-positive cancers, including colorectal cancer.","The paper does not specifically describe the effect of crizotinib treatment in colorectal cancer patients, only its general use and resistance issues in ROS1-positive tumors."
34036227,JCO precision oncology,2021,,,"Clinical Responses to Crizotinib, Alectinib, and Lorlatinib in a Metastatic Colorectal Carcinoma Patient With ALK Gene Rearrangement: A Case Report.","Case Reports, Journal Article","Xi He, Xiao-Dong Jiao, Ke Liu, Bao-Dong Qin, Ying Wu, Yan Ling, Jun Liu, A-Qiao Xu, Kun Song, Yuan-Sheng Zang",,1,1,1,"The paper describes a metastatic colorectal carcinoma patient, fulfilling the requirement for 'Colorectal cancer'.",The paper examines the use of Crizotinib as a treatment in a patient with ALK gene rearrangement.,The paper describes the clinical response to Crizotinib treatment in the patient.
26438251,Current medicinal chemistry,2016,,,ROS1 Kinase Inhibitors for Molecular-Targeted Therapies.,"Journal Article, Research Support, Non-U.S. Gov't, Review","M M Al-Sanea, A Z Abdelazem, B S Park, K H Yoo, T Sim, Y J Kwon, S H Lee","ROS1 is a pivotal transmembrane receptor protein tyrosine kinase which regulates several cellular processes like apoptosis, survival, differentiation, proliferation, cell migration, and transformation. There is increasing evidence supporting that ROS1 plays an important role in different malignancies including glioblastoma, colorectal cancer, gastric adenocarcinoma, inflammatory myofibroblastic tumor, ovarian cancer, angiosarcoma, and non small cell lung cancer; thus, ROS1 has become a potential drug discovery target. ROS1 shares about 49% sequence homology with ALK primary structure; therefore, wide range of ALK kinase inhibitors have shown in vitro inhibitory activity against ROS1 kinase. After Crizotinib approval by FDA for the management of ALK-rearranged lung cancer, ROS1-positive tumors have been focused. Although significant advancements have been achieved in understanding ROS1 function and its signaling pathways plus recent discovery of small molecules modulating ROS1 protein, a vital need of medicinal chemistry efforts is still required to produce selective and potent ROS1 inhibitors as an important therapeutic strategy for different human malignancies. This review focuses on the current knowledge about different scaffolds targeting ROS1 rearrangements, methods to synthesis, and some biological data about the most potent compounds that have delivered various scaffold structures.",1,1,0,"The paper mentions that ROS1 plays an important role in colorectal cancer, indicating that the study focuses on this population.","The paper discusses Crizotinib as an ALK kinase inhibitor with in vitro inhibitory activity against ROS1, suggesting it examines the use of Crizotinib.","The paper does not provide specific data or results on the effect of Crizotinib treatment in colorectal cancer, only general information about its inhibitory activity."
37773318,NPJ precision oncology,2023,Sep,29,ALK fusions in the pan-cancer setting: another tumor-agnostic target?,"Journal Article, Review","Aditya Shreenivas, Filip Janku, Mohamed A Gouda, Hui-Zi Chen, Ben George, Shumei Kato, Razelle Kurzrock","Anaplastic lymphoma kinase (ALK) alterations (activating mutations, amplifications, and fusions/rearrangements) occur in ~3.3% of cancers. ALK fusions/rearrangements are discerned in >50% of inflammatory myofibroblastic tumors (IMTs) and anaplastic large cell lymphomas (ALCLs), but only in ~0.2% of other cancers outside of non-small cell lung cancer (NSCLC), a rate that may be below the viability threshold of even large-scale treatment trials. Five ALK inhibitors -alectinib, brigatinib, ceritinb, crizotinib, and lorlatinib-are FDA approved for ALK-aberrant NSCLCs, and crizotinib is also approved for ALK-aberrant IMTs and ALCL, including in children. Herein, we review the pharmacologic tractability of ALK alterations, focusing beyond NSCLC. Importantly, the hallmark of approved indications is the presence of ALK fusions/rearrangements, and response rates of ~50-85%. Moreover, there are numerous reports of ALK inhibitor activity in multiple solid and hematologic tumors (e.g., histiocytosis, leiomyosarcoma, lymphoma, myeloma, and colorectal, neuroendocrine, ovarian, pancreatic, renal, and thyroid cancer) bearing ALK fusions/rearrangements. Many reports used crizotinib or alectinib, but each of the approved ALK inhibitors have shown activity. ALK inhibitor activity is also seen in neuroblastoma, which bear ALK mutations (rather than fusions/rearrangements), but response rates are lower (~10-20%). Current data suggests that ALK inhibitors have tissue-agnostic activity in neoplasms bearing ALK fusions/rearrangements.",1,1,0,"The paper mentions colorectal cancer as one of the tumor types where ALK fusions/rearrangements have been reported, and crizotinib has been used in such cases.","The paper discusses the use of crizotinib in multiple tumor types, including colorectal cancer, as one of the ALK inhibitors with reported activity.","While the paper mentions crizotinib's activity in colorectal cancer, it does not provide specific data or describe the effect of crizotinib treatment in detail for this cancer type."
40140597,BJC reports,2025,Mar,26,A phase Ia study of the MEK1/2 inhibitor PD-0325901 with the c-MET inhibitor crizotinib in patients with advanced solid cancers.,Journal Article,"Peter Gallagher, Christian Rolfo, Elena Elez, Julien Taieb, Jennifer Houlden, Linda Collins, Corran Roberts, Thierry André, Mark Lawler, Federica Di Nicolantonio, Margaret Grayson, Ruth Boyd, Vlad Popovici, Alberto Bardelli, Robbie Carson, Hajrah Khawaja, Pierre Laurent-Puig, Manuel Salto-Tellez, Bryan T Hennessy, Tim S Maughan, Josep Tabernero, Richard Adams, Robert Jones, Marc Peeters, Mark R Middleton, Richard H Wilson, Sandra Van Schaeybroeck,  ","Single-agent MEK1/2 inhibition has been disappointing in clinical trials targeting RAS mutant (MT) cancers, probably due to upstream receptor activation, resulting in resistance. We previously found that dual c-MET/MEK1/2 inhibition attenuated RASMT colorectal cancer (CRC) xenograft growth. In this study, we assessed safety of MEK1/2 inhibitor PD-0325901 with c-MET inhibitor crizotinib and determined the optimal biological doses for subsequent clinical trials.
In this dose-escalation phase I trial, patients with advanced solid tumours received PD-0325901 with crizotinib, using a rolling-6 design to determine the maximum tolerable dose (MTD) and safety/tolerability. Blood samples for pharmacokinetics and skin biopsies were collected.
Twenty-five patients were recruited in 4 cohorts up to doses of crizotinib 200 mg B.D continuously with PD-0325901 8 mg B.D, days 1-21 every 28 days. One in six patients exhibited a dose-limiting toxicity at this dose level. Drug-related adverse events were in keeping with single-agent toxicity profiles. The best clinical response was stable disease in seven patients (29%).
PD-0325901/crizotinib can be given together at pharmacologically-active doses. The MTD for PD-0325901/crizotinib was 8 mg B.D (days 1-21) and 200 mg B.D continuously in a 28-days cycle. The combination was further explored with an alternate MEK1/2 inhibitor in RASMT CRC patients.
2014-000463-40.",1,1,1,The study includes patients with colorectal cancer (CRC) as part of the population being considered for treatment.,"The study examines the use of Crizotinib in combination with PD-0325901 as a treatment in patients with advanced solid cancers, including CRC.","The study describes the effect of Crizotinib treatment, including its pharmacological activity, safety profile, and combination with another drug in clinical trials."
33676682,Talanta,2021,May,01,Detection of colorectal cancer using a small molecular fluorescent probe targeted against c-Met.,Journal Article,"Ji Tao, Yuanbiao Tu, Peifei Liu, Yongjia Tang, Fang Wang, Zhaolun Li, Chang Li, Yi Li, Yi Ma, Yueqing Gu","Colorectal cancer (CRC), a highly heterogeneous genetic disease, is currently the second leading cause of cancer-related deaths worldwide. This malignant cancer is typically preceded by the development of precancerous lesions, which are challenging to distinguish their subtle morphologic changes. Molecular-based fluorescence imaging can effectively identify lesion targets to enhance image contrast and improve the detection of early neoplasia comparing to conventional wide-light screening endoscopy. C-Met has been identified as overexpressed in CRC advanced stage and has been suggested as a validated potential theranostic target. Herein, we developed a new small molecular fluorescence probe, namely Crizotinib-PEG4-MPA, specifically binds to c-Met in CRC cells and colitis-associated cancer adenoma. In vitro binding studies confirmed the specificity and selectively of Crizotinib-PEG4-MPA against c-Met, the corresponding apparent equilibrium dissociation constants (Kd) was 3.86 μM for Crizotinib-PEG4-MPA. Additionally, the probe was carried out to c-Met positive tumor-bearing mice in vivo to explore the diagnostic potential clinical value, the method used a randomized block design to cluster mice into groups and found the tumor/normal signal ratio value up to 4.23 (95% confidence interval (CI) 4.07-4.39) at 6 h. More importantly, Crizotinib-PEG4-MPA was used to detect the occurrence of the colon adenoma and the in vivo imaging results showed the mean fluorescence intensity of the CAC colon is significantly higher than that in the normal group (P < 0.001). Furthermore, the immunofluorescence signals of biopsies samples demonstrated the probe indeed targets the c-Met and possesses the property to distinguish colon adenoma from normal colon tissue. Altogether, this novel fluorescence probe, with excellent C-met-targeting ability, has a substantial potential to serve as a widely available in vivo tracer for the early diagnosis and monitoring of colorectal cancer.",1,-1,0,The study focuses on colorectal cancer (CRC) in both cell lines and mouse models.,The study does not examine Crizotinib as a treatment; it uses Crizotinib as a component of a fluorescent probe for diagnostic purposes.,"The study does not describe the therapeutic effect of Crizotinib treatment, only its use as a targeting agent in a fluorescence probe."
28886275,Cancer biology & therapy,2017,Sep,02,Preclinical rationale for combination of crizotinib with mitomycin C for the treatment of advanced colorectal cancer.,Journal Article,"Avital Lev, Safoora Deihimi, Elena Shagisultanova, Joanne Xiu, Amriti R Lulla, David T Dicker, Wafik S El-Deiry","Colorectal cancer (CRC) is a leading cause of cancer-related deaths in the United States. We analyzed 26 MSI-High and 558 non-MSI-High CRC tumors. BRCA2 mutations were highly enriched (50%) in MSI-High CRC. Immunohistochemistry showed that BRCA2-mutated MSI-High CRC had high c-MET (64%) expression compared with BRCA-WT (17%). We hypothesized a mechanistic link between BRCA2-deficiency and c-MET overexpression and synergistic interaction between drugs that treat BRCA-deficient tumors (mitomycin C (MMC) or PARP inhibitors) and c-MET inhibitors (crizotinib). We tested CRC cell lines for sensitivity to MMC plus crizotinib or other drug combinations including PARP-inhibitors. Combined treatment of tumor cells with crizotinib and MMC led to increased apoptosis as compared with each drug alone. Additionally, combination treatment with increasing concentrations of both drugs demonstrated a synergistic anti-cancer effect (CI = 0.006-0.74). However, we found no evidence for c-MET upregulation upon effective BRCA2 knockdown in tumor cells -/+DNA damage. Although we found no mechanistic link between BRCA2 deficiency and c-MET overexpression, c-MET is frequently overexpressed in CRC and BRCA2 is mutated especially in MSI-H CRC. The combination of crizotinib with MMC appeared synergistic regardless of MSI or BRCA2 status. Using an in-vivo CRC xenograft model we found reduced tumor growth with combined crizotinib and MMC therapy (p = 0.0088). Our preclinical results support clinical testing of the combination of MMC and crizotinib in advanced CRC. Targeting cell survival mediated by c-MET in combination with targeting DNA repair may be a reasonable strategy for therapy development in CRC or other cancers.",1,1,1,The study focuses on colorectal cancer (CRC) cell lines and xenograft models.,The study examines the use and effect of crizotinib in combination with mitomycin C in CRC cell lines.,"The study describes the effect of crizotinib treatment, including increased apoptosis and synergistic anti-cancer effects when combined with mitomycin C."
23719267,Clinical cancer research : an official journal of the American Association for Cancer Research,2013,Aug,01,Molecular pathways: ROS1 fusion proteins in cancer.,"Journal Article, Research Support, N.I.H., Extramural, Research Support, Non-U.S. Gov't, Review","Kurtis D Davies, Robert C Doebele","Genetic alterations that lead to constitutive activation of kinases are frequently observed in cancer. In many cases, the growth and survival of tumor cells rely upon an activated kinase such that inhibition of its activity is an effective anticancer therapy. ROS1 is a receptor tyrosine kinase that has recently been shown to undergo genetic rearrangements in a variety of human cancers, including glioblastoma, non-small cell lung cancer (NSCLC), cholangiocarcinoma, ovarian cancer, gastric adenocarcinoma, colorectal cancer, inflammatory myofibroblastic tumor, angiosarcoma, and epithelioid hemangioendothelioma. These rearrangements create fusion proteins in which the kinase domain of ROS1 becomes constitutively active and drives cellular proliferation. Targeting ROS1 fusion proteins with the small-molecule inhibitor crizotinib is showing promise as an effective therapy in patients with NSCLC whose tumors are positive for these genetic abnormalities. This review discusses the recent preclinical and clinical findings on ROS1 gene fusions in cancer.",1,1,0,The paper mentions that ROS1 rearrangements are observed in colorectal cancer.,"The paper discusses the use of crizotinib as a therapy targeting ROS1 fusion proteins in cancers, including colorectal cancer.",The paper provides general information about crizotinib's potential but does not specifically describe its treatment effect in colorectal cancer patients.
