PMID,Journal,Year,Month,Day,Title,Publication Type,Authors,Abstract,s1,s2,s3,r1,r2,r3
27501592,Urologic nursing,2016,,,Retrospective Audit: Does Prior Assessment by Oral and Maxillofacial Surgeons Reduce the Risk of Osteonecrosis of The Jaw in Patients Receiving Bone-Targeted Therapies for Metastatic Cancers to the Skeleton?--Part II.,Journal Article,"Bruce Turner, Sacha Ali, Jhumur Pati, Vinod Nargund, Enamul Ali, Leo Cheng, Paula Wells","Men who receive bone-targeted therapy for metastatic prostate cancer are at increased risk of osteonecrosis of the jaw (ONJ). Development of ONJ has been associated with the administration of bone-targeted therapies in association with other risk factors. ONJ can be distressing for a patient because it can cause pain, risk of jaw fracture, body image disturbance, difficultly eating, and difficulty maintaining good oral hygiene. The aim of this article is to report results of an audit of prior assessment by oral and maxillofacial surgeons (OMFS) before initiation of bone-targeted therapies and whether it may reduce the risk of ONJ in patients receiving bone-targeted therapies for advanced cancers.",-1,-1,-1,"The study focuses on patients with metastatic prostate cancer, not colorectal cancer.",The study does not examine the use or effect of Denosumab; it focuses on general bone-targeted therapies.,The study does not specifically describe the effect of Denosumab treatment.
26040499,"Lancet (London, England)",2015,Aug,01,"Adjuvant denosumab in breast cancer (ABCSG-18): a multicentre, randomised, double-blind, placebo-controlled trial.","Clinical Trial, Phase III, Journal Article, Multicenter Study, Randomized Controlled Trial, Research Support, Non-U.S. Gov't","Michael Gnant, Georg Pfeiler, Peter C Dubsky, Michael Hubalek, Richard Greil, Raimund Jakesz, Viktor Wette, Marija Balic, Ferdinand Haslbauer, Elisabeth Melbinger, Vesna Bjelic-Radisic, Silvia Artner-Matuschek, Florian Fitzal, Christian Marth, Paul Sevelda, Brigitte Mlineritsch, Günther G Steger, Diether Manfreda, Ruth Exner, Daniel Egle, Jonas Bergh, Franz Kainberger, Susan Talbot, Douglas Warner, Christian Fesl, Christian F Singer,  ","Adjuvant endocrine therapy compromises bone health in patients with breast cancer, causing osteopenia, osteoporosis, and fractures. Antiresorptive treatments such as bisphosphonates prevent and counteract these side-effects. In this trial, we aimed to investigate the effects of the anti-RANK ligand antibody denosumab in postmenopausal, aromatase inhibitor-treated patients with early-stage hormone receptor-positive breast cancer.
In this prospective, double-blind, placebo-controlled, phase 3 trial, postmenopausal patients with early hormone receptor-positive breast cancer receiving treatment with aromatase inhibitors were randomly assigned in a 1:1 ratio to receive either denosumab 60 mg or placebo administered subcutaneously every 6 months in 58 trial centres in Austria and Sweden. Patients were assigned by an interactive voice response system. The randomisation schedule used a randomly permuted block design with block sizes 2 and 4, stratified by type of hospital regarding Hologic device for DXA scans, previous aromatase inhibitor use, and baseline bone mineral density. Patients, treating physicians, investigators, data managers, and all study personnel were masked to treatment allocation. The primary endpoint was time from randomisation to first clinical fracture, analysed by intention to treat. As an additional sensitivity analysis, we also analysed the primary endpoint on the per-protocol population. Patients were treated until the prespecified number of 247 first clinical fractures was reached. This trial is ongoing (patients are in follow-up) and is registered with the European Clinical Trials Database, number 2005-005275-15, and with ClinicalTrials.gov, number NCT00556374.
Between Dec 18, 2006, and July 22, 2013, 3425 eligible patients were enrolled into the trial, of whom 3420 were randomly assigned to receive denosumab 60 mg (n=1711) or placebo (n=1709) subcutaneously every 6 months. Compared with the placebo group, patients in the denosumab group had a significantly delayed time to first clinical fracture (hazard ratio [HR] 0·50 [95% CI 0·39-0·65], p<0·0001). The overall lower number of fractures in the denosumab group (92) than in the placebo group (176) was similar in all patient subgroups, including in patients with a bone mineral density T-score of -1 or higher at baseline (n=1872, HR 0·44 [95% CI 0·31-0·64], p<0·0001) and in those with a bone mineral density T-score of less than -1 already at baseline (n=1548, HR 0·57 [95% CI 0·40-0·82], p=0·002). The patient incidence of adverse events in the safety analysis set (all patients who received at least one dose of study drug) did not differ between the denosumab group (1366 events, 80%) and the placebo group (1334 events, 79%), nor did the numbers of serious adverse events (521 vs 511 [30% in each group]). The main adverse events were arthralgia and other aromatase-inhibitor related symptoms; no additional toxicity from the study drug was reported. Despite proactive adjudication of every potential osteonecrosis of the jaw by an international expert panel, no cases of osteonecrosis of the jaw were reported. 93 patients (3% of the full analysis set) died during the study, of which one death (in the denosumab group) was thought to be related to the study drug.
Adjuvant denosumab 60 mg twice per year reduces the risk of clinical fractures in postmenopausal women with breast cancer receiving aromatase inhibitors, and can be administered without added toxicity. Since a main side-effect of adjuvant breast cancer treatment can be substantially reduced by the addition of denosumab, this treatment should be considered for clinical practice.
Amgen.",-1,1,1,"The study focuses on patients with breast cancer, not colorectal cancer.",The study examines the use and effect of denosumab as an adjuvant treatment in patients with breast cancer.,"The study describes the effect of denosumab treatment, showing a significant reduction in clinical fractures."
35334418,ESMO open,2022,Apr,,Effect of concomitant statin treatment in postmenopausal patients with hormone receptor-positive early-stage breast cancer receiving adjuvant denosumab or placebo: a post hoc analysis of ABCSG-18.,"Clinical Trial, Phase III, Journal Article, Randomized Controlled Trial","C Minichsdorfer, T Fuereder, M Leutner, C F Singer, S Kacerovsky-Strobl, D Egle, R Greil, M Balic, F Fitzal, G Pfeiler, S Frantal, R Bartsch, M Gnant","Statins are cholesterol-lowering drugs prescribed for the prevention and treatment of cardiovascular disease. Moreover, statins may possess anticancer properties and interact with receptor activator of nuclear factor κB ligand expression. We aimed at evaluating a hypothetical synergistic effect of statins with denosumab in early-stage breast cancer (BC) patients from the Austrian Breast and Colorectal Cancer Study Group (ABCSG) trial 18.
ABCSG-18 (NCT00556374) is a prospective, randomized, double-blind, phase III study; postmenopausal patients with hormone receptor-positive BC receiving a nonsteroidal aromatase inhibitor were randomly assigned to denosumab or placebo. In this post hoc analysis, we investigated the effects of concomitant statin therapy on recurrence risk (RR) of BC, fracture risk and bone mineral density (BMD).
In the study population (n = 3420), statin therapy (n = 824) was associated with worse disease-free survival (DFS) [hazard ratio (HR) 1.35, 95% confidence interval (CI) 1.04-1.75; P = 0.023]. While no significant effect of lipophilic statins (n = 710) on RR was observed (HR 1.30, 95% CI 0.99-1.72; P = 0.062), patients on hydrophilic statins (n = 87) had worse DFS compared with patients not receiving any statins (HR 2.00, 95% CI 1.09-3.66; P = 0.026). This finding was mainly driven by the effect of hydrophilic statins on DFS in the denosumab arm (HR 2.63, 95% CI 1.21-5.68; P = 0.014). However, this effect subsided after correction for confounders in the sensitivity analysis. No association between statin use and fracture risk or osteoporosis was observed.
According to this analysis, hydrophilic statins showed a detrimental effect on DFS in the main model, which was attenuated after correction for confounders. Our data need to be interpreted with caution due to their retrospective nature and the low number of patients receiving hydrophilic statins.",-1,1,1,"The study focuses on patients with hormone receptor-positive early-stage breast cancer, not Colorectal cancer.",The study examines the use and effect of Denosumab as part of the main treatment in the ABCSG-18 trial.,"The study describes the effect of Denosumab treatment, particularly in relation to concomitant statin use and outcomes such as disease-free survival."
25759611,"Breast care (Basel, Switzerland)",2014,Oct,,Adjuvant bisphosphonates in breast cancer treatment.,Journal Article,"Michael Knauer, Beat Thürlimann","Several solid tumors like breast cancer tend to spread to the bone, where the microenvironment is especially receptive to the tumor by special interactions between bone cells and tumor cells. Bone metastases often lead to skeletal-related events with significant morbidity and mortality. The therapy of bone metastases and osteoporosis with bisphosphonates (BPs) has been established many years ago as a standard treatment. In the adjuvant setting, cancer treatment-induced bone loss is a frequent cause of morbidity, and prevention and treatment of this condition with BPs and the monoclonal antibody denosumab are also well established. Besides postmenopausal patients, several studies including 2 larger studies by the Austrian Breast and Colorectal Cancer Study Group (ABCSG) and the Cancer and Leukemia Group B (CALGB) have shown an increase in bone mineral density in premenopausal women. BPs as anticancer treatment are, however, still controversial because several studies yielded conflicting results, with beneficial effects only in subgroups of patients. The publication of the latest Oxford overview of prospective trials is being awaited; at the presentation of the results, a 34% relative reduction of bone metastasis and a 17% improvement in overall survival was demonstrated in the subgroup of postmenopausal patients. These results will likely lead to an incorporation of the use of BPs into routine adjuvant breast cancer treatment.",-1,1,0,"The paper focuses on breast cancer patients, not colorectal cancer.","The paper mentions denosumab as a treatment for cancer-related bone loss, including in the adjuvant setting.","The paper does not specifically describe the effect of denosumab treatment in detail, only mentions its use and some general outcomes related to bisphosphonates."
29563481,Dentistry journal,2016,Oct,29,Delayed Diagnosis of Osteonecrosis of the Jaw (ONJ) Associated with Bevacizumab Therapy in Colorectal Cancer Patients: Report of Two Cases.,"Case Reports, Journal Article","Francesco Erovigni, Alessio Gambino, Marco Cabras, Antonella Fasciolo, Silvio Diego Bianchi, Elisa Bellini, Vittorio Fusco","Medication-induced Osteonecrosis of the Jaw (MRONJ) has been reported not only after use of antiresorptive agents (bisphosphonates and denosumab), but also in cancer patients receiving antiangiogenic agents, alone or combined with antiresorptive drugs. We report two cases of MRONJ observed in colorectal cancer patients after bevacizumab therapy only. MRONJ was diagnosed, respectively, two and seven months after a tooth extraction; both the patients had received two courses of bevacizumab infusions (for a total of 29 and 10 administrations, respectively). We discuss if tooth extraction during or after antiangiogenic therapy could be a potential trigger of MRONJ, but also if an underlying bone disease not evident before oral surgery might be a possible cause. A careful drug history has to be registered by dental specialists in cancer patients before oral surgery and adequate imaging might be obtained to avoid a delayed diagnosis.",1,-1,0,The paper focuses on colorectal cancer patients.,The study does not examine the use or effect of Denosumab; it discusses Bevacizumab.,The paper does not describe the effect of Denosumab treatment as it does not involve Denosumab.
37284523,Therapeutic advances in medical oncology,2023,,,Adjuvant denosumab in early breast cancer: a systematic review and meta-analysis of randomized controlled clinical trials.,Journal Article,"Luca Mastrantoni, Giovanna Garufi, Elena Di Monte, Noemi Maliziola, Mariangela Pasqualoni, Letizia Pontolillo, Sergio Pannunzio, Maria Chiara Cannizzaro, Armando Di Bello, Alessandra Fabi, Antonella Palazzo, Giampaolo Tortora, Emilio Bria, Armando Orlandi","In early breast cancer (BC) the impact of denosumab on survival outcomes is still unclear. We undertook a systematic review and meta-analysis to assess efficacy and safety of adjuvant denosumab in addition to standard anticancer therapy.
PubMed, CENTRAL, Scopus, Embase, and oncological meetings websites were screened to identify potentially eligible randomized controlled trials (RCTs). Survival outcomes were disease-free survival (DFS), bone-metastasis-free survival (BMFS), and overall survival (OS). Fracture incidence and time to first fracture were bone-health outcomes. Osteonecrosis of the jaw (ONJ), atypical femur fractures (AFF), and other adverse events were also evaluated. Pooled hazard ratios (HRs) and risk ratios (RR) with respective 95% confidence interval (95% CI) were computed using a random-effects model. Exploratory subgroup analyses were performed.
Two phase III RCTs were included, the Austrian Breast & Colorectal Cancer Study Group-18 (ABCSG-18) and the D-CARE trials, for a total of 7929 patients. In the ABCSG-18 trial, denosumab was administered every 6 months during endocrine therapy (for a median of seven cycles) while the D-CARE trial used an intensive schedule for a total treatment duration of 5 years. Adjuvant denosumab showed no difference in DFS (HR: 0.932; 95% CI: 0.748-1.162), BMFS (HR: 0.9896; 95% CI: 0.751-1.070), and OS (HR: 0.917; 95% CI: 0.718-1.171) compared to placebo in the overall population. In hormone receptor positive/human epidermal growth factor receptor 2 (HER2) negative BC patients, a DFS (HR: 0.883; 95% CI: 0.782-0.996) and BMFS (HR: 0.832; 95% CI: 0.714-0.970) benefit was observed and BMFS was prolonged in all hormone receptor positive patients (HR: 0.850; 95% CI: 0.735-0.983). Fracture incidence (RR: 0.787; 95% CI: 0.696-0.890) and time to first fracture (HR: 0.760; 95% CI: 0.665-0.869) were also improved. No increase in overall toxicity was seen with denosumab and no differences were observed for ONJ and AFF between the 60-mg every 6-month schedule and placebo.
Denosumab addition to anticancer treatment does not improve DFS, BMFS, or OS in the overall population, although a DFS improvement was observed in hormone receptor positive/HER2 negative BC patients and a BMFS improvement in all hormone receptor positive patients. Bone-health outcomes were improved with no added toxicity with the 60-mg schedule.
PROSPERO identifier: CRD42022332787.",-1,1,1,"The study focuses on patients with early breast cancer, not colorectal cancer.",The study examines the use and effect of denosumab as an adjuvant treatment in breast cancer patients.,The study describes the effect of denosumab treatment on survival outcomes and bone health.
25646168,"Quintessence international (Berlin, Germany : 1985)",2015,,,Healing of osteonecrosis of the jaw (ONJ) after discontinuation of denosumab in a patient with bone metastases of colorectal cancer: a case report and hypothesis.,"Case Reports, Journal Article","Noritaka Ohga, Yutaka Yamazaki, Kanako Tsuboi, Yoshimasa Kitagawa","Osteonecrosis of the jaw (ONJ) is associated with the use of bisphosphonates (BPs), denosumab, and antiangiogenic drugs; however, the pathophysiology of medication-related ONJ (MRONJ) remains unknown. Recent advances in therapies for diseases that affect bone remodeling have led to the development of agents that inhibit the receptor activator of nuclear factor-kappa B ligand (RANKL). One such inhibitor is denosumab, a highly specific, fully human immunoglobulin G2 monoclonal antibody against RANKL. We report a case of ONJ that developed following dental extraction in a patient treated for metastatic colorectal cancer with denosumab. At the first medical examination at our hospital, her clinical presentation was indistinguishable from stage 2 MRONJ, classified according to the 2014 American Academy of Oral Medicine position paper. Discontinuation of denosumab was directed by her oncologist, and we prescribed oral antibiotics and irrigated the exposed area of bone. Seven months after denosumab cessation, the sequestrum of the anterior part of the mandible was naturally shed and the site was healed. Denosumab and BPs have significantly different mechanisms of action. The effects of denosumab on bone turnover are more rapid and reversible than those of BPs. Discontinuation of denosumab may be effective in the management of denosumab-related ONJ, depending on the primary tumor control.",1,1,1,"The paper describes a patient with bone metastases from colorectal cancer, fulfilling the requirement for the patient population.",The paper examines the use of denosumab in the context of treatment for metastatic colorectal cancer and its association with ONJ.,"The paper describes the effect of denosumab treatment, specifically its discontinuation leading to healing of ONJ in the patient."
27069189,Anticancer research,2016,Apr,,Testing of a Novel Cancer Metastatic Multiplex Panel for the Detection of Bone-metastatic Disease - a Pilot Study.,"Journal Article, Research Support, Non-U.S. Gov't","Jindra Windrichova, Radka Fuchsova, Radek Kucera, Ondrej Topolcan, Ondrej Fiala, Jindrich Finek, Dagmar Slipkova, Marie Karlikova, Jana Svobodova","Bone metastases develop in several malignancies (multiple myeloma, breast, prostate and lung carcinoma) and cause several complications. The aim of this study was to search for new biomarkers to use in monitoring of bone metastatic disease with the use of xMAP technology.
We assessed 62 oncological patients: 23 with no bone metastases, 28 with metastatic disease not having undergone therapy and 11 with metastatic disease treated by denosumab. Serum levels of dickkopf-related protein 1 (DKK1), growth differentiation factor-15 (GDF15), neuron-specific enolase (NSE), osteoprotegerin (OPG), osteonectin, periostin, tartrate-resistant acid phosphatase (TRAP5), tumor necrosis factor related weak inducer of apoptosis (TWEAK), chitinase-3-like protein 1 (YKL40), carboxy-terminal telopeptide (CTX) and procollagen type 1 N-terminal propeptide (PINP) were measured in each sample.
The following biomarkers were observed to have significantly higher levels in the groups of patients with metastases in comparison to metastasis-free patients: GDF15 (p<0.0001), osteonectin (p=0.0311), TRAP5 (p<0.0046), TWEAK (p<0.0343) and YKL40 (p<0.0034). The changes in DKK1, NSE, OPG and periostin were not significant.
We identified five new biomarkers: GDF15, osteonectin, TRAP5, TWEAK, and YKL40 as being promising markers for monitoring bone metastases.",-1,1,1,"The study includes patients with various cancers (multiple myeloma, breast, prostate, and lung carcinoma), but does not specifically focus on patients with colorectal cancer.",The study examines patients treated with denosumab as part of their treatment for bone metastatic disease.,The study describes the effect of denosumab treatment by comparing serum biomarker levels in patients with and without denosumab treatment.
30795951,The Lancet. Oncology,2019,Mar,,"Adjuvant denosumab in postmenopausal patients with hormone receptor-positive breast cancer (ABCSG-18): disease-free survival results from a randomised, double-blind, placebo-controlled, phase 3 trial.","Clinical Trial, Phase III, Journal Article, Randomized Controlled Trial, Research Support, Non-U.S. Gov't","Michael Gnant, Georg Pfeiler, Günther G Steger, Daniel Egle, Richard Greil, Florian Fitzal, Viktor Wette, Marija Balic, Ferdinand Haslbauer, Elisabeth Melbinger-Zeinitzer, Vesna Bjelic-Radisic, Raimund Jakesz, Christian Marth, Paul Sevelda, Brigitte Mlineritsch, Ruth Exner, Christian Fesl, Sophie Frantal, Christian F Singer,  ","In postmenopausal women with hormone receptor-positive, early-stage breast cancer, treatment with adjuvant aromatase inhibitors is the standard of care, but it increases risk for osteoporosis and fractures. Results from the ABCSG-18 trial showed that use of denosumab as an adjuvant to aromatase inhibitor therapy significantly reduced clinical fractures. Disease-free survival outcomes from ABCSG-18 have not yet been reported.
Postmenopausal patients with early, hormone receptor-positive, non-metastatic adenocarcinoma of the breast, who had completed their initial adjuvant treatment pathway (surgery, radiotherapy, or chemotherapy, or a combination) and were receiving adjuvant aromatase inhibitors, were enrolled at 58 trial centres in Austria and Sweden into this prospective, double-blind, placebo-controlled, phase 3 trial. With permuted block randomisation (block sizes 2 and 4, stratified by previous aromatase inhibitor use, total lumbar spine bone mineral density score at baseline, and type of centre), patients were assigned (1:1) to receive subcutaneous denosumab (60 mg) or matching placebo every 6 months during aromatase inhibitor therapy. The primary endpoint (previously reported) was the time to first clinical fracture after randomisation. The secondary endpoint reported here is disease-free survival (defined as time from randomisation to first evidence of local or distant metastasis, contralateral breast cancer, secondary carcinoma, or death from any cause) in the intention-to-treat population. This study is registered with EudraCT (number 2005-005275-15) and ClinicalTrials.gov (number NCT00556374), and is ongoing for long-term follow-up.
Between Dec 18, 2006, and July 22, 2013, 3425 eligible patients were enrolled and randomly assigned; 1711 to the denosumab group and 1709 to the placebo group (with five others withdrawing consent). After a median follow-up of 73 months (IQR 58-95), 240 (14·0%) patients in the denosumab and 287 (16·8%) in the placebo group had disease-free survival events. Disease-free survival was significantly improved in the denosumab group versus the placebo group (hazard ratio 0·82, 95% CI 0·69-0·98, Cox p=0·0260; descriptive analysis, without controlling for multiplicity). In the denosumab group, disease-free survival was 89·2% (95% CI 87·6-90·8) at 5 years and 80·6% (78·1-83·1) at 8 years of follow-up, compared with 87·3% (85·7-89·0) at 5 years and 77·5% (74·8-80·2) and 8 years in the placebo group. No independently adjudicated cases of osteonecrosis of the jaw or confirmed atypical femoral fractures were recorded. The total number of adverse events was similar in the denosumab group (1367 [including 521 serious] adverse events) and the placebo group (1339 [515 serious]). The most common serious adverse events were osteoarthritis (62 [3·6%] of 1709 in the denosumab group vs 58 [3·4%] of 1690 in the placebo group), meniscus injury (23 [1·3%] vs 24 [1·4%]), and cataract (16 [0·9%] vs 28 [1·7%]). One (<0·1%) treatment-related death (due to pneumonia, septic kidney failure, and cardiac decompensation) occurred in the denosumab group.
Denosumab constitutes an effective and safe adjuvant treatment for patients with postmenopausal hormone receptor-positive early breast cancer receiving aromatase inhibitor therapy.
Amgen.",-1,1,1,"The study focuses on postmenopausal patients with hormone receptor-positive breast cancer, not colorectal cancer.",The study examines the use of denosumab as an adjuvant treatment in patients receiving aromatase inhibitors.,The study describes the effect of denosumab treatment on disease-free survival in patients with breast cancer.
41602383,Frontiers in oncology,2025,,,Case Report: Elevated myocardial enzymes in a patient with metastatic rectal cancer without myocardial injury.,"Case Reports, Journal Article","Yalei Zhao, Xiaopeng Ma, Xiaojing Chang, Mingda Li, Yinghao Hao, Guojian Zhang, Zhesen Tian","In clinical practice, myocardial injury is commonly screened using electrocardiograms and high-sensitivity troponin, but tumor patients may present with abnormalities in myocardial enzymes-a routine panel including creatine kinase (CK), CK-MB isoenzyme, lactate dehydrogenase (LDH), hydroxybutyrate dehydrogenase (HBDH), and myoglobin (MYO)-without corresponding ECG or troponin changes. This phenomenon may be related to tumor burden and tumor invasion rather than primary heart disease. Dynamic monitoring of myocardial enzyme abnormalities in patients with metastatic colorectal cancer has not been reported. This case provides a detailed analysis, offering clinical evidence for exploring the relationship between myocardial enzymes and tumor occurrence and development. A 67-year-old male patient with advanced rectal cancer and multiple metastases received chemotherapy with oxaliplatin and capecitabine, targeted therapy with bevacizumab, denosumab for bone metastases, and local radiotherapy. Dynamic monitoring during the treatment showed that the levels of myocardial enzymes significantly increased at the initial stage of metastasis, but there was no evidence of myocardial injury. When the tumor partially responded to the treatment, the expression levels of myocardial enzymes decreased. However, when the condition deteriorated and the number of metastatic lesions increased, the expression levels of myocardial enzymes sharply rose again, eventually accompanying the patient's death. The non-cardiac injury-related increase in myocardial enzymes is closely associated with tumor burden and cancer activity, and can serve as a dynamic indicator for evaluating the efficacy of radiotherapy and chemotherapy and disease progression.",1,1,1,"The paper focuses on a patient with metastatic rectal cancer, which is a type of colorectal cancer.",The study examines the use of Denosumab as part of the treatment regimen for bone metastases in a patient with colorectal cancer.,The paper describes the effect of Denosumab treatment in the context of dynamic changes in myocardial enzymes related to tumor burden and disease progression.
