PMID,Journal,Year,Month,Day,Title,Publication Type,Authors,Abstract,s1,s2,s3,r1,r2,r3
19944537,Cancer treatment reviews,2010,Feb,,Switching from tamoxifen to aromatase inhibitors for adjuvant endocrine therapy in postmenopausal patients with early breast cancer.,"Journal Article, Research Support, Non-U.S. Gov't, Review","C J H van de Velde, S Verma, J G H van Nes, C Masterman, K I Pritchard","The third-generation aromatase inhibitors (AIs), including anastrozole, exemestane and letrozole, have demonstrated improved efficacy versus tamoxifen for the adjuvant endocrine treatment of postmenopausal patients with hormone receptor-positive breast cancer. AIs can be used in several adjuvant endocrine settings: as upfront therapy, switch to an AI after 2-3years of tamoxifen or extended therapy following 5years of tamoxifen. In the switch setting, two different types of study designs have been utilized. One is a late randomization design which randomizes patients who are disease-free after 2-3years of tamoxifen to receive an AI versus continuation of tamoxifen. In contrast, an early randomization design randomizes all patients immediately after primary treatment and prior to starting tamoxifen. Efficacy benefits with AIs have been shown in several trials evaluating the late randomization strategy, including the Intergroup Exemestane Study, the Italian Tamoxifen Anastrozole trial and the Anastrozole-Nolvadex 95 trial. Similarly, early randomization studies, including the Austrian Breast and Colorectal Cancer Study Group-8 and the Breast International Group (BIG) 1-98 trial, have demonstrated the effectiveness of receiving an AI after tamoxifen. Two trials are assessing an early switch strategy versus upfront AI therapy: the BIG 1-98 trial and the ongoing Tamoxifen Exemestane Adjuvant Multicentre trial are assessing switching from tamoxifen to an AI after 2-3years versus upfront AI therapy. This paper reviews studies that have investigated a switch strategy with AIs and considers the implications of these data on treatment choice for postmenopausal patients with hormone receptor-positive breast cancer.",-1,1,1,"The study focuses on patients with breast cancer, not colorectal cancer.",The study examines the use of exemestane as part of adjuvant endocrine therapy in postmenopausal patients with hormone receptor-positive breast cancer.,The study describes the effect of exemestane treatment in the context of switching from tamoxifen in adjuvant endocrine therapy.
17938958,Journal of cancer research and clinical oncology,2008,Jan,,Increasing protection after tamoxifen: insights from the extended adjuvant aromatase inhibitor trials.,"Journal Article, Review",Carsten Rose,"For disease-free postmenopausal women with hormone-responsive breast cancer, a risk for relapse remains following 5 years of adjuvant therapy with tamoxifen. Additional therapy with tamoxifen beyond 5 years is not indicated due to a demonstrated lack of efficacy beyond this time frame. Thus, there is a need for other endocrine therapy options in the period beyond 5 years. The third-generation aromatase inhibitors (anastrozole, letrozole, and exemestane) have emerged as at least as effective and somewhat better tolerated alternatives to tamoxifen. Three trials were initiated to evaluate the efficacy and tolerability of aromatase inhibitors in the extended adjuvant setting. Among these, the large, double-blind, randomized, placebo-controlled MA.17 trial has already demonstrated a significant benefit of letrozole when compared with placebo on disease-free survival in postmenopausal women previously treated for 4.5-6 years with tamoxifen. A smaller open-label trial, the Austrian Breast and Colorectal Cancer Study Group 6a has reported a significant benefit for anastrozole on recurrence when used as extended adjuvant therapy when compared with no treatment, and similar results have been seen with extended adjuvant exemestane in the National Surgical Adjuvant Breast and Bowel Project B-33 trial. The results of these trials have important clinical implications for the future of extended adjuvant hormonal therapy for breast cancer.",-1,1,1,"The study focuses on postmenopausal women with hormone-responsive breast cancer, not colorectal cancer.",The study examines the use of exemestane in the extended adjuvant setting for breast cancer.,The study describes the effect of exemestane treatment in the National Surgical Adjuvant Breast and Bowel Project B-33 trial.
20851802,Clinical & translational oncology : official publication of the Federation of Spanish Oncology Societies and of the National Cancer Institute of Mexico,2010,Sep,,Optimal adjuvant hormonal therapy in postmenopausal women with hormone-receptor-positive early breast cancer: have we answered the question?,"Journal Article, Research Support, Non-U.S. Gov't, Review","Alfonso Sánchez-Muñoz, Nuria Ribelles, Emilio Alba","Adjuvant endocrine therapy is the most important systemic treatment for postmenopausal women with hormone-receptor-positive early breast cancer following surgery. Most trials have shown that the third-generation aromatase inhibitors, anastrozole, letrozole (LET), and exemestane, significantly prolong disease-free survival compared with tamoxifen. However, an overall survival benefit with aromatase inhibitors was observed in only three trials to date, in retrospective analyses from selected groups of patients: sequential analysis in the Austrian Breast & Colorectal Study Group 8, switch analysis in the Intergroup Exemestane Study, and analysis of initial letrozole in Breast International Group 1-98 study. Although the priming effect observed in preclinical models and breast cancer patients provides a rationale for sequencing adjuvant endocrine treatment with tamoxifen and aromatase inhibitors, the optimal strategy for adjuvant endocrine treatment has yet to be determined. This review discusses aromatase inhibitor monotherapy, sequential adjuvant treatment with tamoxifen followed by an aromatase inhibitor, and sequential adjuvant treatment with an aromatase inhibitor followed by tamoxifen. Available data in support of and against each strategy is evaluated. The safety profiles of tamoxifen and aromatase inhibitors is also examined.",-1,1,1,"The paper focuses on postmenopausal women with hormone-receptor-positive early breast cancer, not colorectal cancer.",The paper examines the use of exemestane as part of adjuvant endocrine therapy in breast cancer patients.,The paper describes the effect of exemestane treatment in the context of adjuvant endocrine therapy for breast cancer.
16100520,British journal of cancer,2005,Aug,,Potential use of COX-2-aromatase inhibitor combinations in breast cancer.,"Journal Article, Review","N J Bundred, N L P Barnes","Cyclooxygenase-2 (COX-2) is overexpressed in several epithelial tumours, including breast cancer. Cyclooxygenase-2-positive tumours tend to be larger, higher grade, node-positive and HER-2/neu-positive. High COX-2 expression is associated with poor prognosis. Cyclooxygenase-2 inhibition reduces the incidence of tumours in animal models, inhibits the development of invasive cancer in colorectal cancer and reduces the frequency of polyps in familial adenomatous polyposis (FAP). These effects may be as a result of increased apoptosis, reduced angiogenesis and/or proliferation. Studies of COX-2 inhibitors in breast cancer are underway both alone and in combination with other agents. There is evidence to suggest that combining COX-2 inhibitors with aromatase inhibitors, growth factor receptor blockers, or chemo- or radiotherapy may be particularly effective. Preliminary results from combination therapy with celecoxib and exemestane in postmenopausal women with advanced breast cancer showed that the combination increased the time to recurrence. Up to 80% of ductal carcinomas in situ (DCISs) express COX-2, therefore COX-2 inhibition may be of particular use in this situation. Cyclooxygenase-2 expression correlates strongly with expression of HER-2/neu. As aromatase inhibitors appear particularly effective in patients with HER-2/neu-positive tumours, the combination of aromatase inhibitors and COX-2 inhibitors may be particularly useful in both DCIS and invasive cancer.",-1,1,1,"The paper focuses on breast cancer, not colorectal cancer.",The paper mentions the use of exemestane in combination with a COX-2 inhibitor in postmenopausal women with advanced breast cancer.,"The paper describes the effect of exemestane in combination with celecoxib, showing an increased time to recurrence in patients with advanced breast cancer."
34203763,Cancers,2021,Jun,15,"Transcriptomic and Genetic Associations between Alzheimer's Disease, Parkinson's Disease, and Cancer.",Journal Article,"Jaume Forés-Martos, Cesar Boullosa, David Rodrigo-Domínguez, Jon Sánchez-Valle, Beatriz Suay-García, Joan Climent, Antonio Falcó, Alfonso Valencia, Joan Anton Puig-Butillé, Susana Puig, Rafael Tabarés-Seisdedos","Alzheimer's (AD) and Parkinson's diseases (PD) are the two most prevalent neurodegenerative disorders in human populations. Epidemiological studies have shown that patients suffering from either condition present a reduced overall risk of cancer than controls (i.e., inverse comorbidity), suggesting that neurodegeneration provides a protective effect against cancer. Reduced risks of several site-specific tumors, including colorectal, lung, and prostate cancers, have also been observed in AD and PD. By contrast, an increased risk of melanoma has been described in PD patients (i.e., direct comorbidity). Therefore, a fundamental question to address is whether these associations are due to shared genetic and molecular factors or are explained by other phenomena, such as flaws in epidemiological studies, exposure to shared risk factors, or the effect of medications. To this end, we first evaluated the transcriptomes of AD and PD post-mortem brain tissues derived from the hippocampus and the substantia nigra and analyzed their similarities to those of a large panel of 22 site-specific cancers, which were obtained through differential gene expression meta-analyses of array-based studies available in public repositories. Genes and pathways that were deregulated in both disorders in each analyzed pair were examined. Second, we assessed potential genetic links between AD, PD, and the selected cancers by establishing interactome-based overlaps of genes previously linked to each disorder. Then, their genetic correlations were computed using cross-trait LD score regression and GWAS summary statistics data. Finally, the potential role of medications in the reported comorbidities was assessed by comparing disease-specific differential gene expression profiles to an extensive collection of differential gene expression signatures generated by exposing cell lines to drugs indicated for AD, PD, and cancer treatment (LINCS L1000). We identified significant inverse associations of transcriptomic deregulation between AD hippocampal tissues and breast, lung, liver, and prostate cancers, and between PD substantia nigra tissues and breast, lung, and prostate cancers. Moreover, significant direct (same direction) associations of deregulation were observed between AD and PD and brain and thyroid cancers, as well as between PD and kidney cancer. Several biological processes, including the immune system, oxidative phosphorylation, PI3K/AKT/mTOR signaling, and the cell cycle, were found to be deregulated in both cancer and neurodegenerative disorders. Significant genetic correlations were found between PD and melanoma and prostate cancers. Several drugs indicated for the treatment of neurodegenerative disorders and cancer, such as galantamine, selegiline, exemestane, and estradiol, were identified as potential modulators of the comorbidities observed between neurodegeneration and cancer.",-1,1,0,"The study focuses on Alzheimer's and Parkinson's diseases and their associations with various cancers, but it does not specifically focus on patients with colorectal cancer.","The study mentions exemestane as one of the drugs indicated for the treatment of neurodegenerative disorders and cancer, suggesting it is examined in the context of treatment.","While the study identifies exemestane as a potential modulator of comorbidities between neurodegeneration and cancer, it does not specifically describe the effect of exemestane treatment in detail."
16870082,Current medical research and opinion,2006,Aug,,Defining the role of aromatase inhibitors in the adjuvant endocrine treatment of early breast cancer.,"Journal Article, Meta-Analysis, Review","Aman Buzdar, Rowan Chlebowski, Jack Cuzick, Sean Duffy, John Forbes, Walter Jonat, Peter Ravdin","Over the past few years, data have been published concerning the relative efficacy and safety profiles of tamoxifen and the aromatase inhibitors (AIs) in the adjuvant therapy setting for women with early hormone receptor-positive breast cancer. Recently, debate has centred around trials which have studied primary tamoxifen and AI therapy, switching and sequencing strategies and extended adjuvant therapy.
Here, a group of 24 breast cancer experts review efficacy and safety data from the recent major trials investigating tamoxifen and the third-generation AIs in postmenopausal women, which have challenged the perception of tamoxifen as optimum adjuvant endocrine therapy. Data from the Arimidex, Tamoxifen, Alone or in Combination (ATAC) trial, Breast International Group (BIG) 1-98 study, National Cancer Institute of Canada MA 17 trial, Intergroup Exemestane Study (IES), Italian Tamoxifen Anastrozole (ITA) trial, Austrian Breast and Colorectal Cancer Study Group (ABCSG) Trial 8 and Arimidex-Nolvadex (ARNO) 95 are considered to provide a rational interpretation of the impact of these data on current practice, and to highlight areas where further investigation is needed.
We can be confident that AIs represent superior adjuvant endocrine treatment to tamoxifen in postmenopausal women, either as initial therapy or as an alternative for women who have started adjuvant therapy with tamoxifen. However, there remain issues regarding the best way to use AIs, such as the optimal length of AI treatment and how a sequence of tamoxifen followed by an AI compares with AI monotherapy; these will require further data to resolve.",-1,1,1,"The study focuses on breast cancer, not colorectal cancer.",The study examines the use of Exemestane as part of adjuvant endocrine therapy in breast cancer.,The study describes the effect of Exemestane treatment in comparison to other therapies.
18072256,Cancer,2008,Feb,01,Summary of aromatase inhibitor clinical trials in postmenopausal women with early breast cancer.,"Journal Article, Research Support, Non-U.S. Gov't","Aman U Buzdar, R Charles Coombes, Paul E Goss, Eric P Winer","Five years of adjuvant therapy with tamoxifen was considered the gold-standard treatment for postmenopausal women with estrogen receptor-positive breast cancer for many years. Data from a core group of clinical trials investigating the safety and efficacy of aromatase inhibitors (AIs) have challenged this perception. These studies were designed to evaluate the safety and efficacy of AIs in the following clinical settings: 1) as initial adjuvant therapy (the Arimidex, Tamoxifen, Alone or in Combination trial, Breast International Group Trial 1-98), 2) in a ""switched setting"" after 2 to 3 years of treatment with tamoxifen (Arimidex-Nolvadex 95, the Austrian Breast and Colorectal Cancer Study Group 8 [ABCSG 8] trial, the Italian Tamoxifen Anastrozole study, the Intergroup Exemestane Study), and 3) in extended settings (National Cancer Institute of Canada Trial MA.17, ABCSG 6a, National Surgical Adjuvant Breast and Bowel Project 33). The efficacy data from these studies suggested that AIs have added substantial benefit in terms of disease outcome. AIs were tolerated well, and patients who received them experienced fewer thrombolic events and less endometrial cancer, hot flashes, night sweats, and vaginal bleeding compared with patients who receive tamoxifen. However, patients who received tamoxifen had less skeletal events and accelerated bone resorption compared with women who received AIs. AIs should be considered when planning a patient's endocrine therapy, taking into account the differences in tolerability and end-organ effects of the classes of endocrine therapy. Outstanding issues to optimize AI therapy include identifying the optimal duration, agent, and patients for these therapies.",-1,1,1,"The paper focuses on postmenopausal women with early breast cancer, not colorectal cancer.","The paper mentions the Intergroup Exemestane Study, which examines the use of Exemestane as part of adjuvant therapy.","The paper describes the efficacy and tolerability of Exemestane in comparison to tamoxifen, including its effect on disease outcomes."
14633326,The Canadian journal of urology,2003,Oct,,An oncology perspective on the benefits and cost of combined androgen blockade in advanced prostate cancer.,"Comparative Study, Journal Article, Research Support, Non-U.S. Gov't","Armen G Aprikian, Neil Fleshner, Adrian Langleben, Jeffrey Hames","To provide context in oncology for the significance of the benefits and cost of combined androgen blockade (CAB) in the treatment of advanced prostate cancer.
Canadian drug costs for the survival benefit with CAB in advanced prostate cancer were compared with the costs of benefit with new treatments in advanced non-small-cell lung cancer (NSCLC), metastatic colorectal cancer, and metastatic breast cancer. Clinical toxicities were also compared.
The survival benefit with CAB in advanced prostate cancer appears to be approximately 3 months. The survival benefit with the addition of vinorelbine to cisplatin for the treatment of advanced NSCLC is approximately 2 months, and the survival benefit with the addition of irinotecan to fluorouracil (and leucovorin) for the treatment of metastatic colorectal cancer is approximately 2 to 3 months. The survival benefit with anastrozole or exemestane in advanced breast cancer, or with the addition of trastuzumab to standard chemotherapy in metastatic breast cancer that overexpresses human epidermal growth factor receptor 2 (HER2), is approximately 4 to 5 months. The calculated cost per month of survival benefit with bicalutamide in CAB for prostate cancer is 437 US dollars to 1107 US dollars. The cost per month of survival benefit with vinorelbine for NSCLC is 1241 US dollars and with irinotecan for colorectal cancer is 6812 to 11,214 US dollars. The calculated cost per month of survival benefit with anastrozole for breast cancer is 170 US dollars, for exemestane is 185 US dollars, and the cost per month with the addition of trastuzumab is 5230 US dollars. Vinorelbine and irinotecan are associated with severe grade 3 or 4 clinical toxicities, and an increased frequency of heart failure has been observed when trastuzumab is added to anthracyclines. Anastrozole, exemestane and nonsteroidal antiandrogens are associated with mild to moderate side effects.
The advantages offered by CAB (including the cost per month of survival benefit and minimal associated clinical toxicities) are comparable to the reported advantages of new treatments for other common cancers such as NSCLC, colorectal cancer, and breast cancer.",1,1,1,The paper discusses metastatic colorectal cancer and compares the survival benefit of irinotecan with fluorouracil to other treatments.,The paper explicitly mentions exemestane as one of the treatments for advanced breast cancer and provides cost data for its use.,"The paper describes the survival benefit of exemestane in advanced breast cancer, providing specific months of survival benefit."
31773503,"Breast cancer (Tokyo, Japan)",2020,Jul,,Everolimus-associated cytomegalovirus colitis in a patient with metastasized breast cancer: a case report.,"Case Reports, Journal Article","Jie-Ru Yang, Yen-Chen Shao","Anti-cancer therapy put patients in an immunocompromised status. Reactivation of cytomegalovirus (CMV) in immunocompromised patient can cause a severe disease. Thus, we presented a case who had recurrent CMV colitis which complicate with rectovaginal fistula.
We present a case of everolimus-associated cytomegalovirus colitis on a patient receiving everolimus and exemestane therapy for the treatment of metastasized breast cancer.
The patient presented septic shock and acute peritonitis at first. Emergency exploratory laparotomy was performed. However, only edematous changes were observed over the terminal ileum, sigmoid colon and rectum. Four weeks after operation, we found feces coming out from her vagina. Colonoscopy was done and revealed rectovaginal fistula. Colonic and rectal mucosa moderate inflammation with multiple ulcer was also noted. Biopsy was done and the pathology proved CMV colitis. After treatment with ganciclovir, her symptoms improved. Everolimus was stopped for 12 weeks and was added back with a decreasing dose paradigm for breast cancer treatment. However, another episode of CMV colitis occurred again after resuming the everolimus. After anti-virus treatment, she was discharged. Due to adverse effects, everolimus therapy was discontinued.
The standard treatment of hormone receptor positive and HER-2 negative metastatic breast cancer is everolimus together with exemestane. Due to the immunosuppressive effects of everolimus, the medication may cause invasive fungal infection or other opportunistic infections. Such infections are serious and may even be fatal. In this case, we did not consider CMV infection until rectovaginal fistula formation. Thus, for solid cancer patients presented with fever of unknown origin, clinicians should consider potential complications of CMV infection.",-1,1,1,"The paper focuses on a patient with metastasized breast cancer, not colorectal cancer.",The study examines the use of exemestane as part of the treatment regimen for metastatic breast cancer.,"The study describes the effect of exemestane treatment in combination with everolimus, including its potential to contribute to immunosuppression and CMV reactivation."
15976552,Current opinion in obstetrics & gynecology,2005,Aug,,"Selective oestrogen receptor modulators, aromatase inhibitors and the female breast.","Journal Article, Review",Anthony Howell,"Tamoxifen has been available for over 20 years and remains the most commonly recognized endocrine therapy. This review was prompted by a wealth of new data on several newer endocrine agents, including selective oestrogen receptor modulators, aromatase inhibitors and a new oestrogen receptor antagonist, fulvestrant, which unlike the selective oestrogen receptor modulators has no oestrogen agonist effects.
Completed analysis of the 'Arimidex', Tamoxifen, Alone or in Combination trial demonstrated that anastrozole as initial adjuvant therapy significantly improved disease-free survival and time to recurrence compared with tamoxifen, as well as reducing the incidence of contralateral breast cancer deaths. The Italian Tamoxifen Anastrozole trial and the Austrian Breast and Colorectal Cancer Study Group 8/Arimidex Nolvadex 95 trial have indicated that anastrozole may also be beneficial in women who have already received 2-3 years of tamoxifen. Similarly, the Intergroup Exemestane Study demonstrated the efficacy of exemestane in this setting. Women who have completed a full 5-year course of tamoxifen may also benefit from aromatase inhibitor treatment as indicated by the MA 17 trial, which investigated letrozole as extended adjuvant therapy. Fulvestrant is effective in tamoxifen-resistant disease, and phase II trial data suggest that fulvestrant may also be effective following aromatase inhibitor failure.
The introduction of the third-generation aromatase inhibitors has caused a paradigm shift in adjuvant endocrine treatment. Research into the optimal use of selective oestrogen receptor modulators continues and the evidence base for fulvestrant, the first in a new class of endocrine agents, continues to grow, confirming its value in the treatment of hormone-responsive breast cancer.",-1,1,1,"The paper focuses on breast cancer, not colorectal cancer.","The paper mentions the Intergroup Exemestane Study, which examines the use of exemestane in patients who have received tamoxifen.",The paper describes the efficacy of exemestane in the setting of prior tamoxifen treatment.
