PMID,Journal,Year,Month,Day,Title,Publication Type,Authors,Abstract,s1,s2,s3,r1,r2,r3
30069757,Recent results in cancer research. Fortschritte der Krebsforschung. Progres dans les recherches sur le cancer,2018,,,Lapatinib.,"Journal Article, Review","Minna Voigtlaender, Tanja Schneider-Merck, Martin Trepel","The human epidermal growth factor receptor (HER) family of receptor tyrosine kinases plays an important role in the biology of many cancers. In breast and gastrointestinal cancer, and at lower rates also in additional tumor types, HER2 and its homo- or heterodimerization with HER1 or HER3 are essential for cancer cell growth and survival. Breast cancer patients overexpressing HER2 have a more aggressive course of their disease. The poor prognosis associated with HER2 overexpression can be substantially improved by adding HER2-targeted therapy to standard of care using the monoclonal antibody trastuzumab. Lapatinib, an oral dual tyrosine kinase inhibitor, blocks HER1 and HER2 tyrosine kinase activity by binding to the ATP-binding site of the receptor's intracellular domain, resulting in inhibition of tumor cell growth. Lapatinib is generally well tolerated with diarrhea being the most common adverse effect. However, although being mainly of mild to moderate severity, interruption or discontinuation of treatment has been reported in a substantial proportion of patients in clinical trials. In 2007, lapatinib has been approved in combination with capecitabine in patients with advanced HER2-positive breast cancer upon progressive disease following standard therapy with anthracyclines, taxanes, and trastuzumab. In 2013, the approval was extended to a chemotherapy-free combination with trastuzumab for patients with metastatic HER2-positive, hormone receptor-negative breast cancer progressing on prior trastuzumab and chemotherapy. Since 2010, lapatinib is approved in combination with letrozole in the treatment of postmenopausal women with advanced HER2- and hormone receptor-positive breast cancer. In contrast, in first-line cytotoxic-based therapy of both early and advanced HER2-positive breast cancer, data from clinical trials did not provide evidence of additional benefit of lapatinib compared to trastuzumab. Moreover, over the past few years, novel HER2-targeted drugs, either alone or as a combined anti-HER2 approach, have been extensively evaluated, demonstrating a more favorable outcome. Also, neither in first- nor second-line treatment of advanced gastric cancer, lapatinib has been proven to be superior compared to trastuzumab as hitherto standard of care HER2 blockade. Therefore, lapatinib has become somewhat less important in patients with HER2-positive breast cancer during the past 10 years since its first introduction. Nevertheless, consideration of treatment with lapatinib appears to be reasonable in selected patients not only in the approved applications but also beyond, and further indications such as HER2-positive refractory metastatic colorectal cancer may arise in future. Also, lapatinib may have distinct advantages over antibodies in targeting truncated HER2 and crossing the blood-brain barrier. Finally, the favorable cardiac toxicity profile of lapatinib makes it an attractive alternative to trastuzumab-based regimens in patients at risk for cardiac events.",-1,-1,-1,"The paper focuses on breast cancer and HER2-targeted therapies, not colorectal cancer.","The paper does not examine the use, effect, or sensitivity of Letrozole as a main treatment.",The paper does not describe the effect of Letrozole treatment.
19944537,Cancer treatment reviews,2010,Feb,,Switching from tamoxifen to aromatase inhibitors for adjuvant endocrine therapy in postmenopausal patients with early breast cancer.,"Journal Article, Research Support, Non-U.S. Gov't, Review","C J H van de Velde, S Verma, J G H van Nes, C Masterman, K I Pritchard","The third-generation aromatase inhibitors (AIs), including anastrozole, exemestane and letrozole, have demonstrated improved efficacy versus tamoxifen for the adjuvant endocrine treatment of postmenopausal patients with hormone receptor-positive breast cancer. AIs can be used in several adjuvant endocrine settings: as upfront therapy, switch to an AI after 2-3years of tamoxifen or extended therapy following 5years of tamoxifen. In the switch setting, two different types of study designs have been utilized. One is a late randomization design which randomizes patients who are disease-free after 2-3years of tamoxifen to receive an AI versus continuation of tamoxifen. In contrast, an early randomization design randomizes all patients immediately after primary treatment and prior to starting tamoxifen. Efficacy benefits with AIs have been shown in several trials evaluating the late randomization strategy, including the Intergroup Exemestane Study, the Italian Tamoxifen Anastrozole trial and the Anastrozole-Nolvadex 95 trial. Similarly, early randomization studies, including the Austrian Breast and Colorectal Cancer Study Group-8 and the Breast International Group (BIG) 1-98 trial, have demonstrated the effectiveness of receiving an AI after tamoxifen. Two trials are assessing an early switch strategy versus upfront AI therapy: the BIG 1-98 trial and the ongoing Tamoxifen Exemestane Adjuvant Multicentre trial are assessing switching from tamoxifen to an AI after 2-3years versus upfront AI therapy. This paper reviews studies that have investigated a switch strategy with AIs and considers the implications of these data on treatment choice for postmenopausal patients with hormone receptor-positive breast cancer.",-1,1,0,"The study focuses on patients with breast cancer, not colorectal cancer.",The study discusses letrozole as one of the aromatase inhibitors used in adjuvant endocrine therapy.,"The study does not specifically describe the effect of letrozole treatment in detail, only mentions it in the context of a class of drugs."
17938958,Journal of cancer research and clinical oncology,2008,Jan,,Increasing protection after tamoxifen: insights from the extended adjuvant aromatase inhibitor trials.,"Journal Article, Review",Carsten Rose,"For disease-free postmenopausal women with hormone-responsive breast cancer, a risk for relapse remains following 5 years of adjuvant therapy with tamoxifen. Additional therapy with tamoxifen beyond 5 years is not indicated due to a demonstrated lack of efficacy beyond this time frame. Thus, there is a need for other endocrine therapy options in the period beyond 5 years. The third-generation aromatase inhibitors (anastrozole, letrozole, and exemestane) have emerged as at least as effective and somewhat better tolerated alternatives to tamoxifen. Three trials were initiated to evaluate the efficacy and tolerability of aromatase inhibitors in the extended adjuvant setting. Among these, the large, double-blind, randomized, placebo-controlled MA.17 trial has already demonstrated a significant benefit of letrozole when compared with placebo on disease-free survival in postmenopausal women previously treated for 4.5-6 years with tamoxifen. A smaller open-label trial, the Austrian Breast and Colorectal Cancer Study Group 6a has reported a significant benefit for anastrozole on recurrence when used as extended adjuvant therapy when compared with no treatment, and similar results have been seen with extended adjuvant exemestane in the National Surgical Adjuvant Breast and Bowel Project B-33 trial. The results of these trials have important clinical implications for the future of extended adjuvant hormonal therapy for breast cancer.",-1,1,1,"The study focuses on postmenopausal women with hormone-responsive breast cancer, not colorectal cancer.",The study examines the use and efficacy of letrozole as extended adjuvant therapy in breast cancer patients.,The study describes the effect of letrozole treatment on disease-free survival in breast cancer patients.
20851802,Clinical & translational oncology : official publication of the Federation of Spanish Oncology Societies and of the National Cancer Institute of Mexico,2010,Sep,,Optimal adjuvant hormonal therapy in postmenopausal women with hormone-receptor-positive early breast cancer: have we answered the question?,"Journal Article, Research Support, Non-U.S. Gov't, Review","Alfonso Sánchez-Muñoz, Nuria Ribelles, Emilio Alba","Adjuvant endocrine therapy is the most important systemic treatment for postmenopausal women with hormone-receptor-positive early breast cancer following surgery. Most trials have shown that the third-generation aromatase inhibitors, anastrozole, letrozole (LET), and exemestane, significantly prolong disease-free survival compared with tamoxifen. However, an overall survival benefit with aromatase inhibitors was observed in only three trials to date, in retrospective analyses from selected groups of patients: sequential analysis in the Austrian Breast & Colorectal Study Group 8, switch analysis in the Intergroup Exemestane Study, and analysis of initial letrozole in Breast International Group 1-98 study. Although the priming effect observed in preclinical models and breast cancer patients provides a rationale for sequencing adjuvant endocrine treatment with tamoxifen and aromatase inhibitors, the optimal strategy for adjuvant endocrine treatment has yet to be determined. This review discusses aromatase inhibitor monotherapy, sequential adjuvant treatment with tamoxifen followed by an aromatase inhibitor, and sequential adjuvant treatment with an aromatase inhibitor followed by tamoxifen. Available data in support of and against each strategy is evaluated. The safety profiles of tamoxifen and aromatase inhibitors is also examined.",-1,1,1,"The study focuses on postmenopausal women with hormone-receptor-positive early breast cancer, not colorectal cancer.",The study examines the use and effect of letrozole as an aromatase inhibitor in adjuvant endocrine therapy.,The study describes the effect of letrozole treatment in the context of adjuvant endocrine therapy for breast cancer.
18073378,Journal of the National Cancer Institute,2007,Dec,19,Extended adjuvant therapy with anastrozole among postmenopausal breast cancer patients: results from the randomized Austrian Breast and Colorectal Cancer Study Group Trial 6a.,"Journal Article, Multicenter Study, Randomized Controlled Trial, Research Support, Non-U.S. Gov't","Raimund Jakesz, Richard Greil, Michael Gnant, Marianne Schmid, Werner Kwasny, Ernst Kubista, Brigitte Mlineritsch, Christoph Tausch, Michael Stierer, Friedrich Hofbauer, Karl Renner, Christian Dadak, Ernst Rücklinger, Hellmut Samonigg,  ","Clinical trial data have shown that among breast cancer patients who were disease free after 5 years of adjuvant treatment with tamoxifen, further extended treatment with the nonsteroidal aromatase inhibitor letrozole reduces breast cancer recurrence. We examined the efficacy and tolerability of extended adjuvant therapy with another aromatase inhibitor, anastrozole, for 3 years among women who had completed 5 years of adjuvant therapy.
Austrian Breast and Colorectal Cancer Study Group (ABCSG) Trial 6a is an extension of ABCSG Trial 6, in which hormone receptor-positive postmenopausal patients received 5 years of adjuvant tamoxifen, with or without the aromatase inhibitor aminoglutethimide, for the first 2 years of therapy. For ABCSG Trial 6a, patients who were disease free at the end of Trial 6 were randomly assigned to receive either 3 years of anastrozole or no further treatment. Efficacy data were analyzed with the use of a Cox proportional hazards regression model with two-sided P values and Kaplan-Meier curves, and tolerability data were estimated using logistic regression analysis with odds ratios and 95% confidence intervals (CIs).
ABCSG Trial 6a included 856 patients. At a median follow-up of 62.3 months, women who received anastrozole (n = 387) had a statistically significantly reduced risk of recurrence (locoregional recurrence, contralateral breast cancer, or distant metastasis) compared with women who received no further treatment (n = 469; hazard ratio = 0.62; 95% CI = 0.40 to 0.96, P = .031). Anastrozole was well tolerated, and no unexpected adverse events were reported.
These data confirm the benefit of extending adjuvant tamoxifen therapy beyond 5 years with anastrozole compared with no further treatment. Further research is required to define the optimum length of extended adjuvant therapy and to investigate the possibility of tailoring this period to suit different disease types.",-1,-1,-1,"The study focuses on postmenopausal breast cancer patients, not colorectal cancer.","The study examines anastrozole, not letrozole, as the intervention.",The study does not describe the effect of letrozole treatment.
31402321,The Lancet. Oncology,2019,Sep,,"Neoadjuvant letrozole plus taselisib versus letrozole plus placebo in postmenopausal women with oestrogen receptor-positive, HER2-negative, early-stage breast cancer (LORELEI): a multicentre, randomised, double-blind, placebo-controlled, phase 2 trial.","Clinical Trial, Phase II, Journal Article, Multicenter Study, Randomized Controlled Trial, Research Support, Non-U.S. Gov't","Cristina Saura, Dominik Hlauschek, Mafalda Oliveira, Dimitrios Zardavas, Anita Jallitsch-Halper, Lorena de la Peña, Paolo Nuciforo, Alberto Ballestrero, Peter Dubsky, Janine M Lombard, Peter Vuylsteke, Carlos A Castaneda, Marco Colleoni, Giuliano Santos Borges, Eva Ciruelos, Monica Fornier, Katalin Boer, Aditya Bardia, Timothy R Wilson, Thomas J Stout, Jerry Y Hsu, Yi Shi, Martine Piccart, Michael Gnant, José Baselga, Evandro de Azambuja","Endocrine therapy-based neoadjuvant treatment for luminal breast cancer allows efficient testing of new combinations before surgery. The activation of the phosphatidylinositol-3-kinase (PI3K) pathway is a known mechanism of resistance to endocrine therapy. Taselisib is an oral, selective PI3K inhibitor with enhanced activity against PIK3CA-mutant cancer cells. The LORELEI trial tested whether taselisib in combination with letrozole would result in an increased proportion of objective responses and pathological complete responses.
In this multicentre, randomised, double-blind, parallel-cohort, placebo-controlled phase 2, study, we enrolled postmenopausal women (aged ≥18 years) with histologically confirmed, oestrogen receptor (ER)-positive, HER2-negative, stage I-III, operable breast cancer, from 85 hospitals in 22 countries worldwide. To be eligible, patients had have an Eastern Cooperative Oncology Group (ECOG) performance status 0-1, adequate organ function, and had to have evaluable tumour tissue for PIK3CA genotyping. Patients were randomly assigned (1:1) by means of a permuted block algorithm (block size of four) via an interactive voice or web-based response system, to receive letrozole (2·5 mg/day orally, continuously) with either 4 mg of oral taselisib or placebo (on a 5 days-on, 2 days-off schedule) for 16 weeks, followed by surgery. Randomisation was stratified by tumour size and nodal status. Site staff, patients, and the sponsor were masked to treatment assignment. Coprimary endpoints were the proportion of patients who achieved an objective response by centrally assessed breast MRI and a locally assessed pathological complete response in the breast and axilla (ypT0/Tis, ypN0) at surgery in all randomly assigned patients and in patients with PIK3CA-mutant tumours. Analyses were done in the intention-to-treat population. This trial is registered with ClinicalTrials.gov, number NCT02273973, and is closed to accrual.
Between Nov 12, 2014, and Aug 12, 2016, 334 participants were enrolled and randomly assigned to receive letrozole and placebo (n=168) or letrozole and taselisib (n=166). Median follow-up was 4·9 months (IQR 4·7-5·1). The study met one of its primary endpoints: the addition of taselisib to letrozole was associated with a higher proportion of patients achieving an objective response in all randomly assigned patients (66 [39%] of 168 patients in the placebo group vs 83 [50%] of 166 in the taselisib group; odds ratio [OR] 1·55, 95% CI 1·00-2·38; p=0·049) and in the PIK3CA-mutant subset (30 [38%] of 79 vs 41 [56%] of 73; OR 2·03, 95% CI 1·06-3·88; p=0·033). No significant differences were observed in pathological complete response between the two groups, either in the overall population (three [2%] of 166 in the taselisib group vs one [1%] of 168 in the placebo group; OR 3·07 [95% CI 0·32-29·85], p=0·37) or in the PIK3CA-mutant cohort (one patient [1%) vs none [0%]; OR not estimable, p=0·48). The most common grade 3-4 adverse events in the taselisib group were gastrointestinal (13 [8%] of 167 patients), infections (eight [5%]), and skin-subcutaneous tissue disorders (eight [5%]). In the placebo group, four (2%) of 167 patients had grade 3 or worse vascular disorders, two (1%) had gastrointestinal disorders, and two (1%) patients had grade 3 or worse infections and infestations. There was no grade 4 hyperglycaemia and grade 3 cases were asymptomatic. Serious adverse events were more common in the taselisib group (eight [5%] patients with infections and seven [4%] with gastrointestinal effects) than in the placebo group (one [1%] patient each with grade 3 postoperative wound and haematoma infection, grade 4 hypertensive encephalopathy, grade 3 acute cardiac failure, and grade 3 breast pain). One death occurred in the taselisib group, which was not considered to be treatment-related.
The increase in the proportion of patients who achieved an objective response from the addition of taselisib to endocrine therapy in a neoadjuvant setting is consistent with the clinical benefit observed in hormone receptor-positive, HER2-negative, metastatic breast cancer.
Genentech and F Hoffmann-La Roche.",-1,1,1,"The study focuses on patients with breast cancer, not colorectal cancer.",The study examines the use of letrozole as part of the main treatment in combination with taselisib or placebo.,"The study describes the effect of letrozole treatment in combination with taselisib or placebo, including objective response rates."
40454501,Current pharmaceutical design,2025,,,Metabolic Targets in CRC: The Emerging Role of Cytochrome P450 Inhibitors.,"Journal Article, Review","Hawraa Ibrahim Alshakarchi, Hanieh Azari, Zuhair Mohammed Ali Jeddoa, Nadhir N A Jafar, Yeganeh Khazaei, Ibrahim Saeed Gataa, Gordon A Ferns, Amir Avan","Cytochrome P450 (CYP 450) plays a pivotal role in the metabolism of a diverse range of agents, and its dysregulation can contribute to tumorigenesis, including tumor angiogenesis across various cancer types. This dysregulation may activate procarcinogenic xenobiotics and endogenous molecules while also inactivating anti-cancer drugs, resulting in drug resistance. The aim of this review is to demonstrate the potential and relevance of CYP inhibitors in the treatment of colorectal cancer (CRC). Several studies have documented the role of CYP enzymes in the metabolic rearrangements of various cancers through the mechanisms underlying metabolic rearrangements in CRC, including those related to glucose, fatty acids, cholesterol, and amino acids. Recent studies have focused on the targeting of metabolic mechanisms in CRC through the use of established CYP inhibitors, yielding varying degrees of success. Among these agents are clotrimazole (inhibitor of CYP24A1, 3A4, 2A6, and 2C8), KD-35 (CYP24A1 inhibitor), liarozole (CYP26A1 inhibitor), letrozole (CYP19A1 inhibitor), lopinavir/ritonavir and quercetin (CYP3A4 inhibitors), α-naphthoflavone and furanfylline (CYP1A1 inhibitors), as well as phenylpyrrole (a CYP1A2 and CYP2A6 inhibitor). Clinical studies investigating CYPs in cancer treatment have been reported in various cancers, including prostate, breast, pancreatic, hematological, lung, and salivary gland cancers, for purposes ranging from dose reduction and cost savings to enhance the efficacy of combined anti-cancer agents (CYP3A4, CYP3A4/5 and CYP1A2 inhibitors), and in addition, functioning as anti-cancer agents themselves (CYP17 inhibitors). Thus, these metabolizing enzymes reveal a complex interaction with cancer therapeutics, opening the door to novel strategies that go beyond conventional treatment paradigms. Harnessing CYP modulators could transform the treatment of CRC, offering more targeted and flexible options.",1,1,0,The paper explicitly mentions colorectal cancer (CRC) as the focus of the review.,The paper mentions letrozole as a CYP19A1 inhibitor and includes it among agents being studied for potential use in CRC treatment.,The paper lists letrozole as a CYP inhibitor but does not provide specific details on the effect of letrozole treatment in CRC.
40613528,Revista espanola de enfermedades digestivas,2025,Sep,,When breast cancer spreads below the belt - A case of rectal metastasis from invasive lobular carcinoma.,"Case Reports, Journal Article","Julieta Puente-Monserrat, Leticia Pérez-Santiago, Liria Terrádez-Mas, Vicente Pla-Martí, David Casado-Rodrigo, José Martín-Arévalo, David Moro-Valdezate, Stephanie Anne García-Botello","We present the case of a 62-year-old woman diagnosed in 2014 with invasive luminal A lobular carcinoma (ILC) of the breast (T3N0M0). She underwent a modified radical mastectomy, followed by radiotherapy and five years of endocrine therapy with letrozole. In 2021, therapy was discontinued due to musculoskeletal side effects. Seven years after diagnosis, the patient developed symptoms of partial bowel obstruction, along with a progressive rise in CA15.3 levels during oncological follow-up. Multiple diagnostic evaluations-including colonoscopies, enteric MRI, and PET scan-yielded normal results, initially suggesting inflammatory bowel disease.",-1,1,0,"The paper describes a case of rectal metastasis from breast cancer, not colorectal cancer.",The paper discusses the use of letrozole as endocrine therapy in a patient with breast cancer.,The paper does not describe the effect of letrozole treatment on the metastatic rectal lesion or on colorectal cancer.
28178667,Oncotarget,2017,Mar,07,"Anti-GD2-ch14.18/CHO coated nanoparticles mediate glioblastoma (GBM)-specific delivery of the aromatase inhibitor, Letrozole, reducing proliferation, migration and chemoresistance in patient-derived GBM tumor cells.",Journal Article,"Amanda Tivnan, Tatjana Heilinger, Joanne M Ramsey, Gemma O'Connor, Jenny L Pokorny, Jann N Sarkaria, Brett W Stringer, Bryan W Day, Andrew W Boyd, Ella L Kim, Holger N Lode, Sally-Ann Cryan, Jochen H M Prehn","Aromatase is a critical enzyme in the irreversible conversion of androgens to oestrogens, with inhibition used clinically in hormone-dependent malignancies. We tested the hypothesis that targeted aromatase inhibition in an aggressive brain cancer called glioblastoma (GBM) may represent a new treatment strategy. In this study, aromatase inhibition was achieved using third generation inhibitor, Letrozole, encapsulated within the core of biodegradable poly lactic-co-glycolic acid (PLGA) nanoparticles (NPs). PLGA-NPs were conjugated to human/mouse chimeric anti-GD2 antibody ch14.18/CHO, enabling specific targeting of GD2-positive GBM cells. Treatment of primary and recurrent patient-derived GBM cells with free-Letrozole (0.1 μM) led to significant decrease in cell proliferation and migration; in addition to reduced spheroid formation. Anti-GD2-ch14.18/CHO-NPs displayed specific targeting of GBM cells in colorectal-glioblastoma co-culture, with subsequent reduction in GBM cell numbers when treated with anti-GD2-ch14.18-PLGA-Let-NPs in combination with temozolomide. As miR-191 is an estrogen responsive microRNA, its expression, fluctuation and role in Letrozole treated GBM cells was evaluated, where treatment with premiR-191 was capable of rescuing the reduced proliferative phenotype induced by aromatase inhibitor. The repurposing and targeted delivery of Letrozole for the treatment of GBM, with the potential role of miR-191 identified, provides novel avenues for target assessment in this aggressive brain cancer.",-1,1,1,"The study focuses on glioblastoma (GBM), not colorectal cancer.",The study examines the use and effect of Letrozole in GBM cells.,"The study describes the effect of Letrozole treatment on GBM cell proliferation, migration, and chemoresistance."
34384882,Annals of oncology : official journal of the European Society for Medical Oncology,2021,Oct,,Continuous versus intermittent extended adjuvant letrozole for breast cancer: final results of randomized phase III SOLE (Study of Letrozole Extension) and SOLE Estrogen Substudy.,"Clinical Trial, Phase III, Journal Article, Randomized Controlled Trial, Research Support, Non-U.S. Gov't","G Jerusalem, S Farah, A Courtois, J Chirgwin, S Aebi, P Karlsson, P Neven, E Hitre, M P Graas, E Simoncini, E Abdi, C Kamby, A Thompson, S Loibl, J Gavilá, K Kuroi, C Marth, B Müller, S O'Reilly, A Gombos, T Ruhstaller, H J Burstein, M Rabaglio, B Ruepp, K Ribi, G Viale, R D Gelber, A S Coates, S Loi, A Goldhirsch, M M Regan, M Colleoni,  ","Late recurrences in postmenopausal women with hormone receptor-positive breast cancers remain an important challenge. Avoidance or delayed development of resistance represents the main objective in extended endocrine therapy (ET). In animal models, resistance was reversed with restoration of circulating estrogen levels during interruption of letrozole treatment. This phase III, randomized, open-label Study of Letrozole Extension (SOLE) studied the effect of extended intermittent letrozole treatment in comparison with continuous letrozole. In parallel, the SOLE estrogen substudy (SOLE-EST) analyzed the levels of estrogen during the interruption of treatment.
SOLE enrolled 4884 postmenopausal women with hormone receptor-positive, lymph node-positive, operable breast cancer between December 2007 and October 2012 and among them, 104 patients were enrolled in SOLE-EST. They must have undergone local treatment and have completed 4-6 years of adjuvant ET. Patients were randomized between continuous letrozole (2.5 mg/day orally for 5 years) and intermittent letrozole treatment (2.5 mg/day for 9 months followed by a 3-month interruption in years 1-4 and then 2.5 mg/day during all of year 5).
Intention-to-treat population included 4851 women in SOLE (n = 2425 in the intermittent and n = 2426 in the continuous letrozole groups) and 103 women in SOLE-EST (n = 78 in the intermittent and n = 25 in the continuous letrozole groups). After a median follow-up of 84 months, 7-year disease-free survival (DFS) was 81.4% in the intermittent group and 81.5% in the continuous group (hazard ratio: 1.03, 95% confidence interval: 0.91-1.17). Reported adverse events were similar in both groups. Circulating estrogen recovery was demonstrated within 6 weeks after the stop of letrozole treatment.
Extended adjuvant ET by intermittent administration of letrozole did not improve DFS compared with continuous use, despite the recovery of circulating estrogen levels. The similar DFS coupled with previously reported quality-of-life advantages suggest intermittent extended treatment is a valid option for patients who require or prefer a treatment interruption.",-1,1,1,"The study focuses on patients with breast cancer, not colorectal cancer.",The study examines the use and effect of letrozole in the context of extended adjuvant therapy for breast cancer.,"The study describes the effect of letrozole treatment, comparing continuous versus intermittent administration, on disease-free survival."
