PMID,Journal,Year,Month,Day,Title,Publication Type,Authors,Abstract,s1,s2,s3,r1,r2,r3
31948326,The Journal of international medical research,2020,Jan,,Clinical efficacy and safety of nimotuzumab plus chemotherapy in patients with advanced colorectal cancer: a retrospective analysis.,Journal Article,"Sai-Xi Bai, Ruo-Rong Zhang, Wang-Hua Chen, Hong-Min Dong, Gang Wang, Xiao-Kai Li, Wenling Wang","To compare the clinical efficacy and safety of nimotuzumab combined with chemotherapy versus chemotherapy alone as first-line treatment for advanced colorectal cancer (ACRC).
We retrospectively enrolled patients with ACRC treated with nimotuzumab plus chemotherapy (n = 40) or chemotherapy alone (n = 44). Responses were evaluated according to the Response Evaluation Criteria in Solid Tumors and adverse events according to the Common Terminology Criteria for Adverse Events 3.0.
The objective overall response rate and disease control rate were higher in the combined-treatment group (55.0% vs 36.4% and 85.0% vs 75.0%, respectively), but the differences were not significant. There was no significant difference in median progression-free survival or median survival time between the combined-treatment and chemotherapy-alone groups (9.89 vs 7.86 months and 22.32 vs 18.10 months, respectively). There was no significant difference in adverse events between the two groups.
Nimotuzumab combined with chemotherapy had similar efficacy and safety to chemotherapy alone in patients with ACRC. The efficacy and safety of the combined treatment should be further studied in a randomized multicenter trial with a larger number of patients with ACRC.",1,1,1,The study focuses on patients with advanced colorectal cancer.,The study examines the use of Nimotuzumab combined with chemotherapy as a treatment.,"The study describes the effect of Nimotuzumab treatment by comparing response rates, disease control rates, progression-free survival, and safety outcomes."
38360051,"Journal of nuclear medicine : official publication, Society of Nuclear Medicine",2024,Feb,15,Effectiveness of,Journal Article,"Anjong Florence Tikum, Jessica P Ketchemen, Alireza Doroudi, Anand K Nambisan, Hanan Babeker, Fabrice Ngoh Njotu, Humphrey Fonge","Eighty percent of colorectal cancers (CRCs) overexpress epidermal growth factor receptor (EGFR). Kirsten rat sarcoma viral oncogene (KRAS) mutations are present in 40% of CRCs and drive de novo resistance to anti-EGFR drugs. BRAF oncogene is mutated in 7%-10% of CRCs, with even worse prognosis. We have evaluated the effectiveness of [225Ac]Ac-macropa-nimotuzumab in KRAS mutant and in KRAS wild-type and BRAFV600E mutant EGFR-positive CRC cells in vitro and in vivo. Anti-CD20 [225Ac]Ac-macropa-rituximab was developed and used as a nonspecific radioimmunoconjugate. Methods: Anti-EGFR antibody nimotuzumab was radiolabeled with 225Ac via an 18-membered macrocyclic chelator p-SCN-macropa. The immunoconjugate was characterized using flow cytometry, radioligand binding assay, and high-performance liquid chromatography, and internalization was studied using live-cell imaging. In vitro cytotoxicity was evaluated in 2-dimensional monolayer EGFR-positive KRAS mutant DLD-1, SW620, and SNU-C2B; in KRAS wild-type and BRAFV600E mutant HT-29 CRC cell lines; and in 3-dimensional spheroids. Dosimetry was studied in healthy mice. The in vivo efficacy of [225Ac]Ac-macropa-nimotuzumab was evaluated in mice bearing DLD-1, SW620, and HT-29 xenografts after treatment with 3 doses of 13 kBq/dose administered 10 d apart. Results: In all cell lines, in vitro studies showed enhanced cytotoxicity of [225Ac]Ac-macropa-nimotuzumab compared with nimotuzumab and controls. The inhibitory concentration of 50% in the DLD-1 cell line was 1.8 nM for [225Ac]Ac-macropa-nimotuzumab versus 84.1 nM for nimotuzumab. Similarly, the inhibitory concentration of 50% was up to 79-fold lower for [225Ac]Ac-macropa-nimotuzumab than for nimotuzumab in KRAS mutant SNU-C2B and SW620 and in KRAS wild-type and BRAFV600E mutant HT-29 CRC cell lines. A similar trend was observed for 3-dimensional spheroids. Internalization peaked 24-48 h after incubation and depended on EGFR expression. In the [225Ac]Ac-macropa-nimotuzumab group, 3 of 7 mice bearing DLD-1 tumors had complete remission. Median survival was 40 and 34 d for mice treated with phosphate-buffered saline and [225Ac]Ac-macropa-rituximab (control), respectively, whereas it was not reached for the [225Ac]Ac-macropa-nimotuzumab group (>90 d). Similarly, median survival of mice bearing HT-29 xenografts was 16 and 12.5 d for those treated with [225Ac]Ac-macropa-rituximab and phosphate-buffered saline, respectively, and was not reached for those treated with [225Ac]Ac-macropa-nimotuzumab (>90 d). One of 7 mice bearing HT-29 xenografts and treated using [225Ac]Ac-macropa-nimotuzumab had complete remission. Compared with untreated mice, [225Ac]Ac-macropa-nimotuzumab more than doubled (16 vs. 41 d) the median survival of mice bearing SW620 xenografts. Conclusion: [225Ac]Ac-macropa-nimotuzumab is effective against KRAS mutant and BRAFV600E mutant CRC models.",1,1,1,The study focuses on colorectal cancer (CRC) cell lines and xenograft models.,"The study examines the use and effectiveness of Nimotuzumab, specifically its radiolabeled form [225Ac]Ac-macropa-nimotuzumab.","The study describes the effect of Nimotuzumab treatment, including in vitro cytotoxicity and in vivo efficacy in mouse models."
36145664,Pharmaceutics,2022,Sep,10,Simultaneous Imaging and Therapy Using Epitope-Specific Anti-Epidermal Growth Factor Receptor (EGFR) Antibody Conjugates.,Journal Article,"Anjong Florence Tikum, Anand Krishnan Nambisan, Jessica Pougoue Ketchemen, Hanan Babeker, Musharraf N Khan, Emina E Torlakovic, Humphrey Fonge","Matuzumab and nimotuzumab are anti-EGFR monoclonal antibodies that bind to different epitopes of domain III of EGFR. We developed 89Zr-matuzumab as a PET probe for diagnosis/monitoring of response to treatment of a noncompeting anti-EGFR nimotuzumab antibody drug conjugate (ADC) using mouse colorectal cancer (CRC) xenografts. We developed 89Zr-matuzumab and performed quality control in EGFR-positive DLD-1 cells. The KD of matuzumab, DFO-matuzumab and 89Zr-matuzumab in DLD-1 cells was 5.9, 6.2 and 3 nM, respectively. A competitive radioligand binding assay showed that 89Zr-matuzumab and nimotuzumab bound to noncompeting epitopes of EGFR. MicroPET/CT imaging and biodistribution of 89Zr-matuzumab in mice bearing EGFR-positive xenografts (HT29, DLD-1 and MDA-MB-231) showed high uptake that was blocked with pre-dosing with matuzumab but not with the noncompeting binder nimotuzumab. We evaluated nimotuzumab-PEG6-DM1 ADC in CRC cells. IC50 of nimotuzumab-PEG6-DM1 in SNU-C2B, DLD-1 and SW620 cells was dependent on EGFR density and was up to five-fold lower than that of naked nimotuzumab. Mice bearing the SNU-C2B xenograft were treated using three 15 mg/kg doses of nimotuzumab-PEG6-DM1, and 89Zr-matuzumab microPET/CT was used to monitor the response to treatment. Treatment resulted in complete remission of the SNU-C2B tumor in 2/3 mice. Matuzumab and nimotuzumab are noncompeting and can be used simultaneously.",1,1,1,The study involves colorectal cancer (CRC) cell lines and xenograft models.,The study examines the use of Nimotuzumab as part of an antibody-drug conjugate (ADC) in CRC cells.,"The study describes the effect of Nimotuzumab treatment, including its efficacy in inducing tumor remission in a CRC xenograft model."
22918766,Recent results in cancer research. Fortschritte der Krebsforschung. Progres dans les recherches sur le cancer,2013,,,(177)Lu/ (90)Y intermediate-affinity monoclonal antibodies targeting EGFR and HER2/c-neu: preparation and preclinical evaluation.,"Journal Article, Research Support, Non-U.S. Gov't","Denis R Beckford Vera, Sebastian Eigner, Katerina Eigner Henke, Rene Leyva Montaña, Frantisek Melichar, Milos Beran","The epidermal growth factor receptor (EGFR) is a rational target of anticancer therapies due to its overexpression in a variety of malignant epithelial tumors. Nevertheless, this antigen is also present in normal tissues. Consequently, monoclonal antibodies which selectively bind to EGFR-overexpressing tumors will be choice drug candidates for development of radioimmunoconjugates (RIC). Nimotuzumab (h-R3) and trastuzumab are monoclonal antibodies (mAbs) which would preferentially target tissues with EGFR and HER2 overexpression, respectively. In this chapter, we describe preparation and evaluation of the targeting properties of RIC formed by (177)Lu/(90)Y and monoclonal antibodies which selectively target EGFR- and HER2/c-neu-overexpressing tissues. mAbs were labeled with n.c.a. (177)Lu/(90)Y using bifunctional chelating agents. RIC binding properties and toxicity were evaluated in vitro using cell lines with varying antigen expression. In vivo tumor targeting properties of RIC were evaluated in mice bearing colorectal (SNU-C2B) and A431 tumor xenografts. RICs were prepared with specific activities up to 2 GBq/mg without significant loss in biological activity. (90)Y-h-R3/trastuzumab increased cell growth inhibition compared with unmodified mAbs or (90)YCl(3) alone in cell lines with overexpression of the target antigen. (177)Lu-h-R3 showed significantly higher uptake in A431 (22.8 ± 3.1% ID/g) than in SNU-C2B (8.8 ± 4.1% ID/g) xenografts at 72 h post injection, indicating strong association between tumor uptake and EGFR expression levels.",1,1,1,"The study mentions mice bearing colorectal (SNU-C2B) tumor xenografts, indicating the focus on colorectal cancer models.",The study examines the use of Nimotuzumab (h-R3) in the preparation of radioimmunoconjugates (RIC) and evaluates its effect in cell lines and xenograft models.,"The study describes the effect of Nimotuzumab treatment, including its binding properties, tumor uptake, and growth inhibition in cell lines with overexpression of the target antigen."
20495305,Gan to kagaku ryoho. Cancer & chemotherapy,2010,May,,[The current status of development of anti-EGFR antibodies].,Journal Article,Takashi Ura,"The use of cetuximab, a mouse chimeric immunoglobulin G1 monoclonal antibody, is approved as anti-epidermal growth factor receptor(EGFR)therapy for the treatment of metastatic colorectal cancer in Japan. Further, panitumumab, matuzumab, nimotuzumab and zalutumumab which also target EGFR, are currently under clinical development. Cetuximab is the first that has been developed as an anti-EGFR antibody. Approximately 30% of the protein which constructs the mouse chimeric antibodies is from mouse, which yields the possibility that the mouse chimeric antibodies induce host immune-reaction. After cetuximab, the humanized monoclonal antibodies such as matuzumab and nimotuzumab, and fully humanized monoclonal antibodies such as panitumumab and zalutumumab, have been developed. In this article, we will introduce the current status of development of these four anti-EGFR antibodies, by focusing on the individual clinical trials using each anti-EGFR antibody.",1,1,0,The paper discusses colorectal cancer in the context of anti-EGFR therapies.,The paper mentions nimotuzumab as one of the anti-EGFR antibodies under clinical development.,The paper does not provide specific details on the effect of nimotuzumab treatment in clinical trials.
25564344,International journal of colorectal disease,2015,Mar,,Prospective phase II trial of nimotuzumab in combination with radiotherapy and concurrent capecitabine in locally advanced rectal cancer.,"Clinical Trial, Phase II, Journal Article, Research Support, Non-U.S. Gov't","Ting Jin, Yuan Zhu, Jia-Lin Luo, Ning Zhou, De-Chuan Li, Hai-Xin Ju, Yong-Tian Fan, Yong Liu, Yu-Ping Zhu, Hai-Yang Feng, Lu-Ying Liu","The aim of the study was to evaluate the safety and efficacy of adding concurrent nimotuzumab to preoperative radiotherapy with concurrent capecitabine in locally advanced rectal cancer.
Patients with rectal cancer (clinical stage T3/4 or N+) were scheduled to receive weekly nimotuzumab (400 mg; days -6, 1, 8, 15, 22, and 29). Capecitabine (825 mg/m(2)) was delivered orally twice daily for the duration of radiotherapy. Radiotherapy was administered at 50.4 Gy (45 + 5.4 Gy). The main endpoint was the pathologic complete response (pCR) rate.
Twenty-one patients with T3 or T4 disease were enrolled; 66.7 % were nodal-positive; the median distance from the anal verge was 5.5 cm. A pCR was achieved in four patients (19.0 %); 71.4 % patients obtained moderate or good tumor regression (Grade 2 and 3). Downstaging occurred in 15/21 (71.4 %) patients by T stage and 11/14 (78.6 %) by N stage. The actual dose intensities (median/mean, %) were nimotuzumab (100, 100) and capecitabine (100, 99.5). The most frequent Grade 1/2 toxicities were radiation dermatitis (57.1 %), nausea/vomiting (52.4 %), leukocytopenia (47.6 %), diarrhea (47.6 %), and proctitis (38.1 %). Grade 3 diarrhea was observed in 9.5 % of patients and Grade 3 leukocytopenia in 4.8 %.
These preliminary results indicate that nimotuzumab can be safely combined with radiotherapy plus concurrent capecitabine. The efficacy of this regimen (pCR = 19.0 %) was significantly higher than that observed in previous phase II trials of preoperative radiotherapy with concurrent capecitabine and cetuximab in rectal cancer. Further investigation of concurrent nimotuzumab with radiotherapy plus capecitabine is warranted.",1,1,1,"The study focuses on patients with rectal cancer, which is a subset of colorectal cancer.",The study examines the use of nimotuzumab in combination with radiotherapy and capecitabine as part of the treatment regimen.,"The study describes the effect of nimotuzumab treatment, including its safety and efficacy in achieving pathologic complete response and tumor regression."
18097777,"Acta oncologica (Stockholm, Sweden)",2008,,,"Current situation of Panitumumab, Matuzumab, Nimotuzumab and Zalutumumab.","Journal Article, Review","Fernando Rivera, Ma Eugenia Vega-Villegas, Marta F Lopez-Brea, Raul Marquez","EGFR overexpression usually correlates with a more advanced disease stage, a poorer prognosis and a worse chemotherapy response. EGFR expression increase has been observed in many tumours. For all the aforementioned reasons, EGFR inhibition can be considered an attractive approach in cancer treatment. One strategy has been receptor inhibition of extracellular domain using monoclonal antibodies. Cetuximab is the most developed one and there is plenty information on the literature about its current status. In this review we focus on other EGFR monoclonal antibodies under clinical development. The more developed one is Panitumumab. Its clinical development is taking place very quickly and it has mainly been studied in colorectal cancer showing promising results. There are also other interesting drugs such as Matuzumab, Nimotuzumab and Zalutumumab.",1,1,0,"The paper mentions that Panitumumab has mainly been studied in colorectal cancer, and Nimotuzumab is among the other drugs reviewed in the context of colorectal cancer.","The paper discusses Nimotuzumab as one of the EGFR monoclonal antibodies under clinical development, implying it is examined in the context of treatment.","The paper does not provide specific details on the effect of Nimotuzumab treatment, only that it is under clinical development."
40123590,International journal of molecular and cellular medicine,2025,,,"Colorectal Cancer: Risk Factors, Novel Approaches in Molecular Screening and Treatment.","Journal Article, Review","Khatereh Anbari, Koroush Ghanadi","By 2040 the burden of colorectal cancer will increase to 3.2 million new cases per year and 1.6 million deaths per year. This highlights the importance of improving preventive measures and treatment strategies. This piece concisely overviews the latest therapeutic and diagnostic approaches for colorectal cancer. In 2019, factors such as low milk intake, smoking, insufficient calcium consumption, and alcohol use had a significant impact on colorectal cancer DALYs worldwide. A comprehensive search was conducted in December 2023 using keywords related to drugs, therapeutic agents, colorectal cancer, diagnostic methods, epidemiology, and novel therapeutic approaches in the PubMed and Scopus databases. Initially, 325 articles were identified based on titles, abstracts, and publication dates. After removing duplicates, 170 unique articles were included. Medications like Nimotuzumab, Cetuximab, and Panitumumab target the Epidermal Growth Factor Receptor (EGFR), which EGF activates. HER2, activated by ligands, is the focus of drugs like Trastuzumab and Pertuzumab. The PD-1/PD-L1 and CTLA-4 pathways, as the immune checkpoints, which involve T cells, are targeted by medications like Ipilimumab. Adoptive cell therapy, including CAR-T cell therapy, TCR modification, and enhancing T cell activity through tumor-infiltrating lymphocytes, is used to combat cancer cell growth. In medical advancements, adoptive cell transfer therapy (ACT) and exosomes in the tumor immune microenvironment (TME) are notable treatment methods that boost the immune system. HIF1A-AS1, CRNDE-h, NEAT1, ZFAS1, and GAS5, along with IGFBP-2, have demonstrated significant CRC diagnostic capacity. Compared to CRC patients with low HIF1A-AS1 expression, individuals with high expression levels were linked to a worse 5-year survival rate.",1,-1,0,"The paper discusses colorectal cancer, meeting the P criterion.","The paper mentions Nimotuzumab as one of several EGFR-targeting drugs but does not examine its use, effect, or sensitivity as a main treatment.",The paper does not provide specific information on the effect of Nimotuzumab treatment.
27050148,Oncotarget,2016,May,31,Treatment outcome of nimotuzumab plus chemotherapy in advanced cancer patients: a single institute experience.,Journal Article,"Shuping Xu, Mayra Ramos-Suzarte, Xianhong Bai, Binghe Xu","Nimotuzumab is a humanized anti-EGFR IgG1 monoclonal antibody and demonstrates a better safety profile than other anti-EGFR antibodies due to its intermediate affinity. Since it was approved in China for the treatment of nasopharyngeal cancer (NPC), it has been widely used in NPC and in many clinical trials for other cancer types. However, the optimal dose and administration frequency of nimotuzumab that should be used and which kind of cancer patients will be more benefited from nimotuzumab is still unknown. In this retrospective study, 205 advanced cancer patients with colorectal cancer, esophageal cancer, head and neck cancer, gastric cancer, non-small cell lung cancer, or other cancers from mainland China, treated with nimotuzumab in combination with chemotherapy, were enrolled. Over 60% of these patients received nimotuzumab > 6 doses and ≥ 400 mg/week as maintenance therapy. It was well tolerated in real-life patients. This report demonstrates that age, sex and previous treatment might be potential predictive factors for survival, and patients received nimotuzumab > 6 doses and > 200 mg/week might benefit more from nimotuzumab therapy. Using these factors for stratification analysis may form a predictive differential clinical strategy for nimotuzumab to maximize the benefit in patients with different epithelial tumors.",1,1,1,The study includes patients with colorectal cancer among others.,The study examines the use of Nimotuzumab in combination with chemotherapy.,"The study describes the effect of Nimotuzumab treatment, including its association with survival and potential predictive factors."
30800216,Oncotarget,2019,Feb,01,Therapeutic potential of nimotuzumab PEGylated-maytansine antibody drug conjugates against EGFR positive xenograft.,Journal Article,"Siddesh V Hartimath, Ayman El-Sayed, Amal Makhlouf, Wendy Bernhard, Carolina Gonzalez, Wayne Hill, Angel Casaco Parada, Kris Barreto, Clarence Ronald Geyer, Humphrey Fonge","Nimotuzumab is a humanized anti-epidermal growth factor receptor I (EGFR) monoclonal antibody. We have developed antibody drug conjugates (ADCs) with nimotuzumab conjugated to PEGylated-maytansine (PEG6-DM1). We generated conjugates with low (nimotuzumab-PEG6-DM1-Low: DAR = 3.5) and high (nimotuzumab-PEG6-DM1-High: DAR = 7.3) drug to antibody ratios (DAR). Quality control was performed using UV spectrophotometry, size exclusion HPLC, bioanalyzer, biolayer interferometry (BLI), and flow cytometry in EGFR-positive DLD-1, MDA-MB-468 (high density EGFR), and HT-29 (very low EGFR density) cells. Control antibody drug conjugates were developed using a human anti-maltose binding protein (MBP) antibody. BLI showed that the binding of nimotuzumab-PEG6-DM1-Low and nimotuzumab-PEG6-DM1-High was slightly but significantly affected by conjugation of the drug (nimotuzumab KD 0.89 ± 0.02 nM < nimotuzumab-PEG6-DM1-Low KD 1.94 ± 0.02 nM < nimotuzumab-PEG6-DM1-High KD 3.75 ± 0.03 nM). In vitro cytotoxicity was determined following incubation of cells with the immunoconjugates and IC50 values were determined. Nimotuzumab-PEG6-DM1-Low and nimotuzumab-PEG6-DM1-High were used to treat EGFR positive KRAS mutant DLD-1 colorectal cancer xenograft. DLD-1 cells were transduced with a red fluorescent protein (iRFP702) to allow the use of near infrared imaging (NIR) for tumor response monitoring. In vitro potency correlated with the number of drugs on antibody, with nimotuzumab-PEG6-DM1-High showing higher activity than nimotuzumab-PEG6-DM1-Low. Three doses (15 mg/kg) of the ADCs prolonged the survival of DLD-1-iRFP-702 tumor bearing mice as monitored by NIR. Nimotuzumab-PEG6-DM1-Low resulted in 4/6 complete cure while nimotuzumab-PEG6-DM1-High resulted in 2/5 complete cure. The novel ADCs were very effective in a colorectal cancer model in vivo.",1,1,1,The study uses a colorectal cancer xenograft model (DLD-1) for evaluating the therapeutic potential of nimotuzumab-based ADCs.,The study examines the use of nimotuzumab conjugated to PEGylated-maytansine (nimotuzumab-PEG6-DM1) as a treatment approach.,"The study describes the effect of nimotuzumab-based ADCs in vitro and in vivo, including cytotoxicity, tumor response, and survival outcomes in a colorectal cancer model."
