PMID,Journal,Year,Month,Day,Title,Publication Type,Authors,Abstract,s1,s2,s3,r1,r2,r3
39938112,The New England journal of medicine,2025,Feb,13,Sotorasib plus Panitumumab in Refractory Colorectal Cancer with Mutated,Published Erratum,,,1,1,1,"The paper title mentions 'Refractory Colorectal Cancer', indicating the focus is on patients with Colorectal cancer.","The paper title includes 'Panitumumab' as part of the treatment combination, indicating it is examined as a main treatment.",The paper title implies that the effect of Panitumumab in combination with Sotorasib is being described.
39576946,Journal of clinical oncology : official journal of the American Society of Clinical Oncology,2025,Mar,,"Intermittent or Continuous Panitumumab Plus Fluorouracil, Leucovorin, and Irinotecan for First-Line Treatment of","Journal Article, Randomized Controlled Trial, Multicenter Study, Clinical Trial, Phase II","Antonio Avallone, Francesco Giuliani, Alfonso De Stefano, Giuseppe Santabarbara, Guglielmo Nasti, Vincenzo Montesarchio, Gerardo Rosati, Antonino Cassata, Silvana Leo, Carmela Romano, Emiliano Tamburini, Lucrezia Silvestro, Claudio Lotesoriere, Anna Nappi, Daniele Santini, Antonella Petrillo, Alfredo Colombo, Antonio Febbraro, Alessandra Leone, Francesco Mannavola, Maria Maddalena Laterza, Francesco Izzo, Alberto Sobrero, Paolo Delrio, Diana Giannarelli, Alfredo Budillon","To investigate whether intermittent treatment after an induction phase of first-line schedule of fluorouracil, leucovorin, and irinotecan (FOLFIRI) plus panitumumab (PAN) prevents or delays the onset of resistance and improves safety and compliance with treatment in patients with unresectable RAS/BRAF wild-type (wt) metastatic colorectal cancer (mCRC).
IMPROVE (ClinicalTrials.gov identifier: NCT04425239) was an open-label, multicenter, randomized phase II noncomparative trial. Patients with unresectable RAS/BRAF wt mCRC were randomly assigned (1:1) to receive FOLFIRI plus PAN continuously until progression (arm A) or intermittently, with treatment-free intervals (arm B) until progression on treatment, toxicity, or death. The primary end point was progression-free survival on treatment (PFSot) at 12 months. Assuming a null hypothesis of median PFSot time ≤7 months and target PFSot ≥10 months, 65 patients per arm were needed to achieve 80% power and 10% type I error, according to the binomial test.
Between May 2018 and June 2021, 69 patients were randomly assigned to arm A and 68 to arm B. The median number of treatment cycles was 13 in arm A and 16 in arm B. At a median follow-up of 43.2 months (IQR, 35.0-50.5), median PFSot was 11.2 and 17.5 months with 12-month PFSot rates of 45.7% and 58.5%, for arms A and B, respectively. The overall response rates were 68.1% and 61.2%, and median overall survival rates were 36.3 and 35.1 months in arms A and B, respectively. The overall rate of grade >2 skin PAN-related adverse events was 30.3% in arm A and 17.9% in arm B.
Intermittent FOLFIRI plus PAN after the induction phase was feasible, and the primary end point was met with reduced toxicity while allowing patients more time off treatment.",1,1,1,The study focuses on patients with unresectable RAS/BRAF wild-type metastatic colorectal cancer (mCRC).,"The study examines the use of Panitumumab in combination with FOLFIRI, comparing continuous versus intermittent treatment schedules.","The study describes the effect of Panitumumab treatment, including progression-free survival, toxicity, and overall response rates."
41651313,Critical reviews in oncology/hematology,2026,Apr,,Anti-EGFR rechallenge compared with standard of care for patients with ctDNA RAS/BRAF wild-type chemorefractory metastatic colorectal cancer: A systematic review and meta-analysis.,"Journal Article, Systematic Review, Meta-Analysis, Comparative Study, Review","Olesya Kuznetsova, Elena Battaiotto, Giulia Malvezzi, Lorenzo Gervaso, Maria Giulia Zampino, Chiara Alessandra Cella, Lavinia Benini, Francesca Spada, Mikhail Fedyanin, Alexey Tryakin, Fabio Carbone, Brigida Anna Maiorano, Davide Ciardiello, Nicola Fazio","Anti-EGFR rechallenge emerged as a potential therapeutic option for patients with chemorefractory metastatic colorectal cancer (mCRC) that maintained a circulating tumor DNA (ctDNA) RAS/BRAF wild type (WT) status. However, its efficacy compared to standard of care (SoC) in randomized controlled trials (RCTs) remains uncertain. In our systematic review and meta-analysis, we investigated the outcomes of anti-EGFR rechallenge versus SoC for patients with pretreated ctDNA RAS/BRAF WT mCRC. This study followed the PRISMA guidelines, and a systematic search of PubMed and ASCO/ESMO meeting abstracts was conducted in October 2025 for relevant RCTs. Pooled odds ratios (OR) for disease control rate (DCR) and objective response rate (ORR), and hazard ratios (HR) for survival outcomes were calculated. We identified three phase II randomized trials with 320 patients. Anti-EGFR rechallenge significantly improved DCR (OR = 3.39, 95 % CI 2.13-5.39), ORR (OR = 5.13, 95 % CI 2.30-11.41) and progression free survival (HR 0.674; 95 % CI, 0.499-0.909; p = 0.009) compared to SoC. No overall survival benefit was detected (HR 0.895; 95 % CI 0.736-1.087; p = 0.263). These findings support the use of anti-EGFR rechallenge strategy aslater-line treatment when tumor shrinkage is a clinical priority. Further evidence from prospective trials is required.",1,-1,0,The study focuses on patients with metastatic colorectal cancer (mCRC).,"The study does not specifically examine Panitumumab; it refers to anti-EGFR rechallenge in general, without specifying the drug.","The study describes the effect of anti-EGFR rechallenge but does not specify Panitumumumab as the treatment, making it uncertain whether it directly describes the effect of Panitumumab."
40215429,Journal of clinical oncology : official journal of the American Society of Clinical Oncology,2025,Jul,,Overall Survival Analysis of the Phase III CodeBreaK 300 Study of Sotorasib Plus Panitumumab Versus Investigator's Choice in Chemorefractory,"Journal Article, Clinical Trial, Phase III, Randomized Controlled Trial, Multicenter Study","Filippo Pietrantonio, Lisa Salvatore, Taito Esaki, Dominik Paul Modest, David Paez Lopez-Bravo, Julien Taieb, Michalis V Karamouzis, Erika Ruiz-Garcia, Tae Won Kim, Yasutoshi Kuboki, Fausto Meriggi, David Cunningham, Kun-Huei Yeh, Emily Chan, Joseph Chao, Qui Tran, Chiara Cremolini, Marwan Fakih","In the phase III CodeBreaK 300 study, sotorasib 960 mg-panitumumab significantly prolonged progression-free survival (PFS) versus investigator's choice (trifluridine/tipiracil or regorafenib) in patients with KRAS G12C-mutated chemorefractory metastatic colorectal cancer (mCRC). One hundred sixty patients were randomly assigned 1:1:1 to receive sotorasib 960 mg-panitumumab (n = 53), sotorasib 240 mg-panitumumab (n = 53), or investigator's choice (n = 54; crossover permitted after primary analysis). Overall survival (OS) analysis, a key secondary end point, although not adequately powered, was prespecified at 50% maturity (after approximately 80 deaths). In this study, we report the OS, updated overall response rates (ORRs), and data for safety. After a median follow-up of 13.6 months, 24, 28, and 30 deaths occurred in the sotorasib 960 mg-panitumumab, sotorasib 240 mg-panitumumab, and investigator's choice arms, respectively; updated objective response rates (ORRs; 95% CI) were 30.2% (95% CI, 18.3 to 44.3), 7.5% (95% CI, 2.1 to 18.2), and 1.9% (95% CI, 0.0 to 9.9), respectively. Compared with investigator's choice, the hazard ratios (HRs [95% CI]) for OS were 0.70 (95% CI, 0.41 to 1.18; two-sided P = .20) with sotorasib 960 mg-panitumumab and 0.83 (95% CI, 0.49 to 1.39; two-sided P = .50) with sotorasib 240 mg-panitumumab. No new safety signals were observed. Although not statistically significant, the observed OS HR and ORR along with prior PFS and safety findings support sotorasib 960 mg-panitumumab as a standard of care in patients with chemorefractory KRAS G12C mCRC.",1,1,1,The study focuses on patients with metastatic colorectal cancer (mCRC).,The study examines the use of Panitumumab in combination with sotorasib as a treatment for colorectal cancer.,"The study describes the effect of Panitumumab treatment, including its impact on overall survival and response rates."
41290249,Zhonghua wei chang wai ke za zhi = Chinese journal of gastrointestinal surgery,2025,Nov,25,[Breakthroughs in,"Journal Article, Review, English Abstract","J L Zou, Z Y Chen","KRAS mutations are major oncogenic drivers in colorectal cancer (CRC), occurring in 35%-49% of cases; of which 3%-4% involve the KRAS G12C subtypes, characterized by a glycine-to-cysteine substitution at codon 12. This variant is associated with poor treatment response and reduced overall survival. Recent phase I/II trials of KRAS G12C inhibitors have shown promising results, and the phase III CodeBreaK 300 study confirmed that sotorasib combined with panitumumab significantly improved efficacy compared with standard treatment, establishing a new therapeutic option for KRAS G12C-mutant metastatic CRC. However, drug resistance inevitably develops, driven by mechanisms such as feedback activation of signaling pathways, secondary mutations, and epithelial-mesenchymal transition. Strategies under investigation include targeting alternative signaling pathways, developing next-generation inhibitors and specific degraders, and exploring multi-mechanism or multi-target combination strategies. This review systematically outlines the development of KRAS G12C inhibitors in mCRC, summarizes resistance mechanisms, and discusses emerging combination regimens, aiming to provide a theoretical basis and future directions for treatment optimization.",1,1,1,The paper explicitly discusses patients with colorectal cancer (CRC).,The paper examines the use of Panitumumab in combination with sotorasib as a treatment for KRAS G12C-mutant metastatic CRC.,"The paper describes the effect of Panitumumab treatment in combination with sotorasib, showing improved efficacy compared to standard treatment."
39212064,Pharmacoepidemiology and drug safety,2024,Sep,,Hazard Ratios and Alternative Effect Measures: An Applied Illustration.,"Journal Article, Review, Research Support, U.S. Gov't, P.H.S., Research Support, Non-U.S. Gov't","Chase D Latour, I-Hsuan Su, Megan Delgado, Virginia Pate, Charles Poole, Jessie K Edwards, Til Stürmer, Jennifer L Lund, Michele Jonsson Funk","Although the limitations of hazard ratios (HRs) for quantifying treatment effects in right-censored data have been widely discussed, HRs are still preferentially reported over other, more interpretable effect measures. This may stem from the fact that there are few applied examples that directly contrast the HR and its interpretation with alternative effect measures.
We analyzed data from two randomized clinical trials comparing panitumumab plus standard-of-care chemotherapy (SOCC) with SOCC alone as first- and second-line treatment for metastatic colorectal cancer. We report the effect of treatment with panitumumab on progression-free survival (PFS) using a Cox proportional hazards model to estimate the HR and the Kaplan-Meier estimator of cumulative incidence (risk). Further analyses included examining the cumulative incidence curves; kernel-smoothed, non-parametric hazards curves; fitting the Cox model with a continuous time variable; and estimating restricted mean survival as well as median survival.
The HR was 0.82 (95% confidence interval [CI]: 0.71, 0.93), while the risk ratio (or relative risk [i.e., ratio of the cumulative incidence among the treated versus comparator]) was 0.99 (95% CI: 0.96, 1.02). These two measures suggest apparently different conclusions: either a treatment benefit or no effect. Through subsequent analyses, we demonstrated that, while the cumulative incidence of the outcome was similar by the end of follow-up regardless of treatment, the panitumumab treated group experienced longer PFS than those randomized to SOCC. Substantial nonproportional hazards were evident with panitumumab treatment reducing the hazard of progression/mortality during the first ~1.75 years but associated with an increased hazard of progress/mortality thereafter.
This example underscores the difficulties in interpreting HRs, particularly in the setting of qualitative violations of proportional hazards, and the value of quantifying treatment effects via multiple effect measures.",1,1,1,The study focuses on patients with metastatic colorectal cancer undergoing treatment with panitumumab.,The study examines the use and effect of panitumumab in combination with standard-of-care chemotherapy compared to chemotherapy alone.,The study describes the effect of panitumumab treatment on progression-free survival using multiple effect measures.
41589240,International cancer conference journal,2026,Jan,,Two cases of metastatic colorectal cancer in which epidermal growth factor receptor gene amplification benefited from panitumumab monotherapy.,Journal Article,"Taro Sato, Fumio Nagashima, Naohiro Okano, Mariko Nishioka, Masato Hayashi, Yuji Saito, Tadakazu Hisamatsu, Shuichi Hironaka","Panitumumab, an anti-epidermal growth factor receptor (EGFR) antibody, is a standard drug used in patients with RAS wild-type (WT) metastatic colorectal cancer (mCRC). Studies have reported that the KRAS mutation is a negative predictive biomarker; however, EGFR gene amplification may be a predictive biomarker for the response to anti-EGFR antibodies. We encountered two patients with EGFR gene amplification (one with KRAS mutation) who responded to panitumumab monotherapy after failure of standard chemotherapy. Case 1 was an 85-year-old woman with RAS WT transverse colon cancer with liver metastases. After receiving capecitabine monotherapy as first-line therapy, S-1 plus irinotecan plus bevacizumab therapy as second-line, trifluridine/tipiracil (FTD/TPI) monotherapy as third-line, and regorafenib monotherapy as fourth-line therapy, the patient received panitumumab monotherapy as fifth-line therapy. After that, comprehensive gene panel testing showed EGFR gene amplification. This therapy continued for 6.9 months without progressive disease (PD), and liver metastases shrank by up to 72%. Case 2 was a 65-year-old man with RAS WT (initially) sigmoid colon cancer and multiple liver metastases. After receiving mFOLFOX6 plus panitumumab therapy as first-line therapy, FOLFIRI plus bevacizumab as second-line, he underwent conversion surgery. After 3 months, multiple liver metastases were detected on CT scan, then, comprehensive gene panel testing was done, and it showed high tumor mutational burden (TMB) and EGFR amplification. As third-line therapy, he received pembrolizumab monotherapy. After PD for pembrolizumab, OncoBEAM™ was done and it showed neo-RAS mutation. Regardless of that result, panitumumab was resumed as a fourth-line treatment and administered for 5.2 months without PD; liver metastases shrank by up to 50%. We encountered two patients with mCRC and EGFR gene amplification who responded to panitumumab monotherapy. EGFR gene amplification may be a potential biomarker for anti-EGFR antibodies, regardless of RAS status.",1,1,1,The paper explicitly discusses patients with metastatic colorectal cancer (mCRC).,The paper examines the use of panitumumab as a treatment in two cases of colorectal cancer.,"The paper describes the effect of panitumumab treatment, including tumor shrinkage and disease control in both cases."
40009739,Deutsches Arzteblatt international,2025,Mar,21,The Pharmacologic Inhibition of KRAS Mutants as a Treatment for Cancer: Therapeutic Principles and Clinical Results.,"Journal Article, Review","Stefan Kasper, Martin Sebastian","Mutations of the KRAS oncogene are found in up to 20% of all cancers, and particularly in non-small-cell lung cancer (NSCLC) (20-40%) and colorectal cancer (CRC) (30-50%). Inhibitors of specific KRAS mutants have recently become available and are now a part of routine care.
This review is based on articles published in the past 5 years that were retrieved by a selective search in PubMed for clinical trials of the pharmacological inhibition of KRAS.
Sotorasib and adagrasib have already been approved, on the basis of two randomized phase III trials, as specific inhibitors of the KRASG12C mutant for palliative second-line treatment. Compared to standard chemotherapy with docetaxel, both drugs significantly prolonged progression-free survival (PFS): 5.6 months (95% confidence interval [4.3; 7.8]) for sotorasib versus 4.5 [3.0; 5.7] for docetaxel, and 5.5 months [4.5; 6.7] for adagrasib versus 3.8 [2.7; 4.7] for docetaxel. Sotorasib was also found to cause fewer severe adverse drug events (33%, versus 40% with docetaxel). The most common ones were diarrhea and elevated liver enzymes. For already treated CRC, sotorasib combined with the anti-epidermal growth factor receptor (anti-EGFR) antibody panitumumab was found, in a randomized phase III trial, to prolong progression-free survival significantly compared to standard therapy with triflurdin/tipiracil or regorafenib (5.6 months [4.2; 6.3] versus 2.2 months [1.9; 3.9]), while also improving patients' quality of life. Approval by the European Medicines Agency is pending. Further KRAS and pan-RAS inhibitors are now in early clinical development.
Pharmacological KRAS inhibition is a promising new approach to the treatment of many kinds of cancer.",1,1,1,The paper discusses colorectal cancer (CRC) as one of the cancer types affected by KRAS mutations and mentions the use of panitumumab in combination with sotorasib for CRC treatment.,"The paper explicitly mentions the use of panitumumab in combination with sotorasib for the treatment of CRC, indicating that panitumumab is examined as part of the treatment regimen.","The paper describes the effect of panitumumab in combination with sotorasib, showing that it significantly prolongs progression-free survival compared to standard therapy in CRC patients."
41646483,ESMO gastrointestinal oncology,2025,Mar,,Anti-EGFR re-challenge with chemotherapy in RAS wild-type advanced colorectal cancer (A-REPEAT study): efficacy and correlations with tissue and plasma genotyping.,Journal Article,"J Sgouros, A Eliades, K Papadopoulou, N Korfiatis, D Papamichael, E Fountzilas, E Tsolaki, A Achilleos, K Tsangaras, C Loizides, G Oikonomopoulos, T Makatsoris, E Kypri, M Ioannides, G Koumbaris, G Fountzilas, P C Patsalis, G Pentheroudakis","Approved treatments for colorectal cancer (CRC) patients pretreated with two lines of therapy are of limited efficacy. Anti-epidermal growth factor receptor (EGFR) re-challenge might represent an option in RAS wild-type tumours. This study aimed to evaluate the efficacy of anti-EGFR re-challenge strategies (panitumumab/chemotherapy).
RAS wild-type metastatic CRC patients following first-line chemotherapy + anti-EGFR agent and second-line chemotherapy ± anti-vascular endothelial growth factor agent were eligible. Panitumumab with irinotecan or oxaliplatin-based chemotherapy was used. The primary objective was response rate (RR). Secondary objectives were safety, progression-free survival and overall survival. Next-generation sequencing-based genotyping in archived tissue and plasma was carried out to identify prognostic factors.
The study closed prematurely, due to poor accrual, with 23 patients included. Most patients had primary tumours in the left colon/rectum, and the liver was the most common metastatic site. Treatment modifications were required in 74% of patients due to side-effects primarily, neutropenia and acneiform rash. One patient died from hepatic failure. The objective RR in the intention-to-treat population was 13%, and the disease control rate (DCR) was 52%. Forty-eight percent of patients tested via liquid biopsy had RAS mutations before re-challenge with panitumumab despite a median interval from previous anti-EGFR therapy of 12 months. Control of disease did not correlate with the results of liquid biopsy. RR and DCR in patients without RAS mutations in liquid biopsies were 18.2% and 54.5%, respectively.
Panitumumab/chemotherapy as an anti-EGFR re-challenge strategy had modest activity in our patient cohort.",1,1,1,The study focuses on patients with metastatic colorectal cancer.,The study examines the use of panitumumab in combination with chemotherapy as a re-challenge strategy.,"The study describes the effect of panitumumab treatment, including response rate and disease control rate."
40310309,Clinical cancer research : an official journal of the American Association for Cancer Research,2025,Jul,01,Targeting the MAP Kinase Pathway in Colorectal Cancer: A Journey in Personalized Medicine.,"Journal Article, Review","Jordan W Appleyard, Christopher J M Williams, Paolo Manca, Filippo Pietrantonio, Jenny F Seligmann","The anti-EGFR agents cetuximab and panitumumab were the first targeted agents to be licensed for colorectal cancer and marked a significant advancement in personalized care. Initial biomarkers provided poor discrimination between responders and nonresponders. Through hypothesis-led translational studies, tumor genomic negative predictive markers were identified, and treatment is now limited to patients with RAS and BRAF wild-type disease. Guidelines further recommend treatment limitation to those with a left primary tumor location. Despite such progress, anti-EGFR response remains variable within the biomarker-selected population, indicating the presence of additional mechanisms of resistance and underscoring the need for novel positive predictive biomarkers and novel targeted agents. This review explores established and emerging predictive biomarkers of anti-EGFR efficacy, including tumor genetic alterations beyond RAS and BRAF, as well as the EGFR ligands amphiregulin and epiregulin. To date, biomarker discovery and validation have largely been performed within post hoc analyses of existing clinical trial datasets. We highlight ongoing prospective clinical trials aiming to validate earlier findings and describe how novel biomarkers are being used to reevaluate anti-EGFR agents in treatment settings in which earlier trials, among nonbiomarker-selected populations, yielded negative results-including right primary tumor location, locally advanced disease, and anti-EGFR rechallenge strategies. Additionally, we discuss how our improved understanding of the molecular mechanisms underpinning anti-EGFR response and resistance is being leveraged to develop novel targeted agents.",1,0,0,The paper explicitly discusses colorectal cancer.,"The paper mentions panitumumab but does not specifically examine its use, effect, or sensitivity as a main treatment.",The paper does not describe the specific effect of panitumumab treatment in detail.
