PMID,Journal,Year,Month,Day,Title,Publication Type,Authors,Abstract,s1,s2,s3,r1,r2,r3
32616433,Clinical therapeutics,2020,Jul,,Comparative Cost-effectiveness of Aflibercept and Ramucirumab in Combination with Irinotecan and Fluorouracil-based Therapy for the Second-line Treatment of Metastatic Colorectal Cancer in Japan.,"Clinical Trial, Phase III, Journal Article, Randomized Controlled Trial","Munenobu Kashiwa, Ryo Matsushita","The addition of aflibercept (AFL) or ramucirumab (RAM) to folinic acid, fluorouracil, and irinotecan (FOLFIRI) prolongs overall survival and progression-free survival compared with FOLFIRI alone in patients with metastatic colorectal cancer (mCRC) as second-line therapy. Although these combination regimens are recommended among the standard therapies, significant additional cost is a concern. The comparative cost-effectiveness of AFL and RAM was examined from the perspective of the Japanese health care payer.
A partitioned survival analysis was constructed. The data sources were the VELOUR (Aflibercept Versus Placebo in Combination With Irinotecan and 5-FU in the Treatment of Patients With Metastatic Colorectal Cancer After Failure of an Oxaliplatin Based Regimen) and RAISE (Ramucirumab Versus Placebo in Combination With Second-Line FOLFIRI in Patients With Metastatic Colorectal Carcinoma That Progressed During or After First-Line Therapy With Bevacizumab, Oxaliplatin, and a Fluoropyrimidine) trials, which compared FOLFIRI alone with AFL or RAM in second-line treatment for mCRC. The cost and effectiveness of the combination of AFL or RAM with FOLFIRI were compared with those of FOLFIRI alone and examined between both agents in a 10-year time horizon. The health outcomes were life-years (LYs) and quality-adjusted life-years (QALYs). The costs were 2019 revisions to the drug prices and medical fees. The robustness of the model was verified by 1-way sensitivity analyses and a probability sensitivity analysis. A 2% annual discount was applied to the expenses and QALYs. A willingness-to-pay threshold of ¥7.5 million was used.
Compared with FOLFIRI alone, combination AFL or RAM with FOLFIRI had incremental effects of 0.173 QALYs (0.253 LYs) and 0.137 QALYs (0.197 LYs), incremental costs of ¥3,423,481 (US $31,010) and ¥5,766,106 (US $52,229), and incremental cost-effectiveness ratios of ¥19, 836, 504 (US $179,678) and ¥41, 947, 989 (US $379,964) per QALY, respectively. Results of 1-way sensitivity analyses and probability sensitivity analysis all exceeded a willingness-to-pay threshold of ¥7.5 million. In the comparison of the 2 agents, AFL was a dominant over RAM.
Adding AFL or RAM to FOLFIRI in the second line of mCRC treatment was not cost-effective in the Japanese health care system. On the basis of the results of this study, in the treatment of mCRC, it will be necessary to adjust the prices of AFL and RAM with the improvement of clinical parameters, such as survival time and adverse events. Of the 2 agents, AFL was more cost-effective than RAM.",1,1,1,The study focuses on patients with metastatic colorectal cancer (mCRC) undergoing second-line treatment.,The study examines the use and cost-effectiveness of Ramucirumab in combination with FOLFIRI as a treatment for mCRC.,"The study describes the effect of Ramucirumab treatment, including its impact on survival, quality-adjusted life-years (QALYs), and cost-effectiveness compared to FOLFIRI alone."
40189763,Gan to kagaku ryoho. Cancer & chemotherapy,2025,Mar,,[A Case of Long-Term Prognosis of Advanced Rectosigmoid Cancer with Multiple Metastases Treated with Multidisciplinary Therapy].,"Journal Article, Case Reports, English Abstract","Yasutaka Shimada, Tetsuro Ikeya, Masato Satake, Kuniyasu Murahashi","The case was 50-year-old woman, who was diagnosed with advanced rectosigmoid cancer with multiple liver metastases and solitary lung metastasis. She was started with chemotherapy. Two courses of mFOLFOX6+panitumumab and 8 courses of mFOLFOX6+bevacizumab were administered as a first-line. As a second-line, 1 course of FOLFIRI+ramucirumab was given. Six months later, CT showed that lung metastasis had disappeared and all liver metastases had become smaller, therefor surgery was selected. Laparoscopic partial hepatectomy was performed, and 2 months later, laparoscopic high anterior resection was added. She received 4 courses of capecitabine as adjuvant chemotherapy, but the lung metastasis had enlarged, and thoracoscopic partial lung resection was performed. Five months later, a nodule suspected metastasis was noted on the dissected surface of liver S5 on CT, and a right liver lobectomy was added. She was surviving for 2 years and 10 months after diagnosis of Stage Ⅳ rectal cancer, and had been progression-free for 10 months after last treatment.",1,1,1,"The paper describes a patient with advanced rectosigmoid cancer, which is a type of colorectal cancer.",The paper mentions the use of Ramucirumab as part of the second-line treatment regimen (FOLFIRI+ramucirumab).,"The paper describes the effect of Ramucirumab treatment, noting that after its administration, the lung metastasis disappeared and liver metastases decreased in size."
33333866,Journal of clinical medicine,2020,Dec,15,"Efficacy of Combination Chemotherapy Using a Novel Oral Chemotherapeutic Agent, FTD/TPI, with Ramucirumab Murine Version DC101 in a Mouse Syngeneic Cancer Transplantation Model.",Journal Article,"Kenta Tsunekuni, Hisato Kawakami, Kazuaki Matsuoka, Hideki Nagase, Seiichiro Mitani, Kazuhiko Nakagawa","Trifluridine/tipiracil (FTD/TPI) (a.k.a. TAS-102) is a combination drug for metastatic colorectal cancer (CRC) and severely pretreated metastatic gastric/gastroesophageal junction (GEJ) cancers, comprising FTD, a thymidine-based antineoplastic nucleoside analog, and TPI, which enhances FTD bioavailability. Herein, in KRAS mutant murine colorectal cancer CT26 syngeneic models, we investigate whether combination therapy with DC101 (a surrogate ramucirumab antibody, rat antimouse vascular endothelial growth factor receptor (VEGFR)-2 monoclonal antibody (mAb)) improves FTD/TPI efficacy. Tumor growth inhibition (TGI) on day 15 was 38.0% and 30.6% upon DC101 monotherapy and FTD/TPI monotherapy respectively, and 60.3% upon combination therapy. Tumor volume was significantly lower (p < 0.001) upon combination treatment than upon FTD/TPI or DC101 monotherapy, indicating the additive effects of FTD/TPI and DC101. DNA-incorporated FTD levels on Day 8 were significantly higher in combination therapy with FTD/TPI (for 5 consecutive days) and DC101 (on alternate days for 7days) than in FTD/TPI monotherapy. Furthermore, vascular endothelial cell-specific marker CD31 was downregulated in DC101-treated tumors on day 8. These results indicate that combination therapy with FTD/TPI and DC101 is a promising treatment alternative regardless of KRAS mutations.",1,1,1,"The study uses a murine colorectal cancer model (CT26), which is relevant to colorectal cancer.","The study examines the use of DC101, a murine version of ramucirumab, in combination with FTD/TPI.","The study describes the effect of DC101 (a surrogate for ramucirumab) in combination with FTD/TPI, showing improved tumor growth inhibition and vascular effects."
38303192,Gan to kagaku ryoho. Cancer & chemotherapy,2023,Dec,,[A Case of MSI-High Sigmoid Colon Cancer in Which Long-Term Survival Was Achieved by Pembrolizumab for Recurrent Lesions Resistant to Conventional Chemotherapy].,"Case Reports, English Abstract, Journal Article","Hideaki Tsumuraya, Akinao Kaneta, Shotaro Fujita, Souhei Hayashishita, Shotaro Mochizuki, Hiroya Suzuki, Chiaki Takiguchi, Akira Matsuishi, Yuuya Maruyama, Ryo Kanouda, Mei Sakuma, Wataru Sakamoto, Tomoyuki Monma, Zenichiro Saze, Koji Kono","The patient underwent sigmoidectomy with D3 lymph node dissection and partial bladder resection for sigmoid colon cancer(cT4bN1M0, cStage Ⅲa), after preoperative chemotherapy with mFOLFOX plus panitumumab, and FOLFOXIRI plus bevacizumab. Postoperative adjuvant chemotherapy was performed by 8 courses of CAPOX. He relapsed hilar lymph nodes and peritoneal dissemination after 13 months after surgery, he underwent resection of the recurrent lesions. Four months after, he developed recurrence in liver and peritoneum. Although he was treated with FOLFIRI plus ramucirumab or aflibercept, resulted in progression of disease, then he received trifluridine tipiracil hydrochloride plus bevacizumab. At this point, the Japanese health insulance had started to cover pembrolizumab, this therapy was started as the fourth chemotherapy after the diagnosis of high frequency microsatellite instability(MSI), and then tumor markers rapidly declined. He underwent 38 courses of pembrolizumab, the recurrent lesions both liver and peritoneum disappeared. He had stoma closure, peritoneal dissemination disappeared not only intraoperatively but also in histologically from the peritoneal scar. He has received pembrolizumab for 4 years without another recurrence. Here, we report a case of MSI-high sigmoid colon cancer in which long-term survival was achieved by pembrolizumab for recurrent lesions resistant to conventional chemotherapy.",1,-1,0,"The paper describes a patient with sigmoid colon cancer, which is a type of colorectal cancer.",The study does not focus on ramucirumab as a main treatment; it mentions ramucirumab as part of a failed treatment regimen.,"The paper does not describe the effect of ramucirumab treatment, as the patient progressed on this therapy and pembrolizumab was the effective treatment."
32541497,Medicine,2020,Jun,12,Efficacy and safety of ramucirumab treatment in patients with advanced colorectal cancer: A protocol for systematic review and meta analysis.,Journal Article,"Man Ju, Honggang Cheng, Kai Qu, Xiangqian Lu","vascular endothelial growth factor receptor 2 (VEGFR-2) has an important role in colorectal cancer pathogenesis and progression. The aim of our study is to provide a protocol for assessing the efficacy and safety of ramucirumab (a monoclonal antibody VEGFR-2 antagonist) for the treatment of advanced colorectal cancer.
The systematic review will be reported according to the preferred reporting items for systematic reviews and meta-analyses protocols. Relevant randomized controlled trials were searched from PubMed, Cochrane Library, Web of Science, Excerpt Medica Database, China National Knowledge Infrastructure, and Wanfang Database. Papers in English or Chinese published from their inception to February 2020 will be included without any restrictions.Study selection and data extraction will be performed independently by 2 investigators. The clinical outcomes including overall response rate, complete response rate (disease control rate), overall survival, progression-free survival, quality of life, immune function, and adverse events, were systematically evaluated. Review Manager 5.3 and Stata 14.0 were used for data analysis, and a fixed or random-effect model of meta-analysis will be used depending upon the heterogeneity observed between studies. Subgroup analysis will be carried out depending on the availability of sufficient clinical data.
The findings of this systematic review and meta-analysis will be published in a peer-reviewed journal, and provide more evidence-based guidance in clinical practice.
CRD42020165683.",1,1,1,The study focuses on patients with advanced colorectal cancer.,The study examines the use and efficacy of ramucirumab as a treatment for colorectal cancer.,"The study describes the effects of ramucirumab treatment, including clinical outcomes such as overall response rate, survival, and adverse events."
32770529,Advances in therapy,2020,Oct,,Efficacy and Safety of Regorafenib in Combination with Chemotherapy as Second-Line Treatment in Patients with Metastatic Colorectal Cancer: A Network Meta-Analysis and Systematic Literature Review.,"Journal Article, Research Support, Non-U.S. Gov't, Systematic Review, Network Meta-Analysis","Xiaoyu Xie, Jianwei Zhang, Huabin Hu, Yue Cai, Zehua Wu, Jiayu Ling, Weiwei Li, Yanhong Deng","Although various therapies are available for the treatment of metastatic colorectal cancer (mCRC), there is lack of head-to-head evidence. Recent studies have demonstrated the efficacy of chemotherapy in combination with different biological agents including regorafenib in second-line therapy in patients with mCRC. We conducted a network meta-analysis (NMA) to estimate the relative efficacy and safety of regorafenib in combination with chemotherapy compared to other biological agents with chemotherapy combinations.
A literature search was conducted in PubMed, Embase, and Cochrane databases to identify all randomized controlled trials (RCTs) evaluating the efficacy and safety of bevacizumab, regorafenib, panitumumab, cetuximab, ramucirumab, conatumumab, ganitumab, and aflibercept in combination with chemotherapy against chemotherapy alone as second-line setting from inception to 7 February 2019 in patients with mCRC. The survival outcomes were analyzed by the frequentist statistical approach (R software, netmeta package) while the level of individual treatment arms was assessed using the Bayesian method (R software, gemtc package).
We identified 12 articles involving eight RCTs studies analyzing 6805 patients. The studies compared bevacizumab (3), regorafenib (1), panitumumab (2), cetuximab (3), ramucirumab (1), conatumumab (1), ganitumab (1), and aflibercept (1) against chemotherapy alone as comparator. The progression-free survival (PFS) revealed that regorafenib performed better than aflibercept (HR 0.9631, 95% CI 0.6785-1.367), ganitumab (HR 0.7228, 95% CI 0.3985-1.3109), panitumumab (HR 0.9653, 95% CI 0.6781-1.3742), and ramucirumab (HR 0.9206, 95% CI 0.6504-1.303). Regorafenib performed better than bevacizumab (OR 0.797, 95% CI 0.328-1.88) in terms of tumor response. Safety analysis showed that regorafenib performed better in reducing grade ≥ 3 adverse events (AE) than cetuximab and conatumumab, neutropenia than conatumumab, and fatigue than cetuximab.
Regorafenib combined with chemotherapy might be a potential alternative to conventional therapeutic options in second-line treatment of patients with metastatic colorectal cancer and could be considered as the best option for treating patients with KRAS and BRAF mutated mCRC. However future RCTs are needed to confirm these results.",1,1,1,The study focuses on patients with metastatic colorectal cancer (mCRC).,The study examines the use and effect of Ramucirumab in combination with chemotherapy as a second-line treatment.,The study describes the effect of Ramucirumab treatment by comparing its progression-free survival (PFS) and other outcomes with other biological agents.
38321556,Journal of medical case reports,2024,Feb,07,Radiological complete response with regorafenib for multiple lung metastases of ascending colon cancer: a case report.,"Case Reports, Journal Article","Koji Kikuchi, Masaaki Ogawa, Akira Sasaki","Regorafenib is an oral diphenylurea multikinase inhibitor and currently approved for use following third-line therapy for metastatic colorectal cancer (CRC) patients. Only one case has previously been reported of metastatic CRC showing a complete response (CR) to regorafenib.
A 68-year-old Japanese man underwent laparoscopy-assisted ileocecal resection and D3 lymphadenectomy due to his ascending colon cancer. Eighteen months after surgery, a laparoscopic hepatic left lateral segmentectomy was performed due to a liver tumor, and a pathological diagnosis of colorectal liver metastasis was made. Three months after the second surgery, contrast-enhanced computed tomography (CT) revealed multiple lung metastases. The patient had undergone 18 courses of the FOLFOX + bevacizumab chemotherapy regimen as their first-line therapy and 11 courses of the FOLFIRI + ramucirumab chemotherapy regimen as their second-line therapy. As their third-line therapy, the patient was administered the regorafenib chemotherapy regimen. We evaluated the chemotherapy treatment's effect on the lung tumors by CT after 3, 7, 11, and 17 courses of the regorafenib chemotherapy regimen, finding that the lung tumors had shrunk with time; thus, each tumor was considered a partial response (PR) based on the RECIST guidelines. After 21 courses of the regorafenib chemotherapy regimen, the chemotherapy was discontinued in response to the patient's wishes. Even at 1 and 3 months after the discontinuation of the chemotherapy, CT revealed that the lung tumors had shrunk, with each considered a PR. Furthermore, 9 months after the discontinuation of the chemotherapy, CT revealed scarring of the lung tumors. This was considered a CR, rather than a PR. The patient remains disease-free 18 months after the discontinuation of chemotherapy.
In this paper, we present the second case of radiological CR with regorafenib for multiple lung metastases of ascending colon cancer. Currently, there is no consensus on a treatment strategy for patients with radiological CR.",1,-1,0,"The paper focuses on a patient with ascending colon cancer, which is a type of colorectal cancer.",The study does not examine the use or effect of Ramucirumab; it focuses on Regorafenib as the third-line treatment.,"The study does not describe the effect of Ramucirumab treatment, as the patient was treated with Regorafenib, not Ramucirumab."
31119376,Cancer chemotherapy and pharmacology,2019,Jul,,Renin-angiotensin system inhibitors for countering proteinuria induced by angiogenesis inhibitors: a retrospective observational analysis.,"Journal Article, Observational Study","Toshinori Hirai, Yukari Shuji, Megumi Takiyama, Kazuhiko Hanada, Toshimasa Itoh","Occurrence of proteinuria could result in cessation of bevacizumab and ramucirumab treatments. Renin-angiotensin system (RAS) inhibitors exert a renoprotective effect by countering proteinuria. However, the association between renoprotective effect of RAS inhibitors and blood pressure control is unclear. This study assessed the risk factors for proteinuria induced by bevacizumab or ramucirumab and the relationship between renoprotective effect of RAS inhibitors and blood pressure control.
A retrospective observational analysis was conducted at Tokyo Women's Medical University, Medical Center East from June 2015 to May 2018. Multivariate logistic regression analysis was used to identify risk factors for proteinuria induced by treatment with bevacizumab and ramucirumab. Renoprotective effect was assessed by analyzing blood pressure data in association with the use of RAS inhibitors.
Out of 208 patients included in this study, proteinuria was observed in 50 (24%) patients. Body mass index ≥ 24 kg/m2 (OR = 2.45, 95% CI 1.21-4.96, p = 0.01), colorectal cancer (OR = 1.95, 95% CI 1.00-3.80, p < 0.05), and use of RAS inhibitors (OR = 0.25 95% CI 0.07-0.92, p = 0.04) were associated with proteinuria induced by treatment with bevacizumab and ramucirumab. A change in systolic blood pressure at second visit was higher in patients with RAS inhibitors compared with those in patients without RAS inhibitors (25 mmHg vs - 5 mmHg, p = 0.04).
Although RAS inhibitors protected patients from proteinuria induced by bevacizumab or ramucirumab, RAS inhibitors could not adequately control their blood pressures in patients with proteinuria.",1,1,1,The study includes patients with colorectal cancer as one of the risk factors for proteinuria.,The study examines the use of Ramucirumab as part of the treatment with angiogenesis inhibitors.,The study describes the effect of Ramucirumab treatment by analyzing its association with proteinuria and the renoprotective effect of RAS inhibitors.
31676953,Targeted oncology,2019,Dec,,Effect of Early Adverse Events on Survival Outcomes of Patients with Metastatic Colorectal Cancer Treated with Ramucirumab.,"Journal Article, Research Support, Non-U.S. Gov't","Huezin H Lim, Ashley M Hopkins, Andrew Rowland, Hoi Y Yuen, Christos S Karapetis, Michael J Sorich","Studies of patients treated with bevacizumab and other vascular epithelial growth factor (VEGF) inhibitors have reported that hypertension adverse events (AEs) are associated with improved overall survival (OS) or progression-free survival (PFS).
Our objective was to evaluate the association between early AEs and survival outcomes for patients treated with ramucirumab, an antibody targeting the VEGF receptor-2 (VEGFR-2), plus FOLFIRI for metastatic colorectal cancer (mCRC).
Data from 529 patients treated with ramucirumab plus FOLFIRI for mCRC in the RAISE clinical trial (NCT01183780) were evaluated to see whether early (first 6 weeks of therapy) AEs predicted subsequent OS and PFS. A Cox proportional hazard approach was used to evaluate associations between early AEs and survival outcomes. A secondary analysis between FOLFIRI and placebo was conducted as a sensitivity analysis.
Of 529 patients treated with ramucirumab plus FOLFIRI, 479 were alive and progression free at 6 weeks after commencing therapy. No significant association was identified between hypertension occurring within the first 42 days of ramucirumab plus FOLFIRI therapy and OS (grade 1-2, hazard ratio [HR] 0.90 [95% confidence interval (CI) 0.66-1.24]; grade 3+, HR 1.02 [95% CI 0.67-1.55]; P = 0.803) or PFS (grade 1-2, HR 0.98 [95% CI 0.74-1.28]; grade 3+, HR 0.93 [95% CI 0.64-1.37]; P = 0.93). However, there was a significant association between diarrhea occurring within the first 42 days of ramucirumab plus FOLFIRI therapy and worse OS (grade 1-2, HR 0.96 [95% CI 0.76-1.20]; grade 3+, HR 2.72 [95% CI 1.67-4.44]; P = 0.001) and PFS (grade 1-2, HR 1.01 [95% CI 0.83-1.23]; grade 3+, HR 2.22 [95% CI 1.43-3.45]; P = 0.005). No other AEs were significantly associated with OS or PFS.
Ramucirumab-induced hypertension was not associated with improved OS and PFS in patients with mCRC treated with ramucirumab and FOLFIRI, but severe diarrhea was associated with poorer OS and PFS.
No. NCT01183780.",1,1,1,The study focuses on patients with metastatic colorectal cancer (mCRC) treated with ramucirumab.,The study examines the use and effect of ramucirumab in combination with FOLFIRI for mCRC.,"The study describes the effect of ramucirumab treatment, specifically the association between early adverse events and survival outcomes (OS and PFS)."
39656165,Expert opinion on drug safety,2024,Dec,16,A real-world disproportionality analysis of FDA Adverse Event Reporting System (FAERS) events for ramucirumab.,Journal Article,"Li Lin, Xinlei Zheng, Min Wu, Yan Chen, Qichun Nian, Yu Lin, Maohua Chen","Ramucirumab (IMC-1121B) is a fully human immunoglobulin G1 monoclonal antibody, approved by the US Food and Drug Administration (FDA) for treating various cancers, including gastric, colorectal, liver, and non-small cell lung cancer. This study aimed to investigate the adverse events (AEs) associated with ramucirumab by utilizing data mining techniques on the FDA Adverse Event Reporting System (FAERS).
We collected ramucirumab-related data from the FAERS database, spanning from January 2014 to June 2023. Our analysis incorporated both Frequentist and Bayesian methodologies in disproportionality analysis to determine the relationship between the drug and specific AEs.
Among the 14,605,547 reports in FAERS database, 12,692,407 were identified as primary suspected AEs related to ramucirumab. These AEs involved 26 different organ systems, with 24 significant disproportionality Preferred Terms (PTs) identified across four algorithms. Notably, unexpected significant AEs, such as peripheral neuropathy, hemolytic uremic syndrome, rectal stenosis, anaphylactic shock, bladder tamponade, hydronephrosis, and spontaneous pneumothorax, were also observed.
This study makes a significant contribution to the field by emphasizing the importance of long-term monitoring of approved agents to further expand on potential adverse events and to distinguish between events that are disease-related versus those more directly related to the particular treatment.",1,1,1,"The study mentions that ramucirumab is approved for treating colorectal cancer, indicating the focus on patients with colorectal cancer.",The study examines the use of ramucirumab by analyzing adverse events associated with its use in the FAERS database.,The study describes the effects of ramucirumab treatment by identifying significant adverse events associated with its use.
