PMID,Journal,Year,Month,Day,Title,Publication Type,Authors,Abstract,s1,s2,s3,r1,r2,r3
32922614,International journal of clinical and experimental pathology,2020,,,Gardner syndrome with a giant mass in the thoracic cavity: a case report and analysis of the related complications.,"Case Reports, Journal Article","Dehui Yang, Xianghao Zeng, Yipin Lv, Weilin Liao, Shanhong Tang, Jianqin Jiang","Gardner syndrome (GS) is a form of familial adenomatous polyposis (FAP) and is characterized by colonic polyposis, osteomas, and soft-tissue tumors. Desmoid tumors (DT) are lesions of mesenchymal origin and are an extra-colonic manifestation of GS. Gardner-associated fibroma (GAF) is considered to be a benign soft-tissue lesion related to DT and FAP. Here we present a case of an 18-year-old female patient with a huge lump in her right thoracic cavity and another lump located in her left lumbar muscles who was diagnosed with GS through a colonoscopy and through adenomatous polyposis coli (APC) gene mutation detection. The patient underwent a surgical resection of the right thoracic tumor. Three months later, the left waist lump underwent medical treatment with tamoxifen and celecoxib and was monitored using computed tomography (CT). Subsequently, colonoscopy screening was performed annually to prevent colorectal cancer. GAF is frequent in GS, and such a huge GAP in the thorax is very rare, with few cases reported in the literature. Patients with GS must be closely monitored, and clinical and imaging examinations must be performed to detect any signs of tumors.",-1,1,1,"The study focuses on a patient with Gardner syndrome, which is a form of familial adenomatous polyposis (FAP), not colorectal cancer itself.","The study mentions the use of tamoxifen as part of the medical treatment for the left waist lump, which is related to GS.","The study describes the use of tamoxifen in the treatment of the left waist lump, although the specific effect of tamoxifen is not quantitatively evaluated."
40847445,"Advanced science (Weinheim, Baden-Wurttemberg, Germany)",2025,Nov,,Lifespan-Regulated CAR-Macrophages from Myeloid Progenitors for Enhanced Colorectal Cancer Therapy.,Journal Article,"Chuancheng Gao, Fangling Hong, Yao Dong, Yong Fu, Yunong Ma, Xuedi Sun, Junfeng Zhang, Jiangning Chen, Zhen Huang","Adoptive cell therapies for solid tumors face persistent challenges from poor tumor infiltration and immunosuppressive microenvironment. To overcome these limitations, a clinically scalable platform is developed to generate chimeric antigen receptor macrophages (CAR-HMs) from tamoxifen-regulated immortalized Hoxb8-transduced myeloid progenitors, achieving >95% CAR transduction efficiency and 60-fold expansion within 10 days. Engineered with a colorectal cancer-specific anti-carcinoembryonic antigen (CEA) CAR, these FcγRI-CAR-HMs demonstrated potent tumoricidal activity (>80% CRC cell lysis in vitro), deep tissue penetration (>100 µm in 3D tumor spheroids), and significant therapeutic efficacy (≈89% tumor regression in vivo). Mechanistic studies demonstrated that FcγRI-CAR-HMs remodeled the tumor microenvironment through direct tumor phagocytosis, T cells recruitment and activation, and synergistic enhancement of anti-PD-1 therapy in colorectal cancer models, while an integrated inducible caspase-9 (iCas9) suicide switch ensured safety without compromising long-term persistence. This progenitors-based platform not only addresses critical manufacturing challenges but also unlocks the full therapeutic potential of CAR-macrophages, whose unique ability to synergize with checkpoint inhibitors provides a transformative approach for treatment-refractory solid tumors.",1,1,0,"The study focuses on colorectal cancer models, as it describes CAR-HMs targeting colorectal cancer cells and demonstrates therapeutic efficacy in colorectal cancer models.","The study uses tamoxifen-regulated immortalized myeloid progenitors to generate CAR-HMs, indicating that tamoxifen is a key component in the platform's design and function.","While the paper mentions the use of tamoxifen in the regulation of CAR-HMs, it does not specifically describe the effect of tamoxifen treatment on patients or models in terms of therapeutic outcomes or biological effects."
39807644,Alzheimer's & dementia : the journal of the Alzheimer's Association,2025,Feb,,Unraveling the bidirectional link between cancer and dementia and the impact of cancer therapies on dementia risk: A systematic review and meta-analysis.,"Journal Article, Systematic Review, Meta-Analysis","Liwei Ma, Edwin C K Tan, Benjamin Goudey, Liang Jin, Yijun Pan","Observational studies on the cancer-dementia relationship have yielded controversial results. This study systematically reviews the evidence to clarify this association. We searched Embase, Global Health, Ovid Medline, and APA PsycInfo. Colorectal and lung cancers showed the greatest risk reduction for all-cause dementia (ACD) and Alzheimer's disease (AD), respectively, while melanoma and colorectal cancers had the largest reduction in vascular dementia (VaD). Prostate cancer survivors on androgen deprivation therapy (ADT) had a higher risk of ACD/AD, while breast cancer patients on tamoxifen had a lower AD risk. Chemotherapy was linked to a reduced AD risk. ACD patients saw a 30% risk reduction for bladder, colorectal, and lung cancers, while AD patients had a ≈ 35% reduction for bladder and lung cancers. Our study urges clinicians to monitor cognitive function in cancer patients, especially those on ADT, tamoxifen, or chemotherapy and highlights the need for research into cancer-dementia mechanisms. HIGHLIGHTS: Cancer survivors have an 8% to 14% lower risk of dementia, while those with dementia have a 25% lower cancer risk. Colorectal and non-melanoma skin cancers were associated with reduced risks of all-cause dementia (ACD; 16%/9%), Alzheimer's disease (AD; 13%/5%), and vascular dementia (VaD; 24%/9%). Lung cancer reduced AD risk by 17%, and melanoma reduced VaD risk by 27%. ACD and AD patients had lower risks of lung (30%/36%), bladder (32%/34%), breast (26%/20%), and colorectal (31%/28%) cancers. Tamoxifen and chemotherapy reduced AD risk, while androgen deprivation therapy increased ACD risk.",1,1,1,The study includes patients with colorectal cancer as part of its analysis.,The study examines the use and effect of tamoxifen in breast cancer patients.,"The study describes the effect of tamoxifen treatment, noting a lower risk of Alzheimer's disease in breast cancer patients on tamoxifen."
26202787,Health expectations : an international journal of public participation in health care and health policy,2016,Aug,,Health literacy-listening skill and patient questions following cancer prevention and screening discussions.,"Journal Article, Research Support, N.I.H., Extramural","Kathleen M Mazor, Donald L Rubin, Douglas W Roblin, Andrew E Williams, Paul K J Han, Bridget Gaglio, Sarah L Cutrona, Mary E Costanza, Joann L Wagner","Patient question-asking is essential to shared decision making. We sought to describe patients' questions when faced with cancer prevention and screening decisions, and to explore differences in question-asking as a function of health literacy with respect to spoken information (health literacy-listening).
Four-hundred and thirty-three (433) adults listened to simulated physician-patient interactions discussing (i) prophylactic tamoxifen for breast cancer prevention, (ii) PSA testing for prostate cancer and (iii) colorectal cancer screening, and identified questions they would have. Health literacy-listening was assessed using the Cancer Message Literacy Test-Listening (CMLT-Listening). Two authors developed a coding scheme, which was applied to all questions. Analyses examined whether participants scoring above or below the median on the CMLT-Listening asked a similar variety of questions.
Questions were coded into six major function categories: risks/benefits, procedure details, personalizing information, additional information, decision making and credibility. Participants who scored higher on the CMLT-Listening asked a greater variety of risks/benefits questions; those who scored lower asked a greater variety of questions seeking to personalize information. This difference persisted after adjusting for education.
Patients' health literacy-listening is associated with distinctive patterns of question utilization following cancer screening and prevention counselling. Providers should not only be responsive to the question functions the patient favours, but also seek to ensure that the patient is exposed to the full range of information needed for shared decision making.",1,-1,0,The study includes colorectal cancer screening as one of the scenarios discussed.,"The study does not examine the use, effect, or sensitivity of Tamoxifen as a main treatment.",The study does not describe the effect of Tamoxifen treatment.
33202652,"Pharmaceuticals (Basel, Switzerland)",2020,Nov,14,"Synthesis of New 1, 3, 4-Oxadiazole-Incorporated 1, 2, 3-Triazole Moieties as Potential Anticancer Agents Targeting Thymidylate Synthase and Their Docking Studies.",Journal Article,"Mohammad Mahboob Alam, Abdulraheem Sa Almalki, Thikryat Neamatallah, Nada M Ali, Azizah M Malebari, Syed Nazreen","Thymidylate synthase (TS) has emerged as a hot spot in cancer treatment, as it is directly involved in DNA synthesis. In the present article, nine hybrids containing 1,2,3-triazole and 1,3,4-oxadiazole moieties (6-14) were synthesized and evaluated for anticancer and in vitro thymidylate synthase activities. According to in silico pharmacokinetic studies, the synthesized hybrids exhibited good drug likeness properties and bioavailability. The cytotoxicity results indicated that compounds 12 and 13 exhibited remarkable inhibition on the tested Michigan Cancer Foundation (MCF-7) and Human colorectal Carcinoma (HCT-116) cell lines. Compound 12 showed four-fold inhibition to a standard drug, 5-fluoruracil, and comparable inhibition to tamoxifen, whereas compound 13 exerted five-fold activity of tamoxifen and 24-fold activity of 5-fluorouracil for MCF-7 cells. Compounds 12 and 13 inhibited thymidylate synthase enzyme, with an half maximal inhibitory concentration, IC50 of 2.52 µM and 4.38 µM, while a standard drug, pemetrexed, showed IC50 = 6.75 µM. The molecular docking data of compounds 12 and 13 were found to be in support of biological activities data. In conclusion, hybrids (12 and 13) may inhibit thymidylate synthase enzyme, which could play a significant role as a chemotherapeutic agent.",1,-1,0,"The study mentions Human colorectal Carcinoma (HCT-116) cell lines, which are relevant to colorectal cancer.","The study does not examine the use, effect, or sensitivity of Tamoxifen as a main treatment; it only compares the activity of compounds 12 and 13 to Tamoxifen.","The study does not describe the effect of Tamoxifen treatment itself, only compares the efficacy of other compounds to Tamoxifen."
34384882,Annals of oncology : official journal of the European Society for Medical Oncology,2021,Oct,,Continuous versus intermittent extended adjuvant letrozole for breast cancer: final results of randomized phase III SOLE (Study of Letrozole Extension) and SOLE Estrogen Substudy.,"Clinical Trial, Phase III, Journal Article, Randomized Controlled Trial, Research Support, Non-U.S. Gov't","G Jerusalem, S Farah, A Courtois, J Chirgwin, S Aebi, P Karlsson, P Neven, E Hitre, M P Graas, E Simoncini, E Abdi, C Kamby, A Thompson, S Loibl, J Gavilá, K Kuroi, C Marth, B Müller, S O'Reilly, A Gombos, T Ruhstaller, H J Burstein, M Rabaglio, B Ruepp, K Ribi, G Viale, R D Gelber, A S Coates, S Loi, A Goldhirsch, M M Regan, M Colleoni,  ","Late recurrences in postmenopausal women with hormone receptor-positive breast cancers remain an important challenge. Avoidance or delayed development of resistance represents the main objective in extended endocrine therapy (ET). In animal models, resistance was reversed with restoration of circulating estrogen levels during interruption of letrozole treatment. This phase III, randomized, open-label Study of Letrozole Extension (SOLE) studied the effect of extended intermittent letrozole treatment in comparison with continuous letrozole. In parallel, the SOLE estrogen substudy (SOLE-EST) analyzed the levels of estrogen during the interruption of treatment.
SOLE enrolled 4884 postmenopausal women with hormone receptor-positive, lymph node-positive, operable breast cancer between December 2007 and October 2012 and among them, 104 patients were enrolled in SOLE-EST. They must have undergone local treatment and have completed 4-6 years of adjuvant ET. Patients were randomized between continuous letrozole (2.5 mg/day orally for 5 years) and intermittent letrozole treatment (2.5 mg/day for 9 months followed by a 3-month interruption in years 1-4 and then 2.5 mg/day during all of year 5).
Intention-to-treat population included 4851 women in SOLE (n = 2425 in the intermittent and n = 2426 in the continuous letrozole groups) and 103 women in SOLE-EST (n = 78 in the intermittent and n = 25 in the continuous letrozole groups). After a median follow-up of 84 months, 7-year disease-free survival (DFS) was 81.4% in the intermittent group and 81.5% in the continuous group (hazard ratio: 1.03, 95% confidence interval: 0.91-1.17). Reported adverse events were similar in both groups. Circulating estrogen recovery was demonstrated within 6 weeks after the stop of letrozole treatment.
Extended adjuvant ET by intermittent administration of letrozole did not improve DFS compared with continuous use, despite the recovery of circulating estrogen levels. The similar DFS coupled with previously reported quality-of-life advantages suggest intermittent extended treatment is a valid option for patients who require or prefer a treatment interruption.",-1,-1,-1,"The study focuses on patients with breast cancer, not colorectal cancer.","The study examines the use of letrozole, not tamoxifen.",The study does not describe the effect of tamoxifen treatment.
30774273,World journal of gastroenterology,2019,Feb,07,,Journal Article,"Chang Xu, Kun Wang, Yu-Han Ding, Wen-Jing Li, Lei Ding","Claudin-7, one of the important components of cellular tight junctions, is currently considered to be expressed abnormally in colorectal inflammation and colorectal cancer. However, there is currently no effective animal model to study its specific mechanism. Therefore, we constructed three lines of Claudin-7 knockout mice using the Cre/LoxP system.
To determine the function of the tumor suppressor gene Claudin-7 by generating three lines of Claudin-7 gene knockout mice.
We crossed Claudin-7-floxed mice with CMV-Cre, vil1-Cre, and villin-CreERT2 transgenic mice, and the offspring were self-crossed to obtain conventional Claudin-7 knockout mice, conditional (intestinal specific) Claudin-7 knockout mice, and inducible conditional Claudin-7 knockout mice. Intraperitoneal injection of tamoxifen into the inducible conditional Claudin-7 knockout mice can induce the knockout of Claudin-7. PCR and agarose gel electrophoresis were used to identify mouse genotypes, and Western blot was used to confirm the knockout of Claudin-7. The mental state, body length, and survival time of these mice were observed. The dying mice were sacrificed, and hematoxylin-eosin (HE) staining and immunohistochemical staining were performed to observe changes in intestinal structure and proliferation markers.
We generated Claudin-7-floxed mice and three lines of Claudin-7 gene knockout mice using the Cre/LoxP system successfully. Conventional and intestinal specific Claudin-7 knockout mice were stunted and died during the perinatal period, and intestinal HE staining in these mice revealed mucosal gland structure disappearance and connective tissue hyperplasia with extensive inflammatory cell infiltration. The inducible conditional Claudin-7 knockout mice had a normal phenotype at birth, but after the induction with tamoxifen, they exhibited a dying state. Intestinal HE staining showed significant inflammatory cell infiltration, and atypical hyperplasia and adenoma were also observed. Intestinal immunohistochemistry analysis showed abnormal expression and distribution of Ki67, and the normal intestinal proliferation balance was disrupted. The intestinal crypt size in inducible conditional Claudin-7 knockout mice was increased compared with control mice (small intestine: 54.1 ± 2.96 vs 38.4 ± 1.63; large intestine: 44.7 ± 1.93 vs 27.4 ± 0.60; P < 0.001).
The knockout of Claudin-7 in vivo causes extensive inflammation, atypical hyperplasia, and adenoma in intestinal tissue as well as animal death in mice. Claudin-7 may act as a tumor suppressor gene in the development of colorectal cancer.",1,1,1,"The study involves mice models with colorectal inflammation and colorectal cancer, as it describes the effects of Claudin-7 knockout on intestinal tissue, including atypical hyperplasia and adenoma, which are associated with colorectal cancer.","Tamoxifen is used in the study to induce Claudin-7 knockout in inducible conditional knockout mice, indicating its use as a treatment or intervention method.","The study describes the effect of tamoxifen treatment by showing that after induction, the mice exhibited a dying state, along with intestinal inflammation, atypical hyperplasia, and disrupted proliferation balance, indicating the effect of tamoxifen in inducing Claudin-7 knockout and subsequent pathological changes."
26496833,BMC cancer,2015,Oct,24,Inhibition of autophagy exerts anti-colon cancer effects via apoptosis induced by p53 activation and ER stress.,"Journal Article, Research Support, Non-U.S. Gov't","Kosuke Sakitani, Yoshihiro Hirata, Yohko Hikiba, Yoku Hayakawa, Sozaburo Ihara, Hirobumi Suzuki, Nobumi Suzuki, Takako Serizawa, Hiroto Kinoshita, Kei Sakamoto, Hayato Nakagawa, Keisuke Tateishi, Shin Maeda, Tsuneo Ikenoue, Shoji Kawazu, Kazuhiko Koike","Although some molecularly targeted drugs for colorectal cancer are used clinically and contribute to a better prognosis, the current median survival of advanced colorectal cancer patients is not sufficient. Autophagy, a basic cell survival mechanism mediated by recycling of cellular amino acids, plays an important role in cancer. Recently, autophagy has been highlighted as a promising new molecular target. The unfolded protein response (UPR) reportedly act in complementary fashion with autophagy in intestinal homeostasis. However, the roles of UPR in colon cancer under autophagic inhibition remain to be elucidated. We aim to clarify the inhibitory effect of autophagy on colon cancer.
We crossed K19 (CreERT) and Atg5 (flox/flox) mice to generate Atg5 (flox/flox)/K19 (CreERT) mice. Atg5 (flox/flox)/K19 (CreERT) mice were first treated with azoxymethane/dextran sodium sulfate and then injected with tamoxifen to inhibit autophagy in CK19-positive epithelial cells. To examine the anti-cancer mechanisms of autophagic inhibition, we used colon cancer cell lines harboring different p53 gene statuses, as well as small interfering RNAs (siRNAs) targeting Atg5 and immunoglobulin heavy-chain binding protein (BiP), a chaperone to aid folding of unfolded proteins.
Colon tumors in Atg5 (flox/flox)/K19 (CreERT) mice showed loss of autophagic activity and decreased tumor size (the total tumor diameter was 28.1 mm in the control and 20.7 mm in Atg5 (flox/flox)/K19 (CreERT) mice, p = 0.036). We found that p53 and UPR/endoplasmic reticulum (ER) stress-related proteins, such as cleaved caspase 3, and CAAT/enhancer-binding protein homologous protein, are up-regulated in colon tumors of Atg5 (flox/flox)/K19 (CreERT) mice. Although Atg5 and BiP silencing, respectively, increased apoptosis in p53 wild type cells, Atg5 silencing alone did not show the same effect on apoptosis in p53 mutant cells. However, co-transfection of Atg5 and BiP siRNAs led to increased apoptosis in p53 mutant cells.
Blocking autophagy has potential in the treatment of colon cancer by inducing apoptosis via p53 and ER stress, and suppressing the UPR pathway is a valid strategy to overcome resistance to autophagic inhibition.",1,1,1,The study focuses on colon cancer in mice and uses colon cancer cell lines.,Tamoxifen is used to inhibit autophagy in the study.,"The study describes the effect of tamoxifen treatment in inducing autophagy inhibition, which leads to apoptosis via p53 and ER stress."
30177776,Nature cell biology,2018,Oct,,Stem cell functionality is microenvironmentally defined during tumour expansion and therapy response in colon cancer.,"Journal Article, Research Support, Non-U.S. Gov't","Kristiaan J Lenos, Daniël M Miedema, Sophie C Lodestijn, Lisanne E Nijman, Tom van den Bosch, Xavier Romero Ros, Filipe C Lourenço, Maria C Lecca, Maartje van der Heijden, Sanne M van Neerven, Anita van Oort, Nicolas Leveille, Ronja S Adam, Felipe de Sousa E Melo, Joy Otten, Patrick Veerman, Guillaume Hypolite, Lianne Koens, Scott K Lyons, Giorgio Stassi, Douglas J Winton, Jan Paul Medema, Edward Morrissey, Maarten F Bijlsma, Louis Vermeulen","Solid malignancies have been speculated to depend on cancer stem cells (CSCs) for expansion and relapse after therapy. Here we report on quantitative analyses of lineage tracing data from primary colon cancer xenograft tissue to assess CSC functionality in a human solid malignancy. The temporally obtained clone size distribution data support a model in which stem cell function in established cancers is not intrinsically, but is entirely spatiotemporally orchestrated. Functional stem cells that drive tumour expansion predominantly reside at the tumour edge, close to cancer-associated fibroblasts. Hence, stem cell properties change in time depending on the cell location. Furthermore, although chemotherapy enriches for cells with a CSC phenotype, in this context functional stem cell properties are also fully defined by the microenvironment. To conclude, we identified osteopontin as a key cancer-associated fibroblast-produced factor that drives in situ clonogenicity in colon cancer.",1,-1,-1,"The study focuses on colon cancer, which is a type of colorectal cancer.","The study does not examine the use, effect, or sensitivity of Tamoxifen.",The study does not describe the effect of Tamoxifen treatment.
40384613,"Journal of immunotherapy (Hagerstown, Md. : 1997)",2025,Sep,01,Investigating Overlapping Immune-related Genetic Markers in Cholangiocarcinoma and Inflammatory Bowel Disease for Predictive Prognosis.,Journal Article,"Shuang Zheng, Caizheng Wang, Junhui Fu, Jinfan Shao","This study aims to explore the common immune-related gene characteristics of cholangiocarcinoma (CHOL) and inflammatory bowel disease (IBD) to predict disease prognosis. By analyzing the gene expression data from the TCGA, GEO, and NGDC databases, differentially expressed immune-related genes (DE-IRGs) were screened, and a prognostic model was constructed. The results showed that CCR7, OSM, S100P, ACVR1C, OSMR, SPP1, and PIK3R3 were key immune-related genes, and their expressions were closely related to the occurrence and development of CHOL and IBD. Patients in the low immune risk score (IRS) group had more abundant antitumor immune cell infiltration, while those in the high IRS group had more macrophage infiltration. In addition, the model based on these genes had good predictive ability for the diagnosis and prognosis of CHOL and IBD, with an area under the ROC curve (AUC) value exceeding 0.7. This study also predicted potential small molecule drugs that might be effective for the treatment of CHOL, such as Umbralisib and Tamoxifen. In conclusion, this study provides new biomarkers and potential targets for diagnosis, prognosis assessment, and treatment of CHOL and IBD.",-1,1,0,"The study focuses on cholangiocarcinoma (CHOL) and inflammatory bowel disease (IBD), not colorectal cancer.",The study mentions Tamoxifen as a potential small molecule drug for the treatment of CHOL.,The study does not specifically describe the effect of Tamoxifen treatment on patients or models.
