result_0,idxs_0,citations_0,class_0,result_1,idxs_1,citations_1,class_1,result_2,idxs_2,citations_2,class_2,id,enhanced,top_reason,top_order,enh_html_len,e_0,e_1,e_2,e_3,e_4,enh_html_len_cs
Crizotinib delayed the progression of liver metastases and peritoneal carcinomatosis in colorectal cancer models.,"[1, 7, 8]","['entrectinib for 14Â\xa0days, due to a limited supply of drugs. Treatment with crizotinib for 14Â\xa0days discernibly delayed the development of liver metastases (Fig.Â\xa06B). Moreover, treatment with entrectinib for 14Â\xa0days inhibited liver metastases more', 'that of peritoneal carcinomatosis. Interestingly, in in vivo  KM12SM cell models, treatment with crizotinib delayed the progression of liver metastases, but not that of brain tumors. Conversely, treatment with entrectinib discernibly delayed the', 'Thus, all mice treated with entrectinib survived until day 41. On the other hand, in the liver metastasis model, we treated mice with crizotinib or entrectinib for 14Â\xa0days, due to a limited supply of drugs. Treatment with crizotinib for 14Â\xa0days']","{""fieldresult"":[{""name"":""Crizotinib effectiveness"",""value"":""Crizotinib delayed the progression of liver metastases and peritoneal carcinomatosis in colorectal cancer models."",""source_id"":[1,7,8]}]}",in vivo,"[0, 1, 3]","['In summary, we have established an in vivo imaging system for brain tumor models of EGFRâ\x80\x90mutant lung cancers, HGFâ\x80\x90dependent gastric cancers, and NTRK1â\x80\x90fusionâ\x80\x90positive colon cancers. The findings of this study suggest that a careful screen of the', 'In this study, we have established in vivo imaging models for brain tumors that mimic brain metastases for EGFRâ\x80\x90mutant lung cancer, HGFâ\x80\x90dependent gastric cancer, and NTRK1â\x80\x90fusionâ\x80\x90positive colon cancer. Moreover, we examined the efficacy of', 'efficacies in brain tumor models containing different drivers. Therefore, our in vivo imaging model for brain tumors may prove useful for preclinical drug screening against brain metastases.']","{""fieldresult"":[{""name"":""Type of study"",""value"":""in vivo"",""source_id"":[0,1,3]}]}",NP,[],[],"{""fieldresult"":[{""name"":""Num participants"",""value"":""NP"",""source_id"":[]}]}",29125233,"{""enhanced_ver"":""Crizotinib delayed the progression of liver metastases and peritoneal carcinomatosis in colorectal cancer models (in vivo)."",""evaluations"":[""NO"",""YES"",""YES"",""YES"",""3""],""rationale"":[""The sentence does not comment on how the effectiveness was not described; it directly reports the observed effect."",""The sentence is specifically about the effectiveness of Crizotinib on colorectal cancer, not another condition."",""The sentence is specific enough for experts, mentioning the study type and the observed effect in a preclinical model."",""The sentence offers actionable insights for practicing oncologists by highlighting the preclinical efficacy of Crizotinib in delaying metastases in colorectal cancer models."",""The study type is in vivo, which corresponds to priority level 3.""]}","{""id"":10,""decision"":""YES"",""reasoning"":""Result 10 provides in vivo evidence of crizotinib's efficacy in delaying progression in CRC models, which is useful for preclinical understanding.""}",5,146,-1,1,1,1,3,1672
Crizotinib restored cetuximab sensitivity in SC.,"[0, 1]","['Addition of the dual MET/RON tyrosine kinase inhibitor, crizotinib, restored cetuximab sensitivity in SC. To further characterize these two lines, we performed comprehensive genomic and transcriptomic analysis of CC and SC in 3D. One of the most', 'strongly inhibited growth of CC, whereas SC was resistant to growth inhibition, and this was coupled to increased tyrosine phosphorylation of MET and RON. Addition of the dual MET/RON tyrosine kinase inhibitor, crizotinib, restored cetuximab sensitivity']","{""fieldresult"":[{""name"":""Crizotinib effectiveness"",""value"":""Crizotinib restored cetuximab sensitivity in SC."",""source_id"":[0,1]}]}",in vitro,[1],['Three-dimensional culture system identifies a new mode of cetuximab resistance and disease-relevant genes in colorectal cancer.'],"{""fieldresult"":[{""name"":""Type of study"",""value"":""in vitro"",""source_id"":[1]}]}",NP,[],[],"{""fieldresult"":[{""name"":""Num participants"",""value"":""NP"",""source_id"":[]}]}",28320945,"{""enhanced_ver"":""Crizotinib restored cetuximab sensitivity in SC (in vitro)."",""evaluations"":[""NO"",""YES"",""YES"",""YES"",""3""],""rationale"":[""The sentence does not comment on how the effectiveness was not described; it directly states the observed outcome."",""The sentence is specifically about the effectiveness of Crizotinib on Colorectal cancer."",""The sentence is specific enough for experts, mentioning the study type and the observed effect."",""The sentence offers actionable insight for oncologists by highlighting a potential mechanism of overcoming resistance in preclinical models."",""The study type is in vitro, which corresponds to priority level 3.""]}",,999,82,-1,1,1,1,3,1754
Crizotinib achieved a partial response (PR) with progression-free survival (PFS) of 3 months in an ALK-fusion mCRC patient.,"[0, 2, 8]","['In conclusion, we have reported on an elderly patient with ALK-fusion mCRC who was treated with crizotinib, alectinib, and lorlatinib and achieved PR with the PFS of 3, 0.5, and 11.5 months, respectively. The case provides a new potential treatment', 'with the PFS of 3, 0.5, and 11.5 months, respectively. The case provides a new potential treatment strategy for patients with CRC who did not respond to standard treatment with ALK rearrangement but still poses a few questions. Are there any other', 'In this report, we show the clinical efficacy of crizotinib, alectinib, and lorlatinib in an ALK-rearrangement mCRC with LM. This case had several uncommon features: the presence of ALK fusions that are rarely present in mCRC; the first report of a']","{""fieldresult"":[{""name"":""Crizotinib effectiveness"",""value"":""Crizotinib achieved a partial response (PR) with progression-free survival (PFS) of 3 months in an ALK-fusion mCRC patient."",""source_id"":[0,2,8]}]}",In vitro and clinical trial,"[0, 6, 9]","['Several studies have investigated the effects of ALK inhibitors on CRC in vitro. It was shown that crizotinib or entrectinib could inhibit the phosphorylation of ALK protein tumor cell line derived from EML4-ALK fusion CRC. It was noted that C10 cells,', 'In this report, we show the clinical efficacy of crizotinib, alectinib, and lorlatinib in an ALK-rearrangement mCRC with LM. This case had several uncommon features: the presence of ALK fusions that are rarely present in mCRC; the first report of a', 'In this case study, we describe the first instance of ALK rearrangement in CRC detected using NGS of CSF ctDNA, as well as a case of lasting objective tumor response to crizotinib, alectinib, and lorlatinib therapy.\nCASE REPORT']","{""fieldresult"":[{""name"":""Type of study"",""value"":""In vitro and clinical trial"",""source_id"":[0,6,9]}]}",1,[0],"['In conclusion, we have reported on an elderly patient with ALK-fusion mCRC who was treated with crizotinib, alectinib, and lorlatinib and achieved PR with the PFS of 3, 0.5, and 11.5 months, respectively. The case provides a new potential treatment']","{""fieldresult"":[{""name"":""Num participants"",""value"":""1"",""source_id"":[0]}]}",34036227,"{""enhanced_ver"":""Crizotinib achieved a partial response (PR) with progression-free survival (PFS) of 3 months in an ALK-fusion mCRC patient (case report; 1 patient)."",""evaluations"":[""NO"",""YES"",""YES"",""YES"",""2""],""rationale"":[""The sentence directly describes the observed effectiveness of crizotinib in mCRC and does not make a meta-comment about its lack of description."",""The sentence is specifically about the effectiveness of crizotinib on colorectal cancer, not another condition."",""The sentence is specific enough for experts, including the observed PFS and PR, along with study type and number of patients."",""The sentence provides actionable insight for oncologists regarding the use of crizotinib in ALK-fusion mCRC, even though it is a case report."",""The study type is a case report with 1 patient, which corresponds to priority level 2.""]}","{""id"":8,""decision"":""YES"",""reasoning"":""Result 8 provides a case report on a specific molecular subset (ALK-fusion mCRC), which is actionable for targeted therapy in rare cases.""}",4,171,-1,1,1,1,2,1330
Partial response in one colorectal cancer patient.,"[0, 1, 4]","['of unknown primary and one with leiomyosarcoma were included in this cohort and treated with crizotinib. At the time of analysis, the ORR was 50% with one complete response in the leiomyosarcoma patient and partial response in one colorectal cancer', 'one complete response in the leiomyosarcoma patient and partial response in one colorectal cancer patient, again showing that tumors harboring ALK fusions/rearrangement are responsive to ALK inhibitors.', 'Results of subgroup F (cases harboring ALK fusions) of the NCI match study were recently reported as well. Two patients with colorectal cancer, one with carcinoma of unknown primary and one with leiomyosarcoma were included in this cohort and treated with']","{""fieldresult"":[{""name"":""Crizotinib effectiveness"",""value"":""Partial response in one colorectal cancer patient."",""source_id"":[0,1,4]}]}",In vitro,[0],['In vitro studies utilizing NPM1-ALK and EML4-ALK-based model systems demonstrate that dysregulation of ALK activity via fusion leads to activation of four key downstream oncogenic signaling pathways: Janus kinase - signal transducers and activators of'],"{""fieldresult"":[{""name"":""Type of study"",""value"":""In vitro"",""source_id"":[0]}]}",One colorectal cancer patient was treated with crizotinib.,"[0, 7]","['of unknown primary and one with leiomyosarcoma were included in this cohort and treated with crizotinib. At the time of analysis, the ORR was 50% with one complete response in the leiomyosarcoma patient and partial response in one colorectal cancer', 'one complete response in the leiomyosarcoma patient and partial response in one colorectal cancer patient, again showing that tumors harboring ALK fusions/rearrangement are responsive to ALK inhibitors.']","{""fieldresult"":[{""name"":""Num participants"",""value"":""One colorectal cancer patient was treated with crizotinib."",""source_id"":[0,7]}]}",37773318,"{""enhanced_ver"":""Partial response in one colorectal cancer patient (in vitro; 1 patient)."",""evaluations"":[""NO"",""YES"",""YES"",""YES"",""3""],""rationale"":[""The sentence does not describe the effectiveness as being absent or poorly described; it reports a specific outcome."",""The sentence is specifically about the effectiveness of crizotinib on colorectal cancer."",""The sentence is specific enough for experts, mentioning the study type and number of patients."",""The sentence provides actionable insight for oncologists, showing that colorectal cancer with ALK fusions may respond to crizotinib, even though it is preclinical."",""The study type is in vitro, which is assigned a priority level of 3.""]}",,999,95,-1,1,1,1,3,1849
Crizotinib showed limited activity in unselected heavily pre-treated patients with advanced solid tumours.,[6],"['In summary, inhibition of the MEK1/2 and c-MET kinases using PD-0325901 and crizotinib, was well tolerated with a manageable toxicity profile, but with limited activity in unselected heavily pre-treated patients with advanced solid tumours. Further']","{""fieldresult"":[{""name"":""Crizotinib effectiveness"",""value"":""Crizotinib showed limited activity in unselected heavily pre-treated patients with advanced solid tumours."",""source_id"":[6]}]}",clinical trial,[5],"['To our knowledge, this is the first study evaluating the safety of a MEK1/2 inhibitor when combined with a c-MET inhibitor. This phase I dose-escalation study met its primary objective of establishing the MTD and assessing the safety and toxicity profile']","{""fieldresult"":[{""name"":""Type of study"",""value"":""clinical trial"",""source_id"":[5]}]}",NP,[],[],"{""fieldresult"":[{""name"":""Num participants"",""value"":""NP"",""source_id"":[]}]}",40140597,"{""enhanced_ver"":""Crizotinib showed limited activity in unselected heavily pre-treated patients with advanced solid tumours (clinical trial)."",""evaluations"":[""NO"",""YES"",""YES"",""NO"",""1""],""rationale"":[""The sentence does not comment on the lack of effectiveness description; it directly states the observed limited activity."",""The sentence is about the effectiveness of Crizotinib in advanced solid tumours, not specifically Colorectal cancer."",""The sentence is specific enough for experts, mentioning the study type and the observed outcome."",""The sentence does not provide actionable insights for practicing oncologists for Colorectal cancer."",""The study type is a clinical trial, which is assigned priority level 1.""]}",,999,146,-1,1,1,-1,1,1159
Crizotinib combined with MMC showed synergistic anti-cancer effects in CRC cell lines and xenograft models.,"[1, 3, 6]","['tumors (mitomycin C (MMC) or PARP inhibitors) and c-MET inhibitors (crizotinib). We tested CRC cell lines for sensitivity to MMC plus crizotinib or other drug combinations including PARP-inhibitors. Combined treatment of tumor cells with crizotinib and', 'with MMC appeared synergistic regardless of MSI or BRCA2 status. Using an in-vivo CRC xenograft model we found reduced tumor growth with combined crizotinib and MMC therapy (p = 0.0088). Our preclinical results support clinical testing of the combination', 'drug combinations including PARP-inhibitors. Combined treatment of tumor cells with crizotinib and MMC led to increased apoptosis as compared with each drug alone. Additionally, combination treatment with increasing concentrations of both drugs']","{""fieldresult"":[{""name"":""Crizotinib effectiveness"",""value"":""Crizotinib combined with MMC showed synergistic anti-cancer effects in CRC cell lines and xenograft models."",""source_id"":[1,3,6]}]}",in-vivo CRC xenograft model,"[0, 2]","['with MMC appeared synergistic regardless of MSI or BRCA2 status. Using an in-vivo CRC xenograft model we found reduced tumor growth with combined crizotinib and MMC therapy (p = 0.0088). Our preclinical results support clinical testing of the combination', 'BRCA2 deficiency and c-MET overexpression, c-MET is frequently overexpressed in CRC and BRCA2 is mutated especially in MSI-H CRC. The combination of crizotinib with MMC appeared synergistic regardless of MSI or BRCA2 status. Using an in-vivo CRC xenograft']","{""fieldresult"":[{""name"":""Type of study"",""value"":""in-vivo CRC xenograft model"",""source_id"":[0,2]}]}",NP,[],[],"{""fieldresult"":[{""name"":""Num participants"",""value"":""NP"",""source_id"":[]}]}",28886275,"{""enhanced_ver"":""Crizotinib combined with MMC showed synergistic anti-cancer effects in CRC cell lines and xenograft models (in-vivo CRC xenograft model)."",""evaluations"":[""NO"",""YES"",""YES"",""YES"",""3""],""rationale"":[""The sentence does not comment on the lack of effectiveness description; it describes the observed synergistic effects."",""The sentence is specifically about the effectiveness of Crizotinib on Colorectal cancer."",""The sentence is specific enough for experts, mentioning the study type and the observed synergistic effects."",""The sentence offers actionable insights for practicing oncologists by highlighting a preclinical combination with potential clinical relevance."",""The study type is in-vivo, which corresponds to priority level 3.""]}","{""id"":13,""decision"":""YES"",""reasoning"":""Result 13 provides in vivo evidence of synergistic effects with MMC, which is actionable for combination therapy strategies.""}",6,160,-1,1,1,1,3,2009
"Crizotinib, when combined with EpAb2-6, significantly inhibits tumor progression and prolongs survival in colon cancer animal models.","[2, 3, 4]","['treatment of an anti-EpCAM neutralizing antibody (EpAb2-6) and an HGFR inhibitor (crizotinib) significantly inhibits tumor progression and prolongs survival in metastatic and orthotopic animal models of colon cancer.', 'Our results from the metastatic and orthotopic colon cancer animal model also indicated that tumor growth was significantly inhibited after combined treatment of EpAb2-6 and crizotinib (Fig.Â\xa07Câ\x80\x93I; Additional file 1: Fig. S9).', 'EpAb2-6 improves the efficacy of crizotinib therapy in a colon cancer animal model']","{""fieldresult"":[{""name"":""Crizotinib effectiveness"",""value"":""Crizotinib, when combined with EpAb2-6, significantly inhibits tumor progression and prolongs survival in colon cancer animal models."",""source_id"":[2,3,4]}]}",in vivo,"[1, 2, 9]","['Fig.Â\xa07E, tumor growth was assessed by in vivo monitoring of HCT116-Luc and HT29-Luc cells, which stably express firefly luciferase. Before initiation of the therapeutic treatment (3Â\xa0days after tumor cell implantation), tumor growth could be observed in', 'in the colon cancer cell HCT116 metastasis model. As illustrated in Fig.Â\xa07C, NOD/SCID mice were injected intravenously with HCT116 cells and then co-treated with crizotinib and EpAb2-6, or an equivalent volume of control IgG, at 3Â\xa0days after cell', 'of EpAb2-6 and crizotinib were significantly increased compared to the control IgG groups. In summary, the results of our experiments on metastatic and orthotopic animal models showed that all animals in the control IgG and crizotinib groups developed']","{""fieldresult"":[{""name"":""Type of study"",""value"":""in vivo"",""source_id"":[1,2,9]}]}",NP,[],[],"{""fieldresult"":[{""name"":""Num participants"",""value"":""NP"",""source_id"":[]}]}",37543570,"{""enhanced_ver"":""Crizotinib, when combined with EpAb2-6, significantly inhibits tumor progression and prolongs survival in colon cancer animal models (in vivo)."",""evaluations"":[""NO"",""YES"",""YES"",""YES"",""3""],""rationale"":[""The sentence does not comment on how the effectiveness was not described in the text; it directly describes the observed effectiveness."",""The sentence is specifically about the effectiveness of Crizotinib on Colorectal cancer, not another condition."",""The sentence is specific enough for experts, mentioning the combination therapy and the preclinical model used."",""The sentence offers actionable insights for practicing oncologists by highlighting a potential preclinical strategy for improving Crizotinib efficacy in colon cancer."",""The study type is in vivo, which corresponds to priority level 3.""]}",,999,166,-1,1,1,1,3,2175
(S)-crizotinib effectively suppressed tumour growth in animal models and showed strong antiproliferative effects on human cancer cell lines.,"[0, 1, 6]","['(S)-crizotinib induced an increase in DNA single strand breaks, activated DNA repair in human colon carcinoma cells, and effectively suppressed tumour growth in animal models. Our results propose (S)-crizotinib as an attractive chemical entity for further', 'vivo potential of (S)-crizotinib to impair tumour growth we performed mouse xenograft studies using SW480 cells. These experiments indicated that (S)-crizotinib, but not the (R)-enantiomer, was able to impair overall tumour progression as well as', 'lines, we consistently observed a strong antiproliferative effect for (S)-crizotinib, in line with its lower catalytic assay IC50 value. To explore the in vivo potential of (S)-crizotinib to impair tumour growth we performed mouse xenograft studies using']","{""fieldresult"":[{""name"":""Crizotinib effectiveness"",""value"":""(S)-crizotinib effectively suppressed tumour growth in animal models and showed strong antiproliferative effects on human cancer cell lines."",""source_id"":[0,1,6]}]}",in vivo,[2],"['vivo potential of (S)-crizotinib to impair tumour growth we performed mouse xenograft studies using SW480 cells. These experiments indicated that (S)-crizotinib, but not the (R)-enantiomer, was able to impair overall tumour progression as well as']","{""fieldresult"":[{""name"":""Type of study"",""value"":""in vivo"",""source_id"":[2]}]}",NP,[],[],"{""fieldresult"":[{""name"":""Num participants"",""value"":""NP"",""source_id"":[]}]}",24695225,"{""enhanced_ver"":""(S)-crizotinib effectively suppressed tumour growth in animal models and showed strong antiproliferative effects on human cancer cell lines (in vivo)."",""evaluations"":[""NO"",""YES"",""YES"",""YES"",""3""],""rationale"":[""The sentence does not comment on the lack of effectiveness description; it describes the observed effectiveness."",""The sentence is about the effectiveness of (S)-crizotinib on cancer cell lines, which may include colorectal cancer but is not explicitly limited to it."",""The sentence is specific enough for experts, mentioning the in vivo study type and the observed effects."",""The sentence offers preclinical insights into the potential of (S)-crizotinib for tumour suppression, which may be actionable for oncologists."",""The study type is in vivo, which corresponds to priority level 3.""]}",,999,173,-1,1,1,1,3,2348
Crizotinib was more sensitive to low-risk group.,[1],"['immune infiltration (P P ARHGEF17 mutation rate was 6%. Medications such as CGP-082996, Dasatinib, Erlotinib, and Salubrinal were more sensitive to high-risk group, whereas drugs such as FTI-277, DMOG, and Crizotinib were more sensitive to low-risk group.']","{""fieldresult"":[{""name"":""Crizotinib effectiveness"",""value"":""Crizotinib was more sensitive to low-risk group."",""source_id"":[1]}]}",clinical trial,[2],['Radiotherapy-Related Autophagy Genes Predict Prognosis and Reveal Immunoscape Features and Immunotherapeutic Agents in Colorectal Cancer Patients.'],"{""fieldresult"":[{""name"":""Type of study"",""value"":""clinical trial"",""source_id"":[2]}]}",NP,[],[],"{""fieldresult"":[{""name"":""Num participants"",""value"":""NP"",""source_id"":[]}]}",41213063,"{""enhanced_ver"":""Crizotinib was more sensitive to low-risk group (clinical trial)."",""evaluations"":[""NO"",""YES"",""YES"",""YES"",""1""],""rationale"":[""The sentence does not comment on how the effectiveness was not described; it directly states the observed sensitivity of Crizotinib to the low-risk group."",""The sentence is specifically about the effectiveness of Crizotinib on Colorectal cancer, not another condition."",""The sentence is specific enough for experts, mentioning the study type and the observed sensitivity to a risk group."",""The sentence offers actionable insight for oncologists by indicating that Crizotinib may be more effective in low-risk Colorectal cancer patients."",""The study type is a clinical trial, which is assigned the highest priority level (1).""]}",,999,88,-1,1,1,1,1,88
(S)-crizotinib showed a higher capacity in reducing cell viability compared to TH588 in CRC organoids and spheroids.,"[2, 9]","['(S)-crizotinib showed a higher capacity in reducing cell viability compared to TH588 in CRC organoids grown in Matrigel (Fig.Â\xa01b) and CRC spheroids that are grown in suspension (Fig.Â\xa01c).', 'We next exposed p25T and p26T CRC organoid lines and the CRC cancer spheroid line to TH588 or (S)-crizotinib for 3 days and subsequently measured cell viability. (S)-crizotinib showed a higher capacity in reducing cell viability compared to TH588 in CRC']","{""fieldresult"":[{""name"":""Crizotinib effectiveness"",""value"":""(S)-crizotinib showed a higher capacity in reducing cell viability compared to TH588 in CRC organoids and spheroids."",""source_id"":[2,9]}]}","In vitro and in vivo studies using CRC spheroids, organoids, and zebrafish embryos","[2, 3, 6]","['to MTH1 inhibition. Clearly, these results are not in line with the results we obtained in 3D CRC cultures. This may be due to the completely different model systems used, both with respect to the tissues studied (zebrafish embryos versus CRC spheroids)', 'systems used, both with respect to the tissues studied (zebrafish embryos versus CRC spheroids) and the method used to induce hypoxia signalling (VHL deletion and chemical HIF activation versus real hypoxia-reoxygenation). Rather than promoting oxidative', 'of ROS levels. Our results obtained in 3D model systems are in line with previous work in other model systems and other cancer types showing MTH1-independent anti-tumour effects of TH588 and (S)-crizotinib.']","{""fieldresult"":[{""name"":""Type of study"",""value"":""In vitro and in vivo studies using CRC spheroids, organoids, and zebrafish embryos"",""source_id"":[2,3,6]}]}",NP,[],[],"{""fieldresult"":[{""name"":""Num participants"",""value"":""NP"",""source_id"":[]}]}",30692572,"{""enhanced_ver"":""(S)-crizotinib showed a higher capacity in reducing cell viability compared to TH588 in CRC organoids and spheroids (in vitro)."",""evaluations"":[""NO"",""YES"",""YES"",""YES"",""3""],""rationale"":[""The sentence does not comment on how the effectiveness was not described; it directly describes the observed effectiveness."",""The sentence is specifically about the effectiveness of (S)-crizotinib on Colorectal cancer."",""The sentence is specific enough for experts, mentioning the study type and the observed effect in 3D CRC models."",""The sentence provides actionable insights for oncologists regarding the potential of (S)-crizotinib in preclinical models of CRC."",""The study type is in vitro, which corresponds to priority level 3.""]}",,999,150,-1,1,1,1,3,2498
