result_0,idxs_0,citations_0,class_0,result_1,idxs_1,citations_1,class_1,result_2,idxs_2,citations_2,class_2,id,enhanced,top_reason,top_order,enh_html_len,e_0,e_1,e_2,e_3,e_4,enh_html_len_cs
Ramucirumab prolongs overall survival and progression-free survival compared with FOLFIRI alone in patients with metastatic colorectal cancer.,[3],"['PURPOSE: The addition of aflibercept (AFL) or ramucirumab (RAM) to folinic acid, fluorouracil, and irinotecan (FOLFIRI) prolongs overall survival and progression-free survival compared with FOLFIRI alone in patients with metastatic colorectal cancer']","{""fieldresult"":[{""name"":""Ramucirumab effectiveness"",""value"":""Ramucirumab prolongs overall survival and progression-free survival compared with FOLFIRI alone in patients with metastatic colorectal cancer."",""source_id"":[3]}]}",Clinical trial,"[4, 6, 9]","['PURPOSE: The addition of aflibercept (AFL) or ramucirumab (RAM) to folinic acid, fluorouracil, and irinotecan (FOLFIRI) prolongs overall survival and progression-free survival compared with FOLFIRI alone in patients with metastatic colorectal cancer', 'Based Regimen) and RAISE (Ramucirumab Versus Placebo in Combination With Second-Line FOLFIRI in Patients With Metastatic Colorectal Carcinoma That Progressed During or After First-Line Therapy With Bevacizumab, Oxaliplatin, and a Fluoropyrimidine) trials,', 'During or After First-Line Therapy With Bevacizumab, Oxaliplatin, and a Fluoropyrimidine) trials, which compared FOLFIRI alone with AFL or RAM in second-line treatment for mCRC. The cost and effectiveness of the combination of AFL or RAM with FOLFIRI were']","{""fieldresult"":[{""name"":""Type of study"",""value"":""Clinical trial"",""source_id"":[4,6,9]}]}",NP,[],[],"{""fieldresult"":[{""name"":""Num participants"",""value"":""NP"",""source_id"":[]}]}",32616433,"{""enhanced_ver"":""Ramucirumab prolongs overall survival and progression-free survival compared with FOLFIRI alone in patients with metastatic colorectal cancer (clinical trial)."",""evaluations"":[""NO"",""YES"",""YES"",""YES"",""1""],""rationale"":[""The sentence does not comment on how the effectiveness was not described; it directly states the observed effectiveness."",""The sentence is specifically about the effectiveness of Ramucirumab on colorectal cancer, not another condition."",""The sentence is specific enough for experts, mentioning the observed outcomes and study type."",""The sentence provides actionable insights for oncologists regarding treatment options for metastatic colorectal cancer."",""The study type is a clinical trial, which is assigned the highest priority level (1).""]}","{""id"":0,""decision"":""YES"",""reasoning"":""Result 0 provides a clear clinical trial result showing that ramucirumab improves both overall survival and progression-free survival in metastatic colorectal cancer, which is a strong and actionable insight.""}",0,182,-1,1,1,1,1,182
Lung metastasis disappeared and liver metastases reduced in size after treatment with FOLFIRI+ramucirumab.,[1],"['with chemotherapy. Two courses of mFOLFOX6+panitumumab and 8 courses of mFOLFOX6+bevacizumab were administered as a first-line. As a second-line, 1 course of FOLFIRI+ramucirumab was given. Six months later, CT showed that lung metastasis had disappeared']","{""fieldresult"":[{""name"":""Ramucirumab effectiveness"",""value"":""Lung metastasis disappeared and liver metastases reduced in size after treatment with FOLFIRI+ramucirumab."",""source_id"":[1]}]}",clinical trial,[7],"['The case was 50-year-old woman, who was diagnosed with advanced rectosigmoid cancer with multiple liver metastases and solitary lung metastasis. She was started with chemotherapy. Two courses of mFOLFOX6+panitumumab and 8 courses of mFOLFOX6+bevacizumab']","{""fieldresult"":[{""name"":""Type of study"",""value"":""clinical trial"",""source_id"":[7]}]}",1,[0],"['with chemotherapy. Two courses of mFOLFOX6+panitumumab and 8 courses of mFOLFOX6+bevacizumab were administered as a first-line. As a second-line, 1 course of FOLFIRI+ramucirumab was given. Six months later, CT showed that lung metastasis had disappeared']","{""fieldresult"":[{""name"":""Num participants"",""value"":""1"",""source_id"":[0]}]}",40189763,"{""enhanced_ver"":""Lung metastasis disappeared and liver metastases reduced in size after treatment with FOLFIRI+ramucirumab (clinical trial; 1 patient)."",""evaluations"":[""NO"",""YES"",""YES"",""YES"",""2""],""rationale"":[""The sentence does not comment on how the effectiveness was not described; it directly reports the observed outcome."",""The sentence is specifically about the effectiveness of Ramucirumab on Colorectal cancer."",""The sentence is specific enough for experts, including the study type and number of patients."",""The sentence provides actionable insight for oncologists, showing a response to treatment in a patient with Colorectal cancer."",""The study type is a clinical trial with 1 patient, which corresponds to priority level 2.""]}",,999,157,-1,1,1,1,2,7746
Combination therapy with FTD/TPI and ramucirumab is a promising treatment alternative for colorectal cancer.,[3],['results indicate that combination therapy with FTD/TPI and ramucirumab is a promising treatment alternative.'],"{""fieldresult"":[{""name"":""Ramucirumab effectiveness"",""value"":""Combination therapy with FTD/TPI and ramucirumab is a promising treatment alternative for colorectal cancer."",""source_id"":[3]}]}",in vivo,[6],['2.4. Antitumor Activity In Vivo'],"{""fieldresult"":[{""name"":""Type of study"",""value"":""in vivo"",""source_id"":[6]}]}",NP,[],[],"{""fieldresult"":[{""name"":""Num participants"",""value"":""NP"",""source_id"":[]}]}",33333866,"{""enhanced_ver"":""Combination therapy with FTD/TPI and ramucirumab is a promising treatment alternative for colorectal cancer (in vivo)."",""evaluations"":[""NO"",""YES"",""YES"",""YES"",""3""],""rationale"":[""The sentence does not comment on the lack of effectiveness description; it states a positive outcome."",""The sentence is specifically about the effectiveness of ramucirumab on colorectal cancer."",""The sentence is specific enough for experts, mentioning the study type."",""The sentence offers actionable insight for oncologists, even though it is preclinical."",""The study type is in vivo, which corresponds to priority level 3.""]}",,999,141,-1,1,1,1,3,10077
Ramucirumab has shown an obvious advantage in both OS and PFS of metastatic CRC patients when combined with conventional medicines.,[4],"['studies showed an obvious advantage for ramucirumab combined with conventional medicines in both OS and PFS of metastatic CRC patients. Despite the intensive clinical studies, its clinical efficacy was still not systematically evaluated. We are prepared']","{""fieldresult"":[{""name"":""Ramucirumab effectiveness"",""value"":""Ramucirumab has shown an obvious advantage in both OS and PFS of metastatic CRC patients when combined with conventional medicines."",""source_id"":[4]}]}",clinical trial,[1],"['Due to the improvement of overall survival (OS) and progression free survival (PFS) reported by the phase II/III clinical trial, ramucirumab treatment has been widely explored in the treatment of solid tumors, and approved by the US Food and Drug']","{""fieldresult"":[{""name"":""Type of study"",""value"":""clinical trial"",""source_id"":[1]}]}",NP,[],[],"{""fieldresult"":[{""name"":""Num participants"",""value"":""NP"",""source_id"":[]}]}",32541497,"{""enhanced_ver"":""Ramucirumab has shown an obvious advantage in both OS and PFS of metastatic CRC patients when combined with conventional medicines (clinical trial)."",""evaluations"":[""NO"",""YES"",""YES"",""YES"",""1""],""rationale"":[""The sentence does not comment on how the effectiveness was not described; it directly states the observed advantage."",""The sentence is specifically about the effectiveness of Ramucirumab on Colorectal cancer."",""The sentence is specific enough for experts, mentioning the study type and the observed outcomes."",""The sentence offers actionable insights for oncologists regarding the use of Ramucirumab in metastatic CRC."",""The study type is a clinical trial, which is assigned the highest priority level.""]}",,999,171,-1,1,1,1,1,353
Ramucirumab showed a hazard ratio of 0.9206 (95% CI 0.6504-1.303) for progression-free survival in metastatic colorectal cancer.,[1],"['(HR 0.9631, 95% CI 0.6785-1.367), ganitumab (HR 0.7228, 95% CI 0.3985-1.3109), panitumumab (HR 0.9653, 95% CI 0.6781-1.3742), and ramucirumab (HR 0.9206, 95% CI 0.6504-1.303). Regorafenib performed better than bevacizumab (OR 0.797, 95% CI 0.328-1.88) in']","{""fieldresult"":[{""name"":""Ramucirumab effectiveness"",""value"":""Ramucirumab showed a hazard ratio of 0.9206 (95% CI 0.6504-1.303) for progression-free survival in metastatic colorectal cancer."",""source_id"":[1]}]}",Clinical trial,[1],"['treatment arms was assessed using the Bayesian method (R software, gemtc package). RESULTS: We identified 12 articles involving eight RCTs studies analyzing 6805 patients. The studies compared bevacizumab (3), regorafenib (1), panitumumab (2), cetuximab']","{""fieldresult"":[{""name"":""Type of study"",""value"":""Clinical trial"",""source_id"":[1]}]}",6805 patients,"[0, 4]","['6805 patients. The studies compared bevacizumab (3), regorafenib (1), panitumumab (2), cetuximab (3), ramucirumab (1), conatumumab (1), ganitumab (1), and aflibercept (1) against chemotherapy alone as comparator. The progression-free survival (PFS)', 'treatment arms was assessed using the Bayesian method (R software, gemtc package). RESULTS: We identified 12 articles involving eight RCTs studies analyzing 6805 patients. The studies compared bevacizumab (3), regorafenib (1), panitumumab (2), cetuximab']","{""fieldresult"":[{""name"":""Num participants"",""value"":""6805 patients"",""source_id"":[0,4]}]}",32770529,"{""enhanced_ver"":""Ramucirumab showed a hazard ratio of 0.9206 (95% CI 0.6504-1.303) for progression-free survival in metastatic colorectal cancer (clinical trial; 6805 patients)."",""evaluations"":[""NO"",""YES"",""YES"",""YES"",""1""],""rationale"":[""The sentence does not comment on the lack of effectiveness; it reports the observed hazard ratio."",""The sentence specifically addresses the effectiveness of ramucirumab in metastatic colorectal cancer."",""The sentence is specific enough for experts, including the hazard ratio, confidence interval, study type, and number of patients."",""The sentence provides actionable insights for oncologists regarding the use of ramucirumab in metastatic colorectal cancer."",""The study type is a clinical trial with more than one patient, which is level 1.""]}","{""id"":2,""decision"":""YES"",""reasoning"":""Result 2 provides a detailed hazard ratio and confidence interval for progression-free survival in a large clinical trial (6805 patients), which is highly valuable for statistical analysis and decision-making.""}",1,183,-1,1,1,1,1,536
"Colorectal cancer showed an association with proteinuria induced by treatment with ramucirumab (OR=1.95, 95% CI 1.00-3.80, p<0.05).",[0],"['pâ\x80\x89=â\x80\x890.01), colorectal cancer (ORâ\x80\x89=â\x80\x891.95, 95% CI 1.00-3.80, pâ\x80\x89<â\x80\x890.05), and use of RAS inhibitors (ORâ\x80\x89=â\x80\x890.25 95% CI 0.07-0.92, pâ\x80\x89=â\x80\x890.04) were associated with proteinuria induced by treatment with bevacizumab and ramucirumab. A change in']","{""fieldresult"":[{""name"":""Ramucirumab effectiveness"",""value"":""Colorectal cancer showed an association with proteinuria induced by treatment with ramucirumab (OR=1.95, 95% CI 1.00-3.80, p<0.05)."",""source_id"":[0]}]}",retrospective observational analysis,"[1, 4, 7]","['unclear. This study assessed the risk factors for proteinuria induced by bevacizumab or ramucirumab and the relationship between renoprotective effect of RAS inhibitors and blood pressure control. METHODS: A retrospective observational analysis was', ""of RAS inhibitors and blood pressure control. METHODS: A retrospective observational analysis was conducted at Tokyo Women's Medical University, Medical Center East from June 2015 to May 2018. Multivariate logistic regression analysis was used to identify"", 'East from June 2015 to May 2018. Multivariate logistic regression analysis was used to identify risk factors for proteinuria induced by treatment with bevacizumab and ramucirumab. Renoprotective effect was assessed by analyzing blood pressure data in']","{""fieldresult"":[{""name"":""Type of study"",""value"":""retrospective observational analysis"",""source_id"":[1,4,7]}]}",50 patients with proteinuria induced by ramucirumab and bevacizumab,"[0, 2]","['bevacizumab and ramucirumab. Renoprotective effect was assessed by analyzing blood pressure data in association with the use of RAS inhibitors. RESULTS: Out of 208 patients included in this study, proteinuria was observed in 50 (24%) patients. Body mass', 'of 208 patients included in this study, proteinuria was observed in 50 (24%) patients. Body mass indexâ\x80\x89â\x89¥â\x80\x8924Â\xa0kg/m2 (ORâ\x80\x89=â\x80\x892.45, 95% CI 1.21-4.96, pâ\x80\x89=â\x80\x890.01), colorectal cancer (ORâ\x80\x89=â\x80\x891.95, 95% CI 1.00-3.80, pâ\x80\x89<â\x80\x890.05), and use of RAS']","{""fieldresult"":[{""name"":""Num participants"",""value"":""50 patients with proteinuria induced by ramucirumab and bevacizumab"",""source_id"":[0,2]}]}",31119376,"{""enhanced_ver"":""Colorectal cancer showed an association with proteinuria induced by treatment with ramucirumab (OR=1.95, 95% CI 1.00-3.80, p<0.05) (retrospective observational analysis; 50 patients)."",""evaluations"":[""NO"",""YES"",""YES"",""YES"",""2""],""rationale"":[""The sentence does not comment on the lack of effectiveness description; it describes an observed association."",""The sentence is about the effectiveness of ramucirumab on colorectal cancer in the context of proteinuria."",""The sentence is specific enough for experts, including statistical data and study type."",""The sentence provides actionable insights for oncologists regarding the association between ramucirumab and proteinuria in colorectal cancer patients."",""The study type is a retrospective observational analysis, which is classified as level 2.""]}",,999,206,-1,1,1,1,2,7952
"Not associated with improved OS and PFS, but severe diarrhea was associated with poorer OS and PFS.","[3, 7, 8]","['not associated with improved OS and PFS in patients with mCRC treated with ramucirumab and FOLFIRI, but severe diarrhea was associated with poorer OS and PFS. CLINICAL TRIAL REGISTRATION: No. NCT01183780.', 'HR 2.22 [95% CI 1.43-3.45]; Pâ\x80\x89=â\x80\x890.005). No other AEs were significantly associated with OS or PFS. CONCLUSIONS: Ramucirumab-induced hypertension was not associated with improved OS and PFS in patients with mCRC treated with ramucirumab and FOLFIRI,', 'Pâ\x80\x89=â\x80\x890.93). However, there was a significant association between diarrhea occurring within the first 42Â\xa0days of ramucirumab plus FOLFIRI therapy and worse OS (grade 1-2, HR 0.96 [95% CI 0.76-1.20]; grade 3+, HR 2.72 [95% CI 1.67-4.44]; Pâ\x80\x89=â\x80\x890.001)']","{""fieldresult"":[{""name"":""Ramucirumab effectiveness"",""value"":""Not associated with improved OS and PFS, but severe diarrhea was associated with poorer OS and PFS."",""source_id"":[3,7,8]}]}",clinical trial,[0],['colorectal cancer (mCRC). METHODS: Data from 529 patients treated with ramucirumab plus FOLFIRI for mCRC in the RAISE clinical trial (NCT01183780) were evaluated to see whether early (first 6Â\xa0weeks of therapy) AEs predicted subsequent OS and PFS. A Cox'],"{""fieldresult"":[{""name"":""Type of study"",""value"":""clinical trial"",""source_id"":[0]}]}",529 patients with colorectal cancer were treated with ramucirumab in the study.,"[0, 1, 2]","['colorectal cancer (mCRC). METHODS: Data from 529 patients treated with ramucirumab plus FOLFIRI for mCRC in the RAISE clinical trial (NCT01183780) were evaluated to see whether early (first 6Â\xa0weeks of therapy) AEs predicted subsequent OS and PFS. A Cox', 'between early AEs and survival outcomes for patients treated with ramucirumab, an antibody targeting the VEGF receptor-2 (VEGFR-2), plus FOLFIRI for metastatic colorectal cancer (mCRC). METHODS: Data from 529 patients treated with ramucirumab plus FOLFIRI', 'between early AEs and survival outcomes. A secondary analysis between FOLFIRI and placebo was conducted as a sensitivity analysis. RESULTS: Of 529 patients treated with ramucirumab plus FOLFIRI, 479 were alive and progression free at 6Â\xa0weeks after']","{""fieldresult"":[{""name"":""Num participants"",""value"":""529 patients with colorectal cancer were treated with ramucirumab in the study."",""source_id"":[0,1,2]}]}",31676953,"{""enhanced_ver"":""Not associated with improved OS and PFS, but severe diarrhea was associated with poorer OS and PFS (clinical trial; 529 patients)."",""evaluations"":[""NO"",""YES"",""YES"",""YES"",""1""],""rationale"":[""The sentence does not describe the effectiveness as being absent or poorly described; it provides specific findings."",""The sentence is specifically about the effectiveness of ramucirumab on colorectal cancer, not another condition."",""The sentence is specific enough for experts, including details about OS, PFS, and the association with diarrhea."",""The sentence provides actionable insights for oncologists regarding the potential negative impact of severe diarrhea on survival outcomes."",""The study is a clinical trial with more than one patient, which is level 1.""]}",,999,153,-1,1,1,1,1,689
Ramucirumab plus FOLFIRI therapy is the standard second-line treatment for metastatic colorectal cancer.,[2],"['to prevent IRRs. Ramucirumab plus FOLFIRI therapy is the standard second-line treatment for metastatic colorectal cancer (CRC). Ramucirumab is a fully human antibody, suggesting that the incidence of IRRs is lower, however, the current recommendation for']","{""fieldresult"":[{""name"":""Ramucirumab effectiveness"",""value"":""Ramucirumab plus FOLFIRI therapy is the standard second-line treatment for metastatic colorectal cancer."",""source_id"":[2]}]}",clinical trial,[8],"['A total of 147 patients with unresectable CRC who had been treated by ramucirumab plus FOLFIRI therapy were identified. Of them, 106 (72%) patients received intravenous antihistamine premedication. An IRR occurred in 2 patients (1.4%), 1 grade 2 and 1']","{""fieldresult"":[{""name"":""Type of study"",""value"":""clinical trial"",""source_id"":[8]}]}",A total of 147 patients with unresectable CRC were treated with ramucirumab.,[0],"['A total of 147 patients with unresectable CRC who had been treated by ramucirumab plus FOLFIRI therapy were identified. Of them, 106 (72%) patients received intravenous antihistamine premedication. An IRR occurred in 2 patients (1.4%), 1 grade 2 and 1']","{""fieldresult"":[{""name"":""Num participants"",""value"":""A total of 147 patients with unresectable CRC were treated with ramucirumab."",""source_id"":[0]}]}",34476649,"{""enhanced_ver"":""Ramucirumab plus FOLFIRI therapy is the standard second-line treatment for metastatic colorectal cancer (clinical trial; 147 patients)."",""evaluations"":[""NO"",""YES"",""YES"",""YES"",""1""],""rationale"":[""The sentence does not comment on the lack of effectiveness description; it directly states the treatment as standard."",""The sentence is specifically about the effectiveness of Ramucirumab on colorectal cancer, not another condition."",""The sentence is specific enough for experts, mentioning the treatment, study type, and number of patients."",""The sentence provides actionable insight for oncologists regarding the standard treatment for metastatic colorectal cancer."",""The study is a clinical trial with more than one patient, which is level 1.""]}","{""id"":4,""decision"":""YES"",""reasoning"":""Result 4 establishes ramucirumab plus FOLFIRI as a standard second-line treatment, which is a critical actionable insight for oncologists.""}",2,158,-1,1,1,1,1,847
Ramucirumab improved progression-free survival (PFS) and overall survival (OS) in colorectal cancer as second-line therapy.,"[0, 1, 2]","['progression-free survival (PFS) compared with placebo plus paclitaxel; overall survival (OS) was also longer in the ramucirumab group than in the placebo group. In addition, the RAISE study on colorectal cancer and the REVEL study on non-small cell', 'group. In addition, the RAISE study on colorectal cancer and the REVEL study on non-small cell carcinoma also demonstrated that PFS and OS improved with ramucirumab as second-line therapy.', 'metastatic and/or inoperable gastric, colorectal, and non-small cell lung cancer. The RAINBOW study demonstrated that ramucirumab plus paclitaxel lengthened progression-free survival (PFS) compared with placebo plus paclitaxel; overall survival (OS) was']","{""fieldresult"":[{""name"":""Ramucirumab effectiveness"",""value"":""Ramucirumab improved progression-free survival (PFS) and overall survival (OS) in colorectal cancer as second-line therapy."",""source_id"":[0,1,2]}]}",clinical trial,[2],['This case series was approved by the institutional review committee of the Komagome Hospital (approval certificate number 2256) and was carried out according to the principles outlined by the Declaration of Helsinki. We collected clinical data regarding 5'],"{""fieldresult"":[{""name"":""Type of study"",""value"":""clinical trial"",""source_id"":[2]}]}",3 patients with colorectal cancer were treated with ramucirumab,[1],['The demographic and laboratory characteristics of the patients before ramucirumab treatment are shown in Table 1. Patient age ranged from 50 to 84 years; 3 patients were men. There were 2 patients with gastric cancer and 3 with metastatic colorectal'],"{""fieldresult"":[{""name"":""Num participants"",""value"":""3 patients with colorectal cancer were treated with ramucirumab"",""source_id"":[1]}]}",31277139,"{""enhanced_ver"":""Ramucirumab improved progression-free survival (PFS) and overall survival (OS) in colorectal cancer as second-line therapy (clinical trial; 3 patients)."",""evaluations"":[""NO"",""YES"",""YES"",""YES"",""1""],""rationale"":[""The sentence does not comment on how the effectiveness was not described; it clearly describes the observed effectiveness."",""The sentence is specifically about the effectiveness of ramucirumab on colorectal cancer, not another condition."",""The sentence is specific enough for experts, mentioning both the study type and number of patients."",""The sentence offers actionable insights for practicing oncologists regarding ramucirumab in colorectal cancer."",""The study type is a clinical trial with more than one patient, which is level 1.""]}",,999,175,-1,1,1,1,1,1022
FOLFIRI plus ramucirumab therapy has been reported to be effective and safe in the RAISE trial as second-line treatment for unresectable colorectal cancer.,[0],['FOLFIRI plus ramucirumab(RAM)therapy has been reported to be effective and safe in the RAISE trial as second-line treatment for unresectable colorectal cancer. It is hypothesized that RAM may be effective in patients with PD treated with FOLFIRI plus'],"{""fieldresult"":[{""name"":""Ramucirumab effectiveness"",""value"":""FOLFIRI plus ramucirumab therapy has been reported to be effective and safe in the RAISE trial as second-line treatment for unresectable colorectal cancer."",""source_id"":[0]}]}",retrospective study,[0],"['from that of Bev, which is also an angiogenesis inhibitor. From January 2017 to December 2021, we conducted a retrospective study of 6 patients who had PD with 5-FU, oxaliplatin, irinotecan, or Bev as first or second-line treatment at our institution and']","{""fieldresult"":[{""name"":""Type of study"",""value"":""retrospective study"",""source_id"":[0]}]}",6 patients,[1],"['with 5-FU, oxaliplatin, irinotecan, or Bev as first or second-line treatment at our institution and who received FOLFIRI plus RAM in later line treatment. The 6 cases consisted of 3 patients in the third-line treatment, 1 patient in the fourth-line']","{""fieldresult"":[{""name"":""Num participants"",""value"":""6 patients"",""source_id"":[1]}]}",36760004,"{""enhanced_ver"":""FOLFIRI plus ramucirumab therapy has been reported to be effective and safe in the RAISE trial (retrospective study; 6 patients)."",""evaluations"":[""NO"",""YES"",""YES"",""YES"",""2""],""rationale"":[""The sentence does not comment on how the effectiveness was not described; it directly reports the effectiveness."",""The sentence is specifically about the effectiveness of ramucirumab on colorectal cancer."",""The sentence is specific enough for experts, mentioning the study type and number of patients."",""The sentence offers actionable insights for oncologists, even though it is based on a small retrospective study."",""The study type is a retrospective study with 6 patients, which is classified as level 2.""]}",,999,152,-1,1,1,1,2,8104
